eplenmean,eprewmean,fps,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
110.85714285714286,2.7142856,2336,0.3981766700744629,1,256,3.5056239800178446,8192
326.05405405405406,18.594595,6588,0.37650036811828613,2,512,4.74956395800109,16384
326.6666666666667,18.921568,6713,0.4433721899986267,3,768,5.970406993001234,24576
345.90909090909093,21.246754,6695,0.5040565431118011,4,1024,7.19451236500754,32768
370.08,24.44,6678,0.6740665435791016,5,1280,8.421605879004346,40960
380.1,26.02,6707,0.359680712223053,6,1536,9.643512932001613,49152
375.02,24.82,6703,0.4051797389984131,7,1792,10.866075621015625,57344
369.37,23.97,6743,0.4523811340332031,8,2048,12.081463223003084,65536
361.17,22.33,6669,0.44881874322891235,9,2304,13.310189285024535,73728
361.69,21.39,6696,0.5047702193260193,10,2560,14.53403676301241,81920
375.39,22.66,6728,0.4778083562850952,11,2816,15.752094004012179,90112
388.15,24.12,6672,0.5913845896720886,12,3072,16.98041440200177,98304
382.02,23.97,6663,0.37817949056625366,13,3328,18.210337727010483,106496
383.94,24.38,6674,0.580213338136673,14,3584,19.438387672998942,114688
385.8,25.39,6638,0.5148831009864807,15,3840,20.67289326302125,122880
382.01,25.3,6630,0.5117117166519165,16,4096,21.908944462018553,131072
381.74,25.06,6651,0.4300810694694519,17,4352,23.14096085500205,139264
387.61,25.76,6631,0.4918755292892456,18,4608,24.37681648900616,147456
385.73,25.38,6645,0.4891102910041809,19,4864,25.610107682005037,155648
371.57,24.1,6660,0.31577229499816895,20,5120,26.840673839004012,163840
373.6,24.1,6649,0.392644464969635,21,5376,28.073115001025144,172032
375.56,23.76,6568,0.468647301197052,22,5632,29.32077566202497,180224
375.29,23.75,6642,0.5513524413108826,23,5888,30.55471651800326,188416
370.21,23.23,6568,0.38061243295669556,24,6144,31.802482545026578,196608
373.44,23.63,6616,0.45867598056793213,25,6400,33.0411396130221,204800
366.04,23.56,6620,0.4529924988746643,26,6656,34.27894377100165,212992
356.64,22.64,6609,0.33287328481674194,27,6912,35.51886031700997,221184
350.69,22.1,6636,0.5133927762508392,28,7168,36.75383723000414,229376
359.43,22.94,6648,0.3894513249397278,29,7424,37.986548778018914,237568
359.33,22.44,6601,0.48758941888809204,30,7680,39.22788203399978,245760
358.93,22.25,6610,0.4309180974960327,31,7936,40.467552623013034,253952
359.07,21.71,6606,0.4022253751754761,32,8192,41.70806835000985,262144
364.3,22.04,6578,0.5094960629940033,33,8448,42.95381094000186,270336
359.41,21.84,6575,0.38432925939559937,34,8704,44.20017561601708,278528
368.89,22.68,6566,0.4514079689979553,35,8960,45.44815808700514,286720
367.77,23.25,6557,0.45180535316467285,36,9216,46.69789725600276,294912
370.94,23.3,6551,0.4379057288169861,37,9472,47.94878210002207,303104
372.36,23.51,6550,0.4220935106277466,38,9728,49.19995996099897,311296
368.95,23.25,6560,0.358074426651001,39,9984,50.44911580902408,319488
368.48,23.38,6572,0.4908505082130432,40,10240,51.69602830102667,327680
372.12,23.13,6603,0.3979915380477905,41,10496,52.9369873770047,335872
371.63,23.34,6627,0.5255745053291321,42,10752,54.1736974750238,344064
374.95,23.33,6605,0.47612595558166504,43,11008,55.41444031402352,352256
382.26,24.04,6599,0.5469187796115875,44,11264,56.65624979502172,360448
379.53,23.74,6603,0.3876643776893616,45,11520,57.897359344002325,368640
370.47,23.42,6610,0.4285202622413635,46,11776,59.13707897299901,376832
371.42,23.8,6598,0.332706093788147,47,12032,60.37913542400929,385024
371.93,24.03,6641,0.6606305241584778,48,12288,61.61311216800823,393216
379.9,24.52,6620,0.4473955035209656,49,12544,62.851135466014966,401408
383.08,25.07,6655,0.6021391749382019,50,12800,64.08245120302308,409600
391.54,26.09,6638,0.505571573972702,51,13056,65.3170593570103,417792
384.93,25.73,6670,0.4613519310951233,52,13312,66.5456246350077,425984
376.36,25.43,6650,0.4217608571052551,53,13568,67.77801711202483,434176
376.04,25.81,6649,0.4667973518371582,54,13824,69.01056227402296,442368
371.98,24.63,6657,0.58620685338974,55,14080,70.24167287102318,450560
383.75,25.0,6677,0.5564201474189758,56,14336,71.469090152008,458752
371.28,23.36,6633,0.3881177306175232,57,14592,72.70456328202272,466944
370.09,22.29,6693,0.45163625478744507,58,14848,73.92894165101461,475136
369.99,22.79,6624,0.6093495488166809,59,15104,75.16599298501387,483328
369.33,23.54,6646,0.4464868903160095,60,15360,76.39908133700374,491520
367.53,23.11,6610,0.43910080194473267,61,15616,77.6386826330272,499712
