eplenmean,eprewmean,fps,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
180.4,4.2,2333,0.3454510569572449,1,256,3.510158399993088,8192
361.37142857142857,20.457144,6548,0.4076668620109558,2,512,4.761756669002352,16384
356.5681818181818,19.954546,6614,0.3841933608055115,3,768,6.000684953993186,24576
362.86301369863014,21.123287,6378,0.33287298679351807,4,1024,7.285523734986782,32768
375.94,22.48,6379,0.38816940784454346,5,1280,8.57021957199322,40960
369.33,22.08,6369,0.4350244402885437,6,1536,9.856801335990895,49152
365.56,22.25,6333,0.3540322184562683,7,1792,11.150751412991667,57344
353.79,20.89,6411,0.25786978006362915,8,2048,12.428905687003862,65536
362.3,21.99,6378,0.34588879346847534,9,2304,13.713768333982443,73728
366.0,22.39,6409,0.44761723279953003,10,2560,14.992268668982433,81920
355.56,21.3,6419,0.347217321395874,11,2816,16.26892827998381,90112
367.28,21.92,6418,0.38851499557495117,12,3072,17.545788326999173,98304
357.92,21.93,6362,0.3910117745399475,13,3328,18.833841874002246,106496
359.65,22.82,6260,0.3737770915031433,14,3584,20.142946434003534,114688
357.17,22.17,6080,0.32615435123443604,15,3840,21.490885710984003,122880
360.64,23.13,6076,0.48213571310043335,16,4096,22.83963791799033,131072
348.79,21.72,6048,0.26625460386276245,17,4352,24.194847108999966,139264
354.83,21.02,6076,0.33984047174453735,18,4608,25.543661909992807,147456
353.92,21.45,6072,0.3046797513961792,19,4864,26.893245804996695,155648
351.29,20.84,6052,0.2874871492385864,20,5120,28.247328492987435,163840
342.45,20.06,6053,0.37863385677337646,21,5376,29.60106878899387,172032
342.69,20.39,6265,0.3379085659980774,22,5632,30.90913486300269,180224
352.97,21.54,6450,0.3920978307723999,23,5888,32.179551779991016,188416
360.72,22.16,6371,0.28307580947875977,24,6144,33.46580814398476,196608
362.16,22.19,6396,0.4209480881690979,25,6400,34.74699521699222,204800
373.17,23.85,6397,0.39715856313705444,26,6656,36.02796747899265,212992
369.67,23.41,6372,0.45088887214660645,27,6912,37.31407758500427,221184
352.91,21.71,6366,0.33722198009490967,28,7168,38.601457048003795,229376
346.49,21.28,6366,0.3437998294830322,29,7424,39.888782614987576,237568
340.75,20.19,6368,0.3122686743736267,30,7680,41.17567544998019,245760
341.52,20.06,6359,0.3097212314605713,31,7936,42.46420023799874,253952
344.26,20.1,6395,0.33839213848114014,32,8192,43.745803953002905,262144
342.08,20.05,6314,0.4018813967704773,33,8448,45.043677173991455,270336
343.66,20.02,6400,0.27314019203186035,34,8704,46.32417735698982,278528
342.47,20.23,6406,0.28104186058044434,35,8960,47.60344126200653,286720
344.44,20.39,6364,0.4227820038795471,36,9216,48.89124774897937,294912
348.18,21.13,6390,0.44381648302078247,37,9472,50.17362619598862,303104
348.34,20.91,6370,0.29848814010620117,38,9728,51.46017364397994,311296
354.22,21.72,6369,0.3032773733139038,39,9984,52.746798256004695,319488
354.29,21.81,6386,0.42086243629455566,40,10240,54.02998759399634,327680
356.54,22.04,6408,0.41835737228393555,41,10496,55.30876216199249,335872
360.14,22.0,6402,0.3931936025619507,42,10752,56.58872705500107,344064
360.57,22.8,6415,0.34323573112487793,43,11008,57.866112374002114,352256
353.75,22.56,6381,0.39536261558532715,44,11264,59.150431843998376,360448
353.85,22.58,6387,0.2751415967941284,45,11520,60.43330942100147,368640
352.57,22.19,6420,0.2784188389778137,46,11776,61.70980193000287,376832
336.53,20.96,6404,0.36846113204956055,47,12032,62.98938075598562,385024
353.0,22.32,6422,0.5259594321250916,48,12288,64.26536229799967,393216
359.72,23.01,6437,0.3675074577331543,49,12544,65.53858690700145,401408
360.9,23.35,6435,0.41963428258895874,50,12800,66.81203564198222,409600
374.7,24.6,6389,0.4814382791519165,51,13056,68.09455302200513,417792
382.49,25.17,6381,0.39001983404159546,52,13312,69.37901195598533,425984
369.7,23.02,6392,0.3251236081123352,53,13568,70.66111422100221,434176
363.06,22.08,6429,0.41055798530578613,54,13824,71.93566557898885,442368
351.97,20.66,6399,0.32359611988067627,55,14080,73.21621109198895,450560
347.56,20.32,6416,0.365689218044281,56,14336,74.4935291139991,458752
356.19,21.6,6420,0.3709111213684082,57,14592,75.77000761197996,466944
358.55,21.67,6408,0.3525047302246094,58,14848,77.04870566699537,475136
361.28,21.86,6404,0.2909621596336365,59,15104,78.3282489659905,483328
367.5,21.9,6414,0.3490394353866577,60,15360,79.60592865999206,491520
365.3,21.47,6406,0.38789844512939453,61,15616,80.88517962300102,499712
