eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
83.55555555555556,-2.7654321,676,0.00017626565,0.0,2.7078772,-0.00084081135,0.8109398,0.005997121334075928,1,256,12.112475093992543,8192
85.05,-2.87,1080,0.0006924623,0.0022786458,2.7058804,-0.0010432393,0.15498717,0.08273476362228394,2,512,19.746845677000238,16384
87.64,-2.74,1058,0.002758544,0.015014648,2.695554,-0.0022222905,0.16598682,0.11571842432022095,3,768,27.490332753994153,24576
89.46,-3.12,1036,0.0015014141,0.0016682943,2.6876726,-0.0019669912,0.15101653,0.2751062512397766,4,1024,35.39236248699308,32768
85.43,-2.75,1021,0.002219835,0.016113281,2.68444,-0.0030030913,0.117267676,0.3142656683921814,5,1280,43.412589907005895,40960
91.84,-2.42,1025,0.0034139324,0.016560873,2.6926908,-0.0040422864,0.099216454,0.3812839984893799,6,1536,51.402892854996026,49152
87.62,-1.98,1049,0.0033716066,0.030354818,2.679436,-0.006777532,0.102763854,0.46579092741012573,7,1792,59.208029268993414,57344
85.82,-2.08,1064,0.0040736315,0.04630534,2.6725216,-0.009558422,0.08751055,0.5523021221160889,8,2048,66.90188529899751,65536
85.32,-1.95,1068,0.005624671,0.065104164,2.650151,-0.011183121,0.092507355,0.5792750120162964,9,2304,74.57144538199645,73728
86.69,-2.39,1079,0.005138958,0.05537923,2.662978,-0.008853049,0.12547018,0.5027033090591431,10,2560,82.16183278399694,81920
87.56,-2.34,1078,0.005619245,0.06844076,2.66558,-0.012397661,0.09184051,0.506610780954361,11,2816,89.756398144993,90112
83.6,-1.64,1075,0.0056805145,0.06604004,2.6435668,-0.013630171,0.08867157,0.5567213892936707,12,3072,97.37719116000517,98304
80.55,-1.39,1068,0.006275143,0.080607094,2.6393192,-0.014677792,0.08067434,0.5124249756336212,13,3328,105.04734541599464,106496
84.93,-1.3,1065,0.0076516047,0.100260414,2.6189797,-0.015898623,0.080514476,0.49953240156173706,14,3584,112.739367725997,114688
81.32,-1.06,1059,0.0070256274,0.09122721,2.618227,-0.017449534,0.06769759,0.6393270492553711,15,3840,120.4720305679948,122880
78.42,-1.4,1057,0.009701185,0.13228352,2.5787504,-0.018437522,0.09205235,0.6755287945270538,16,4096,128.21849927600124,131072
85.52,-0.59,1058,0.010007959,0.14400227,2.5917392,-0.017160878,0.0673982,0.6099956929683685,17,4352,135.95564738799294,139264
80.38,-0.89,1056,0.010783772,0.15474446,2.5674222,-0.022813538,0.06337303,0.6853704154491425,18,4608,143.7088530119945,147456
82.28,-0.45,1062,0.010181675,0.14318848,2.5634532,-0.018175833,0.06398044,0.612821102142334,19,4864,151.4184040389955,155648
81.99,-1.02,1068,0.009161284,0.12495931,2.5630715,-0.019199198,0.07642194,0.65191450715065,20,5120,159.08681102500123,163840
79.4,-0.87,1068,0.0094958255,0.13146973,2.5625794,-0.021402195,0.069617055,0.5677211582660675,21,5376,166.7544395760051,172032
77.51,0.07,1067,0.01080834,0.15144856,2.5398254,-0.021387504,0.04706687,0.5965782999992371,22,5632,174.42811635500402,180224
85.03,-0.18,1068,0.01207028,0.17028809,2.5438635,-0.023411242,0.06734948,0.5012957751750946,23,5888,182.09651742799906,188416
81.96,-0.43,1068,0.012260349,0.15734863,2.525443,-0.022182876,0.08676816,0.511881411075592,24,6144,189.76252872099576,196608
81.9,-0.2,1055,0.011813267,0.15474446,2.5199182,-0.022484737,0.076144695,0.5578938722610474,25,6400,197.52126167400274,204800
79.62,-0.34,1055,0.014073644,0.19319661,2.507907,-0.020929612,0.06873054,0.5490403771400452,26,6656,205.2822106139938,212992
80.8,-0.05,1065,0.014170834,0.1866862,2.5134404,-0.022947596,0.06970171,0.6035385131835938,27,6912,212.97109263099264,221184
78.86,-0.4,1059,0.014950056,0.2027181,2.4892695,-0.023236781,0.06643197,0.6431796848773956,28,7168,220.70537770800001,229376
85.46,-0.05,1063,0.016015848,0.2051595,2.5010784,-0.024027342,0.07423595,0.6076634526252747,29,7424,228.4063894169958,237568
89.76,0.07,1066,0.01386748,0.19274902,2.483271,-0.024621582,0.058183286,0.674963653087616,30,7680,236.09111802099505,245760
85.05,0.57,1068,0.0161936,0.20715332,2.5023348,-0.024147393,0.057164524,0.6170799136161804,31,7936,243.75928033600212,253952
77.52,0.66,1063,0.0151713425,0.19462077,2.50418,-0.024183253,0.054641042,0.6401808559894562,32,8192,251.46376259099634,262144
81.33,0.09,1065,0.017222488,0.21952312,2.4953265,-0.024225967,0.053066056,0.7281549274921417,33,8448,259.1508910179982,270336
83.23,0.41,1063,0.016425047,0.2035319,2.5130131,-0.021537201,0.0918459,0.5136075019836426,34,8704,266.8529289739963,278528
89.48,0.75,1069,0.01504828,0.1837972,2.4857044,-0.02704574,0.06993482,0.7119755446910858,35,8960,274.5097496870003,286720
89.08,0.66,1065,0.014751863,0.18640137,2.4687004,-0.024051115,0.05203322,0.7287194132804871,36,9216,282.2013963589998,294912
85.79,0.87,1068,0.018173406,0.22721355,2.4712756,-0.02777955,0.041623708,0.785111665725708,37,9472,289.8661815230007,303104
87.96,1.24,1065,0.01699393,0.22334798,2.454618,-0.025067458,0.05133569,0.6321708858013153,38,9728,297.55378691799706,311296
88.64,1.27,1067,0.017819384,0.23002116,2.4271653,-0.026518332,0.04852486,0.7484868466854095,39,9984,305.2259762009926,319488
89.96,1.58,1067,0.0216186,0.25065103,2.399422,-0.025963455,0.03847624,0.7404696643352509,40,10240,312.8989475900016,327680
86.52,1.55,1069,0.01974919,0.24702962,2.3831763,-0.023231141,0.053185668,0.6612139046192169,41,10496,320.5572573929967,335872
88.59,1.66,1068,0.021630563,0.24886067,2.3727875,-0.02368472,0.051406983,0.7828757017850876,42,10752,328.22203573200386,344064
93.46,1.43,1069,0.023318822,0.2684733,2.349614,-0.024999306,0.061318997,0.7215019762516022,43,11008,335.88094025300234,352256
94.1,1.52,1067,0.021257607,0.24951172,2.3592007,-0.024616271,0.059942916,0.7278477549552917,44,11264,343.5562949479936,360448
111.51,2.24,1067,0.02038644,0.2504476,2.3678472,-0.025487684,0.045334727,0.752007246017456,45,11520,351.2311593170016,368640
105.2,2.03,1063,0.019607387,0.2434489,2.3292787,-0.021456642,0.045411866,0.8259673863649368,46,11776,358.93658876199333,376832
106.0,2.05,1067,0.022845862,0.2763265,2.3355248,-0.025680253,0.055008072,0.8014439344406128,47,12032,366.6107240249985,385024
105.13,2.11,1069,0.022532867,0.26997885,2.321391,-0.02560448,0.06523704,0.7812594622373581,48,12288,374.2726887369936,393216
119.28,2.28,1067,0.016778613,0.21972656,2.3005955,-0.024041755,0.055428997,0.7501407563686371,49,12544,381.9444991719938,401408
112.44,2.19,1068,0.022109991,0.2627767,2.2947352,-0.03004531,0.053883675,0.78727588057518,50,12800,389.6100060970057,409600
102.11,2.0,1065,0.022210384,0.26940918,2.308298,-0.027803322,0.055995423,0.7414405941963196,51,13056,397.29659514900413,417792
110.14,2.51,1070,0.019403366,0.24198405,2.3238394,-0.028422505,0.048989158,0.7770542651414871,52,13312,404.95212788900244,425984
114.92,2.79,1069,0.023106486,0.26021323,2.334302,-0.026095843,0.061110485,0.7799333482980728,53,13568,412.61157089000335,434176
124.23,2.46,1068,0.022761784,0.26782227,2.3046923,-0.026674198,0.05383334,0.7590009719133377,54,13824,420.2807519140042,442368
119.7,2.75,1067,0.017684432,0.22819011,2.3122203,-0.019752927,0.10214973,0.6777999401092529,55,14080,427.95403569999326,450560
126.61,3.22,1068,0.019903004,0.24328613,2.3371222,-0.018072894,0.1004602,0.6885474324226379,56,14336,435.6213210059941,458752
125.16,3.35,1068,0.025454134,0.28320312,2.2891285,-0.028752683,0.063634165,0.7755439132452011,57,14592,443.29089552799996,466944
132.48,3.33,1067,0.018721685,0.23238118,2.3017428,-0.020756176,0.10120947,0.7263064682483673,58,14848,450.9629317039944,475136
132.14,3.9,1066,0.01959453,0.22892253,2.257233,-0.01790113,0.09209498,0.7585456073284149,59,15104,458.64547275299265,483328
135.8,4.19,1066,0.021630695,0.26009116,2.2963917,-0.021596983,0.087021686,0.7773479074239731,60,15360,466.32504619700194,491520
141.88,3.29,1070,0.023138544,0.26672363,2.2502108,-0.031760704,0.08054683,0.7986957877874374,61,15616,473.9769386449916,499712
146.25,2.93,1068,0.023833403,0.2684733,2.279134,-0.018052517,0.13615118,0.663860946893692,62,15872,481.64548874099273,507904
150.21,3.28,1070,0.021825662,0.25260416,2.2736266,-0.02497931,0.076476656,0.7844259291887283,63,16128,489.2977262499917,516096
145.49,3.09,1068,0.020114763,0.2553711,2.2666917,-0.027418097,0.059141487,0.8029949516057968,64,16384,496.96471109399863,524288
138.54,3.25,1069,0.022186896,0.2511393,2.2783191,-0.025850506,0.07514175,0.7214943468570709,65,16640,504.6226395739941,532480
139.28,3.06,1061,0.025766423,0.28055826,2.2696853,-0.01712908,0.17071341,0.6791175603866577,66,16896,512.3415823800024,540672
153.93,4.43,1063,0.019090706,0.23726399,2.2671595,-0.020750811,0.11856285,0.7155992090702057,67,17152,520.041392279003,548864
171.65,5.12,1069,0.019470451,0.23018391,2.2591124,-0.024070531,0.08373395,0.7408895492553711,68,17408,527.7028642869991,557056
