eplenmean,eprewmean,fps,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
167.28571428571428,3.2857144,2352,0.3556775450706482,1,256,3.4816668699495494,8192
334.13157894736844,20.789474,6658,0.39678364992141724,2,512,4.712517459993251,16384
330.51063829787233,20.297873,6709,0.47308778762817383,3,768,5.9340324979275465,24576
351.65384615384613,22.166666,6611,0.40595775842666626,4,1024,7.173598272027448,32768
361.09,22.98,6672,0.4163890480995178,5,1280,8.401956751011312,40960
368.3,23.71,6673,0.40484392642974854,6,1536,9.630079652997665,49152
379.44,24.54,6653,0.46993887424468994,7,1792,10.861892329994589,57344
370.48,24.17,6659,0.5019226968288422,8,2048,12.092584750964306,65536
377.21,25.08,6674,0.5171239674091339,9,2304,13.32038762094453,73728
372.75,24.79,6657,0.47897523641586304,10,2560,14.551469783997163,81920
377.93,25.43,6669,0.4412858486175537,11,2816,15.780275049968623,90112
370.42,23.75,6632,0.3600608706474304,12,3072,17.01596987294033,98304
366.79,23.02,6628,0.43276339769363403,13,3328,18.252476191031747,106496
356.35,21.89,6622,0.38204461336135864,14,3584,19.4899567469256,114688
361.21,22.0,6623,0.5102729797363281,15,3840,20.72719154902734,122880
370.93,23.2,6665,0.5426808297634125,16,4096,21.95676385599654,131072
375.08,23.51,6636,0.38983064889907837,17,4352,23.1918313059723,139264
369.74,22.59,6640,0.45045214891433716,18,4608,24.42613497201819,147456
373.08,22.76,6667,0.46877163648605347,19,4864,25.65520145499613,155648
376.88,22.95,6663,0.4820539355278015,20,5120,26.885205809026957,163840
371.42,23.0,6632,0.4841320514678955,21,5376,28.120940853026696,172032
381.35,24.42,6617,0.6255874335765839,22,5632,29.35938591195736,180224
386.31,25.96,6661,0.44873571395874023,23,5888,30.589698732015677,188416
383.44,25.61,6688,0.5418592393398285,24,6144,31.815056631923653,196608
385.28,25.95,6638,0.41772085428237915,25,6400,33.04960354894865,204800
384.3,25.46,6649,0.4958977699279785,26,6656,34.28214078000747,212992
378.71,24.37,6648,0.36616867780685425,27,6912,35.51473513699602,221184
377.63,24.32,6650,0.3231360912322998,28,7168,36.74703368800692,229376
375.17,23.78,6643,0.4192159175872803,29,7424,37.98073337401729,237568
374.9,23.45,6586,0.41674381494522095,30,7680,39.22508615499828,245760
379.97,24.13,6638,0.4235733151435852,31,7936,40.45952983899042,253952
371.74,23.05,6663,0.4101192355155945,32,8192,41.68944524298422,262144
380.08,23.82,6665,0.4969062805175781,33,8448,42.91899703303352,270336
379.89,23.6,6654,0.5060382187366486,34,8704,44.1506891149329,278528
380.34,24.22,6651,0.3871244788169861,35,8960,45.382819726946764,286720
385.05,24.67,6654,0.5545598864555359,36,9216,46.61454559199046,294912
393.62,25.44,6651,0.5926048159599304,37,9472,47.846678748959675,303104
384.42,25.47,6549,0.3482869863510132,38,9728,49.097997547942214,311296
378.99,24.77,6633,0.3917512893676758,39,9984,50.3336219380144,319488
381.38,24.99,6654,0.4000483751296997,40,10240,51.56532729102764,327680
374.88,24.5,6655,0.4794831871986389,41,10496,52.79659206594806,335872
376.78,24.94,6614,0.4850672483444214,42,10752,54.035635377978906,344064
376.01,25.08,6636,0.40955519676208496,43,11008,55.27058244496584,352256
370.73,24.7,6653,0.4345003366470337,44,11264,56.50233079993632,360448
367.38,24.29,6668,0.46747344732284546,45,11520,57.73148483003024,368640
356.62,23.13,6669,0.40886127948760986,46,11776,58.960446342942305,376832
372.07,24.03,6672,0.480060875415802,47,12032,60.188605480012484,385024
379.8,24.69,6656,0.4364028573036194,48,12288,61.41990833601449,393216
381.37,24.65,6646,0.4688509702682495,49,12544,62.652829153928906,401408
381.46,24.33,6533,0.2732011079788208,50,12800,63.90714921802282,409600
363.23,22.51,6491,0.3312399983406067,51,13056,65.16962172894273,417792
359.85,22.46,6664,0.4899054169654846,52,13312,66.39942972001154,425984
357.14,22.52,6621,0.5422650575637817,53,13568,67.63707302697003,434176
366.59,22.68,6612,0.4658149480819702,54,13824,68.87658745795488,442368
368.67,22.84,6609,0.36638808250427246,55,14080,70.1164763609413,450560
370.31,23.22,6636,0.5183595418930054,56,14336,71.3515431699343,458752
366.47,22.14,6683,0.4314316511154175,57,14592,72.57785007893108,466944
369.88,22.18,6632,0.4664549231529236,58,14848,73.81352395296562,475136
373.34,23.33,6327,0.5204277336597443,59,15104,75.10874470300041,483328
374.7,23.56,6272,0.42343902587890625,60,15360,76.41514090902638,491520
373.52,23.36,6283,0.4659695625305176,61,15616,77.71952064300422,499712
383.66,24.91,6254,0.5700272619724274,62,15872,79.0300278889481,507904
383.44,24.54,6265,0.4314449429512024,63,16128,80.33812032092828,516096
390.99,24.7,6248,0.5019087493419647,64,16384,81.64958002592903,524288
392.1,24.76,6273,0.4606541395187378,65,16640,82.95615185797215,532480
387.9,24.03,6314,0.38718390464782715,66,16896,84.25409160892013,540672
390.37,24.33,6510,0.5849938988685608,67,17152,85.51279840897769,548864
382.01,24.1,6630,0.4489066004753113,68,17408,86.74867864092812,557056
384.44,24.37,6625,0.4765559434890747,69,17664,87.98558360501193,565248
376.78,24.42,6618,0.41594022512435913,70,17920,89.22396244795527,573440
368.71,23.57,6619,0.3337137699127197,71,18176,90.46211293397937,581632
372.62,23.65,6607,0.5560611486434937,72,18432,91.70247298292816,589824
376.12,23.66,6618,0.4395022392272949,73,18688,92.94083977898117,598016
382.51,24.21,6614,0.5093265473842621,74,18944,94.17984020896256,606208
383.78,24.0,6643,0.38901883363723755,75,19200,95.41340368601959,614400
384.55,24.46,6592,0.37526315450668335,76,19456,96.65646694903262,622592
370.49,23.11,6621,0.3610458970069885,77,19712,97.89419902896043,630784
379.02,24.06,6605,0.6268007159233093,78,19968,99.13491028000135,638976
363.42,22.31,6615,0.33847856521606445,79,20224,100.37362228997517,647168
366.4,22.69,6594,0.4196723699569702,80,20480,101.61628551792819,655360
368.69,23.32,6625,0.4399482011795044,81,20736,102.85315227997489,663552
372.56,23.38,6631,0.4177595376968384,82,20992,104.08905211999081,671744
357.41,22.35,6599,0.2768383026123047,83,21248,105.33091057301499,679936
356.35,22.31,6577,0.32145094871520996,84,21504,106.57678793196101,688128
356.54,22.43,6601,0.4172346591949463,85,21760,107.81830113497563,696320
343.32,21.52,6443,0.32320117950439453,86,22016,109.09014726697933,704512
345.65,21.86,6573,0.4049217104911804,87,22272,110.3368981879903,712704
356.91,22.89,6605,0.3671911954879761,88,22528,111.57761689694598,720896
355.03,22.53,6610,0.39724940061569214,89,22784,112.8175123189576,729088
362.2,22.54,6578,0.44964176416397095,90,23040,114.06330223195255,737280
368.29,23.5,6611,0.554403156042099,91,23296,115.30289599299431,745472
379.42,24.88,6573,0.5512750446796417,92,23552,116.54967178497463,753664
388.07,25.74,6600,0.4449690580368042,93,23808,117.79126331594307,761856
391.28,26.76,6588,0.5568171143531799,94,24064,119.03528747695964,770048
391.94,26.95,6615,0.5075364112854004,95,24320,120.27416407503188,778240
373.77,24.88,6633,0.38289451599121094,96,24576,121.50948670401704,786432
372.83,24.06,6606,0.41159820556640625,97,24832,122.75001252500806,794624
360.74,23.04,6553,0.3754611611366272,98,25088,124.00067680794746,802816
