eplenmean,eprewmean,fps,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
125.5,2.5,2370,0.3371407985687256,1,256,3.4551982039702125,8192
351.8285714285714,21.342857,6757,0.499464213848114,2,512,4.668195653997827,16384
333.3829787234043,18.978724,6774,0.5359844267368317,3,768,5.877977932977956,24576
356.3246753246753,20.61039,6713,0.4324992895126343,4,1024,7.098592112015467,32768
365.83673469387753,21.72449,6736,0.41772985458374023,5,1280,8.315203831007238,40960
364.66,22.45,6631,0.4658125638961792,6,1536,9.550957150990143,49152
363.96,22.86,6660,0.3898654580116272,7,1792,10.781368236988783,57344
356.52,22.6,6706,0.45947152376174927,8,2048,12.003413243975956,65536
357.89,23.78,6682,0.374750554561615,9,2304,13.229770670994185,73728
365.85,23.91,6703,0.45018142461776733,10,2560,14.452514488017187,81920
368.13,23.99,6702,0.40829187631607056,11,2816,15.675382399000227,90112
372.94,23.72,6696,0.44010937213897705,12,3072,16.899181853979826,98304
364.97,22.12,6636,0.3654710054397583,13,3328,18.134073905006517,106496
358.02,21.95,6596,0.41743993759155273,14,3584,19.376407695002854,114688
366.18,22.36,6651,0.3920701742172241,15,3840,20.608672162983567,122880
367.54,22.71,6654,0.5887079238891602,16,4096,21.840136712009553,131072
372.8,23.76,6648,0.5464164018630981,17,4352,23.072877816972323,139264
387.01,25.12,6607,0.4912073016166687,18,4608,24.313220856012776,147456
393.84,25.57,6619,0.47215646505355835,19,4864,25.551268598006573,155648
392.63,26.01,6600,0.5560406744480133,20,5120,26.79306448099669,163840
388.21,25.61,6612,0.3089887499809265,21,5376,28.032463414012454,172032
393.64,26.38,6639,0.5110711753368378,22,5632,29.266814110975247,180224
389.12,26.27,6642,0.5007714927196503,23,5888,30.500748299004044,188416
382.8,25.28,6634,0.3345218300819397,24,6144,31.735961204976775,196608
382.59,24.65,6656,0.46680349111557007,25,6400,32.967043228971306,204800
382.99,24.75,6666,0.4838465452194214,26,6656,34.19640802999493,212992
380.57,24.09,6623,0.5061303377151489,27,6912,35.43379063002067,221184
377.93,23.46,6671,0.44718360900878906,28,7168,36.6621844979818,229376
373.97,22.5,6644,0.4660741090774536,29,7424,37.89577174198348,237568
363.54,22.09,6666,0.24626636505126953,30,7680,39.1251050690189,245760
361.56,21.86,6648,0.39123988151550293,31,7936,40.35771150497021,253952
356.46,21.53,6601,0.4340869188308716,32,8192,41.59929243999068,262144
365.76,23.22,6590,0.44928497076034546,33,8448,42.84287014399888,270336
367.65,23.36,6657,0.5309415459632874,34,8704,44.07393035700079,278528
379.72,23.42,6606,0.41843724250793457,35,8960,45.31446105800569,286720
378.98,23.16,6634,0.3983275294303894,36,9216,46.54980701202294,294912
373.23,22.35,6643,0.43823325634002686,37,9472,47.78345648100367,303104
373.16,22.71,6663,0.598809003829956,38,9728,49.01326178997988,311296
371.5,22.81,6661,0.46780329942703247,39,9984,50.243734012008645,319488
358.68,22.55,6666,0.3619976043701172,40,10240,51.47329619101947,327680
361.35,23.43,6650,0.40602391958236694,41,10496,52.70550565898884,335872
364.55,23.34,6632,0.4529331922531128,42,10752,53.94115350098582,344064
362.36,22.84,6639,0.6028847992420197,43,11008,55.17534549802076,352256
366.05,23.17,6663,0.5169547498226166,44,11264,56.405276536999736,360448
374.58,23.7,6622,0.49134939908981323,45,11520,57.64273119199788,368640
377.2,23.24,6614,0.45045632123947144,46,11776,58.88179038598901,376832
374.85,22.78,6650,0.3318129777908325,47,12032,60.114118846016936,385024
370.44,22.7,6611,0.5121084451675415,48,12288,61.35384360398166,393216
374.4,22.89,6643,0.3948115110397339,49,12544,62.58752797899069,401408
374.71,23.53,6664,0.5089202225208282,50,12800,63.81732967897551,409600
375.97,23.41,6689,0.45099520683288574,51,13056,65.04257044498809,417792
388.7,24.81,6693,0.5920000672340393,52,13312,66.266906009987,425984
387.47,23.96,6700,0.3591737151145935,53,13568,67.49004760698881,434176
388.24,23.75,6698,0.414506196975708,54,13824,68.71357066201745,442368
391.16,23.56,6591,0.34331923723220825,55,14080,69.95685322198551,450560
389.05,23.76,6683,0.46319133043289185,56,14336,71.18317221000325,458752
375.18,23.16,6686,0.4126572608947754,57,14592,72.4089181679883,466944
377.98,24.0,6721,0.4900059103965759,58,14848,73.62820745498175,475136
367.94,23.55,6692,0.37133872509002686,59,15104,74.85267290502088,483328
361.15,22.18,6743,0.4091758131980896,60,15360,76.06790550798178,491520
355.39,21.22,6686,0.3047347068786621,61,15616,77.29360523499781,499712
