eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
83.29,-2.67,2026,0.0002627347,0.0,2.707764,-0.0009296656,0.3312233,0.012874364852905273,1,256,8.082974038000003,16384
80.15,-2.25,2977,0.0019251471,0.006388346,2.7031002,-0.0017145356,0.14449264,0.047527313232421875,2,512,13.634019071999973,32768
79.42,-1.73,3000,0.002098947,0.013020833,2.6861753,-0.0020752968,0.13004737,0.1352607011795044,3,768,19.094799093999967,49152
74.64,-1.6,2999,0.0039753946,0.01365153,2.6702268,-0.0022595127,0.12815537,0.22564375400543213,4,1024,24.558341850999994,65536
77.67,-1.63,2968,0.002775805,0.018819174,2.6544578,-0.0027662844,0.13684301,0.31908082962036133,5,1280,30.077953459999975,81920
72.72,-1.29,3019,0.0024060172,0.018310547,2.6611347,-0.0036598195,0.09810906,0.4147990345954895,6,1536,35.503972027,98304
79.6,-1.37,3005,0.0038824913,0.031229654,2.6475031,-0.004987106,0.09946213,0.5317690074443817,7,1792,40.95583821400001,114688
73.22,-1.03,3013,0.0032339438,0.029581705,2.6459568,-0.005235514,0.07033152,0.622182309627533,8,2048,46.39347438500002,131072
75.14,-1.31,2968,0.0036558667,0.03230794,2.6450462,-0.005781334,0.085481144,0.6575509309768677,9,2304,51.91363224900002,147456
72.68,-0.92,2980,0.003976708,0.04264323,2.637491,-0.0070395996,0.07607139,0.6709973514080048,10,2560,57.41160242700002,163840
76.44,-0.82,2945,0.005251663,0.05662028,2.6284444,-0.0082642315,0.069323204,0.7264664173126221,11,2816,62.97452479699999,180224
76.54,-0.7,2909,0.004679197,0.04793294,2.6231751,-0.008876351,0.06861659,0.7093152403831482,12,3072,68.60663845899998,196608
74.23,0.05,2863,0.0050795455,0.05802409,2.6109602,-0.010127567,0.0509854,0.7527140378952026,13,3328,74.33015139199998,212992
74.98,-0.62,2912,0.0063797645,0.078308105,2.5989587,-0.010947389,0.07008191,0.7460111677646637,14,3584,79.95568213699997,229376
79.78,-0.22,2903,0.0065760533,0.07989502,2.5937479,-0.010391475,0.059067693,0.7151095271110535,15,3840,85.59968709500001,245760
76.86,-0.07,2884,0.007979414,0.100097656,2.5805256,-0.011130489,0.061485473,0.7164639830589294,16,4096,91.280242507,262144
75.69,0.18,2870,0.008520345,0.109680176,2.5768569,-0.009632169,0.057731334,0.6262545585632324,17,4352,96.989417525,278528
79.47,0.31,2902,0.007880569,0.100748695,2.579194,-0.009901862,0.05227844,0.6802937984466553,18,4608,102.634726196,294912
81.16,0.52,2936,0.007445739,0.098612465,2.5807867,-0.012589167,0.0647125,0.6528201699256897,19,4864,108.21423373899998,311296
79.65,0.27,2821,0.006645534,0.082621254,2.564891,-0.012651521,0.061037544,0.7125352025032043,20,5120,114.02078538200001,327680
75.53,0.41,2920,0.009122142,0.11954752,2.5694878,-0.010455054,0.056793362,0.6621191203594208,21,5376,119.631509969,344064
83.35,0.65,2845,0.008815317,0.11293539,2.5558095,-0.011312003,0.041053437,0.7051321268081665,22,5632,125.39095082700001,360448
75.78,1.11,2863,0.008155072,0.10573324,2.553226,-0.013083767,0.041584376,0.7410650849342346,23,5888,131.11265433100002,376832
79.53,1.02,2825,0.008581369,0.1120402,2.541283,-0.013979114,0.049593523,0.7303770780563354,24,6144,136.91204062799997,393216
80.01,1.23,2876,0.009569359,0.12595622,2.540233,-0.010686356,0.044421826,0.7715952098369598,25,6400,142.609687938,409600
81.28,1.25,2945,0.009824655,0.13016765,2.522334,-0.012469213,0.03381514,0.778568372130394,26,6656,148.172831182,425984
79.92,1.24,2933,0.008755672,0.11484782,2.5338333,-0.012378347,0.03693042,0.7784302234649658,27,6912,153.758989334,442368
85.88,1.32,2907,0.009772241,0.12662761,2.50972,-0.012754741,0.05264094,0.7432917654514313,28,7168,159.395313948,458752
89.18,1.51,2905,0.010545236,0.13482666,2.5164182,-0.0118540535,0.043627787,0.778325542807579,29,7424,165.034199416,475136
85.9,1.62,2856,0.012928065,0.16042073,2.5013094,-0.013219103,0.042068545,0.7745893448591232,30,7680,170.77152930999998,491520
84.57,1.65,2935,0.010564424,0.13352458,2.489474,-0.013322947,0.037997235,0.8115569800138474,31,7936,176.35448872499998,507904
86.77,1.5,2876,0.010684728,0.13600667,2.4804142,-0.014713016,0.043144066,0.7792883962392807,32,8192,182.051980547,524288
83.77,1.95,2851,0.01108421,0.15002441,2.4577897,-0.016059836,0.035813157,0.8287860751152039,33,8448,187.799035939,540672
77.75,1.91,2820,0.011545967,0.14919026,2.4479349,-0.015786283,0.041457463,0.8244883567094803,34,8704,193.60851153500002,557056
89.26,1.88,2873,0.0118480055,0.1509196,2.4481175,-0.013795334,0.031822372,0.8514727354049683,35,8960,199.31144378399998,573440
86.12,1.85,2888,0.01027203,0.12679036,2.430388,-0.01516468,0.03607351,0.8242006152868271,36,9216,204.98442596499999,589824
97.42,2.08,2887,0.010249819,0.13039143,2.4546773,-0.014606781,0.046478614,0.807198241353035,37,9472,210.65957308,606208
91.31,2.2,2893,0.011835991,0.1521403,2.4447675,-0.015774736,0.037713148,0.8533128947019577,38,9728,216.32250238499998,622592
96.64,2.21,2844,0.011855454,0.14807129,2.4389746,-0.016642135,0.04393265,0.8287178575992584,39,9984,222.08271741500002,638976
92.16,2.15,2907,0.011864855,0.15384929,2.4200866,-0.017204998,0.035677444,0.8698910027742386,40,10240,227.71830275699998,655360
88.09,2.11,2907,0.011093907,0.14813232,2.3950655,-0.016362933,0.03791092,0.847775474190712,41,10496,233.354795327,671744
103.25,2.48,2931,0.011320211,0.15122478,2.380649,-0.013996397,0.044312447,0.8652826100587845,42,10752,238.945139726,688128
100.25,2.49,2939,0.013673734,0.17527263,2.3990896,-0.017651195,0.049900427,0.8285035640001297,43,11008,244.519906985,704512
102.21,2.58,2899,0.012343395,0.1529541,2.3804495,-0.016845943,0.046750117,0.8465054780244827,44,11264,250.17047825900002,720896
110.47,2.7,2894,0.012536823,0.15519206,2.3720121,-0.017779522,0.033834454,0.8999748975038528,45,11520,255.83240283799998,737280
