eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
81.89,-3.01,1184,0.0001924465,0.0,2.7078764,-0.00072695385,0.35332087,-0.03482961654663086,1,256,13.833600843994645,16384
74.1,-1.68,1833,8.862782e-05,0.0,2.70728,-0.00045135187,0.15224421,0.03471559286117554,2,512,22.812640267016832,32768
81.8,-3.01,1814,0.0015325636,0.0049235024,2.70214,-0.001405148,0.14880931,0.11424702405929565,3,768,31.84324968600413,49152
81.58,-2.02,1794,0.002853576,0.009358724,2.6845522,-0.0019017897,0.14038053,0.19488543272018433,4,1024,40.976243300014175,65536
75.28,-2.29,1791,0.004175818,0.015970865,2.6665924,-0.0026679595,0.12587245,0.2812715768814087,5,1280,50.122660591005115,81920
75.96,-2.0,1806,0.0023394509,0.008341472,2.6582189,-0.0026491422,0.124296255,0.3713269829750061,6,1536,59.212419382005464,98304
74.41,-1.3,1809,0.002736891,0.016560873,2.6389356,-0.003196939,0.1062404,0.49379944801330566,7,1792,68.26837537999381,114688
72.6,-1.67,1830,0.0039899517,0.033732098,2.6301665,-0.00658411,0.0747172,0.6157195270061493,8,2048,77.21937766001793,131072
75.07,-1.15,1831,0.0053766533,0.058736164,2.6125479,-0.006088607,0.06933273,0.6354280710220337,9,2304,86.16475517401705,147456
73.38,-0.92,1807,0.0050584977,0.048543293,2.6198509,-0.006894494,0.061517004,0.7382274270057678,10,2560,95.22942313601379,163840
75.63,-1.18,1828,0.004484193,0.045532227,2.6077614,-0.0076047895,0.06221122,0.7099286913871765,11,2816,104.2097761130135,180224
78.26,-0.21,1823,0.005009191,0.05718994,2.604598,-0.009050345,0.046345294,0.776688277721405,12,3072,113.19723083201097,196608
75.93,-0.03,1818,0.005875151,0.07200114,2.599634,-0.009825499,0.053729028,0.7217868566513062,13,3328,122.20806344901212,212992
78.86,-0.4,1811,0.005312245,0.05822754,2.5894,-0.009480654,0.06498265,0.6691355407238007,14,3584,131.25136118999217,229376
80.42,-0.15,1811,0.004867719,0.05183919,2.5820386,-0.010890566,0.044108327,0.770801454782486,15,3840,140.2980281630007,245760
79.93,0.09,1818,0.005775174,0.07246908,2.5821068,-0.011487952,0.04568,0.7393551170825958,16,4096,149.32631991500966,262144
74.89,0.21,1821,0.0074342336,0.0941569,2.562536,-0.011899859,0.051001053,0.761076956987381,17,4352,158.32397712301463,278528
79.78,-0.18,1822,0.0074194088,0.095072426,2.5623424,-0.01093211,0.0514195,0.7160504162311554,18,4608,167.31381565201445,294912
74.08,0.38,1817,0.007815002,0.10443115,2.5622904,-0.013595178,0.051647697,0.7832758873701096,19,4864,176.32984298400697,311296
77.43,0.24,1823,0.007916699,0.09714762,2.5685995,-0.012774382,0.054344743,0.7124300897121429,20,5120,185.31667270199978,327680
77.66,0.45,1821,0.009022141,0.11820475,2.5635078,-0.013942539,0.060171247,0.7212673723697662,21,5376,194.32769993200782,344064
78.45,0.49,1824,0.007976536,0.10107422,2.5701356,-0.014648717,0.062909625,0.6986910402774811,22,5632,203.30717928800732,360448
80.06,0.73,1823,0.008928083,0.11549886,2.5591724,-0.0144048175,0.049249098,0.7617018818855286,23,5888,212.29403622201062,376832
81.11,0.48,1817,0.009905213,0.13061523,2.5490248,-0.016288122,0.061164845,0.791666254401207,24,6144,221.30827425501775,393216
82.91,0.78,1816,0.010438959,0.1385498,2.5364184,-0.013010868,0.046300393,0.7919679135084152,25,6400,230.32918880099896,409600
78.73,0.98,1817,0.0098982565,0.12782796,2.5122602,-0.014091064,0.044112865,0.8062521666288376,26,6656,239.36357823500293,425984
78.72,1.39,1818,0.011148254,0.1459961,2.5086968,-0.013564662,0.034102708,0.8292756974697113,27,6912,248.3738193330064,442368
79.89,1.2,1812,0.010948747,0.14133708,2.4927905,-0.016759716,0.03381473,0.8473567962646484,28,7168,257.4117019910191,458752
79.43,0.88,1820,0.0104703745,0.13989258,2.4942791,-0.015409566,0.046162944,0.8030521720647812,29,7424,266.41373842800385,475136
82.14,1.19,1822,0.012612102,0.16353352,2.4701023,-0.015403978,0.049530923,0.7927263677120209,30,7680,275.4045286090113,491520
82.36,1.02,1823,0.013000477,0.16442871,2.4790063,-0.015657492,0.04136415,0.7943771481513977,31,7936,284.40839166901424,507904
86.17,1.44,1824,0.010374348,0.13350423,2.498512,-0.014919493,0.04816949,0.7880132347345352,32,8192,293.3910038220056,524288
91.81,0.76,1825,0.011532112,0.150472,2.4787307,-0.013874852,0.06120744,0.7528285831212997,33,8448,302.36682500501047,540672
91.77,2.16,1823,0.011443612,0.15161133,2.4846241,-0.014933173,0.032724347,0.8378657847642899,34,8704,311.3528114570072,557056
82.95,1.56,1820,0.009910417,0.12904866,2.4494846,-0.018139845,0.039433118,0.8421242535114288,35,8960,320.35232753201853,573440
93.52,1.78,1819,0.01137622,0.14786784,2.44824,-0.018360153,0.03554988,0.8322160989046097,36,9216,329.37470557302004,589824
88.9,1.81,1815,0.011108472,0.1453247,2.4248614,-0.017312165,0.033390105,0.8868444338440895,37,9472,338.3979415280046,606208
90.13,2.24,1823,0.01129001,0.14320882,2.4129243,-0.015273769,0.043889765,0.8656109869480133,38,9728,347.38301202101866,622592
97.15,1.72,1825,0.01085192,0.14418538,2.4222457,-0.017781815,0.052771226,0.796871080994606,39,9984,356.360568478005,638976
97.6,2.14,1821,0.0116584115,0.15063477,2.427131,-0.016123949,0.035726044,0.856585294008255,40,10240,365.35633316999883,655360
98.27,2.2,1812,0.012394556,0.1540324,2.433791,-0.01846229,0.052414414,0.7877858281135559,41,10496,374.41232369301724,671744
94.16,2.02,1821,0.011788419,0.14449055,2.416118,-0.018757943,0.052056342,0.8304918110370636,42,10752,383.40945628800546,688128
112.46,2.48,1818,0.012879219,0.16689046,2.4107955,-0.014288946,0.05672605,0.836638405919075,43,11008,392.42181268901913,704512
98.85,2.62,1803,0.014760221,0.17474365,2.3870451,-0.017891001,0.051737305,0.8455736339092255,44,11264,401.50939977000235,720896
100.6,2.18,1800,0.013580666,0.1698405,2.4062805,-0.01819439,0.050111305,0.848319947719574,45,11520,410.60831109501305,737280
122.3,2.93,1821,0.010646096,0.14115398,2.4249978,-0.018168738,0.04521674,0.855861023068428,46,11776,419.6202516609919,753664
106.89,2.86,1825,0.011353117,0.14074707,2.403366,-0.015480367,0.08856664,0.7594723254442215,47,12032,428.59361908899155,770048
117.37,2.93,1825,0.010306089,0.13930257,2.4184158,-0.019834148,0.062277477,0.8470640480518341,48,12288,437.5687524480163,786432
118.79,2.26,1821,0.012406609,0.1593221,2.4030092,-0.019907814,0.068854064,0.8383908271789551,49,12544,446.5625560840126,802816
114.67,2.85,1824,0.011189837,0.15096028,2.378672,-0.01912822,0.0894253,0.818964809179306,50,12800,455.54517887500697,819200
138.19,3.92,1824,0.012204177,0.16121419,2.358538,-0.016585944,0.09908837,0.8329813480377197,51,13056,464.5448010270193,835584
132.57,3.65,1819,0.009729784,0.1243693,2.3273623,-0.012969223,0.08337111,0.8786225691437721,52,13312,473.5513092580077,851968
129.97,3.7,1825,0.011206956,0.14383952,2.319997,-0.01883108,0.052511092,0.9127740189433098,53,13568,482.52624537501833,868352
133.91,4.64,1820,0.014079098,0.1671346,2.2914855,-0.014324014,0.116163366,0.8316397070884705,54,13824,491.52674080000725,884736
123.08,4.07,1816,0.013891169,0.17777507,2.3000011,-0.010853007,0.18198372,0.7793734967708588,55,14080,500.5462120239972,901120
127.37,4.26,1824,0.01315377,0.17016602,2.3047755,-0.013445877,0.11159921,0.8439637124538422,56,14336,509.5467912919994,917504
139.33,4.22,1823,0.010801774,0.13763428,2.2824283,-0.015058444,0.09919011,0.8914663270115852,57,14592,518.5301238929969,933888
153.1,5.82,1822,0.012049683,0.152771,2.3085232,-0.01394277,0.15071514,0.8405038714408875,58,14848,527.521455501992,950272
119.88,3.32,1824,0.0143056065,0.1753947,2.3124442,-0.015682947,0.088329405,0.8609260618686676,59,15104,536.5075913130131,966656
127.07,3.81,1826,0.014859724,0.18929036,2.2888708,-0.009898289,0.11486426,0.8643139004707336,60,15360,545.4801066440123,983040
131.14,4.19,1826,0.012566059,0.15661621,2.292549,-0.019529281,0.0801056,0.8991122916340828,61,15616,554.4704132780025,999424
121.61,3.63,1822,0.012058444,0.15167236,2.3237028,-0.015815191,0.07186535,0.9024947956204414,62,15872,563.4609284070029,1015808
132.01,4.49,1825,0.011035237,0.13873291,2.2986584,-0.016298668,0.09182962,0.8962678164243698,63,16128,572.4369147160032,1032192
138.89,4.81,1821,0.008912916,0.1089681,2.2442286,-0.012043253,0.13834855,0.8937512934207916,64,16384,581.4316675890004,1048576
148.44,5.14,1824,0.012559596,0.15006511,2.2578933,-0.0165093,0.08838617,0.9126442149281502,65,16640,590.4136572270072,1064960
134.22,5.06,1830,0.010711815,0.13486736,2.2365265,-0.013241042,0.09177085,0.9168462306261063,66,16896,599.3847823140095,1081344
164.31,6.94,1823,0.010143048,0.122538246,2.2150393,-0.0109094605,0.1469707,0.9181895554065704,67,17152,608.3693463050004,1097728
157.69,6.32,1824,0.01241966,0.15216064,2.2136931,-0.0122531345,0.13406111,0.9174192398786545,68,17408,617.3521843999915,1114112
161.9,6.35,1823,0.011152338,0.14280193,2.2085054,-0.012988944,0.10522183,0.9358922392129898,69,17664,626.3399217539991,1130496
152.79,5.52,1820,0.010527007,0.12754314,2.1984208,-0.010978614,0.16099408,0.910549208521843,70,17920,635.3418371939915,1146880
159.01,6.13,1828,0.010372562,0.12318929,2.1955826,-0.016094761,0.12565222,0.9418307915329933,71,18176,644.3194625489996,1163264
150.8,5.89,1819,0.011478018,0.14111328,2.166186,-0.018170824,0.114824094,0.9423390552401543,72,18432,653.3240059030068,1179648
155.62,6.26,1818,0.014103952,0.17256673,2.1330268,-0.017439077,0.13713981,0.9440574795007706,73,18688,662.3357701310015,1196032
166.42,6.67,1820,0.012682038,0.15974934,2.187496,-0.016122462,0.12100598,0.9439090304076672,74,18944,671.3341178490082,1212416
169.75,6.6,1814,0.014870152,0.17232259,2.1860163,-0.02088513,0.1053195,0.9552011303603649,75,19200,680.3646253820043,1228800
171.32,6.81,1829,0.012688965,0.15285237,2.1701443,-0.018916603,0.15370855,0.9488007426261902,76,19456,689.3403816280188,1245184
160.03,6.45,1826,0.017110994,0.1940918,2.1895664,-0.018144468,0.10439523,0.9493821412324905,77,19712,698.311866464006,1261568
155.54,6.19,1824,0.015402337,0.16556804,2.1612432,-0.015170821,0.15277338,0.9451548494398594,78,19968,707.2908161670202,1277952
158.55,5.15,1803,0.013770919,0.16371663,2.173059,-0.019377546,0.12986743,0.9502954073250294,79,20224,716.3758884410199,1294336
166.94,6.59,1820,0.012513804,0.15759277,2.1420155,-0.02208893,0.10016439,0.9679582454264164,80,20480,725.3778390310181,1310720
163.18,7.09,1822,0.016307341,0.18131511,2.124511,-0.015981754,0.16262554,0.9524739757180214,81,20736,734.3868748279929,1327104
155.96,5.76,1819,0.01298825,0.14304607,2.090725,-0.016745722,0.16996513,0.9583283886313438,82,20992,743.3900935380079,1343488
177.6,7.94,1823,0.011798461,0.1437378,2.118748,-0.020503515,0.114107005,0.9685914814472198,83,21248,752.3742659699928,1359872
187.63,8.12,1825,0.012612059,0.15030925,2.090054,-0.020086983,0.12470166,0.96846729144454,84,21504,761.351873002015,1376256
184.63,7.98,1825,0.015097495,0.18422444,2.0605855,-0.021480778,0.14214201,0.9635543785989285,85,21760,770.3266711170145,1392640
187.36,7.75,1824,0.014058144,0.16898601,2.1053526,-0.022820717,0.10851201,0.9734076913446188,86,22016,779.328426120017,1409024
166.44,6.37,1823,0.012866084,0.15478516,2.1092093,-0.021679832,0.12501878,0.9651814438402653,87,22272,788.314517915016,1425408
176.18,6.78,1823,0.014448092,0.17215984,2.0811374,-0.02251068,0.13612804,0.9655390046536922,88,22528,797.3002318360086,1441792
180.93,7.89,1824,0.016016187,0.19242351,2.072633,-0.014977512,0.13909751,0.9709516800940037,89,22784,806.2814994850196,1458176
