eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
74.57,-2.04,840,0.00013218826,0.0,2.7079375,-0.00042618075,0.7239464,-0.0057343244552612305,1,256,19.48604168300517,16384
82.31,-2.62,1155,0.00021673251,0.0,2.7073033,-0.0005620013,0.17835677,0.034563302993774414,2,512,33.66185626000515,32768
81.73,-2.25,1128,0.0012838509,0.0038045247,2.7030556,-0.0015149572,0.14653331,0.08243399858474731,3,768,48.18286310300027,49152
78.15,-2.07,1106,0.0030153627,0.013326009,2.6890004,-0.0024491472,0.13118206,0.2536417841911316,4,1024,62.9845239080023,65536
82.8,-2.31,1089,0.003178133,0.024088541,2.673968,-0.0028591547,0.12753563,0.33722251653671265,5,1280,78.02664047299913,81920
72.93,-1.25,1064,0.0040491302,0.033569336,2.6548336,-0.0047826977,0.1092717,0.43439388275146484,6,1536,93.4250463540011,98304
73.9,-1.09,1048,0.0036227612,0.03173828,2.6547325,-0.005092032,0.08576262,0.5313915014266968,7,1792,109.05006575200241,114688
74.63,-0.92,1057,0.0036937438,0.035135906,2.6301003,-0.005560989,0.069427915,0.5835115909576416,8,2048,124.55012225400424,131072
73.12,-1.01,1072,0.0051990408,0.053588867,2.621173,-0.007949416,0.08038199,0.6152631342411041,9,2304,139.8251092080027,147456
75.49,-0.48,1077,0.0057063694,0.06296793,2.602066,-0.00961488,0.07193877,0.6951661109924316,10,2560,155.03313268499915,163840
76.69,-0.67,1074,0.0050325138,0.057942707,2.5926762,-0.0072458363,0.062914036,0.7184610962867737,11,2816,170.28584753200266,180224
74.16,0.08,1067,0.0063481536,0.07926432,2.5981648,-0.009993697,0.05365151,0.7464633285999298,12,3072,185.6320100840021,196608
78.07,-0.08,1064,0.006802538,0.086771645,2.58817,-0.009746234,0.054787163,0.6951870024204254,13,3328,201.02560435500345,212992
