eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,684,0.028716216,0.23693848,1.6818546,-0.017394446,0.0968506,0.921797938644886,1,256,11.965296186041087,8192
409.6666666666667,30.09091,1093,0.04234536,0.24532063,1.795607,-0.014790052,0.1380658,0.8381559550762177,2,512,19.485952657996677,16384
399.44444444444446,28.444445,1074,0.027366402,0.23881023,1.7521569,-0.010998533,0.16451079,0.8773987144231796,3,768,27.109543774975464,24576
408.61538461538464,29.246155,1061,0.033158906,0.22916667,1.7121724,-0.0205762,0.07921774,0.9275360926985741,4,1024,34.827557859010994,32768
412.2916666666667,29.958334,1063,0.024572296,0.2323405,1.8643862,-0.02307224,0.030891359,0.9535774774849415,5,1280,42.5338865990052,40960
412.44897959183675,29.755102,1068,0.052001104,0.23071289,1.7063154,-0.026148377,0.030716412,0.9649439863860607,6,1536,50.20210109499749,49152
405.5,29.55,1082,0.025470579,0.2241211,1.7587415,-0.014939434,0.16566326,0.8671080619096756,7,1792,57.76990749302786,57344
410.8,30.0,1090,0.031729493,0.21736653,1.8078319,-0.026153699,0.033391107,0.9620329849421978,8,2048,65.28371088998392,65536
412.9,30.94,1091,0.028171757,0.23612468,1.640118,-0.025821544,0.039032046,0.9662807323038578,9,2304,72.78757508506533,73728
406.43,30.14,492,0.02411586,0.19718425,1.9133557,-0.013945225,0.15205914,0.7876722663640976,10,2560,89.41666392202023,81920
404.3,29.81,1094,0.022856148,0.2130127,1.8382049,-0.01811485,0.09280414,0.8961591944098473,11,2816,96.90094578801654,90112
402.19,29.48,1079,0.033950455,0.20662434,1.8043418,-0.013768211,0.09765185,0.913707822561264,12,3072,104.4889367329888,98304
405.67,29.53,1071,0.032668136,0.2298177,1.778207,-0.015796121,0.10669538,0.8919126987457275,13,3328,112.13360331999138,106496
403.08,29.33,1059,0.03452384,0.23982747,1.7866396,-0.016447956,0.055567887,0.9340883493423462,14,3584,119.86655759706628,114688
405.49,29.71,1066,0.02696002,0.20906575,1.7163643,-0.010179553,0.2160803,0.7936971336603165,15,3840,127.55097633006517,122880
402.25,29.06,1078,0.03040046,0.22473145,1.8795325,-0.01749925,0.11694011,0.8264686614274979,16,4096,135.15028767997865,131072
404.36,29.67,1083,0.029823499,0.2557373,1.8213153,-0.030065695,0.016981741,0.975173182785511,17,4352,142.71247045497876,139264
407.21,29.8,1090,0.02237615,0.23527019,1.8013188,-0.016763384,0.10732031,0.8792442008852959,18,4608,150.2285267029656,147456
404.84,29.13,1090,0.058122784,0.20601399,1.8406008,-0.008210215,0.208905,0.7981737852096558,19,4864,157.73853299301118,155648
398.81,28.13,499,0.03821628,0.24088542,1.8222251,-0.012515492,0.26374593,0.7679572105407715,20,5120,174.12724333896767,163840
400.8,27.54,1084,0.025970997,0.22770183,1.8169307,-0.015257445,0.20171566,0.8705832958221436,21,5376,181.68214442697354,172032
399.25,27.45,1077,0.036180843,0.24654134,1.7881341,-0.017129702,0.2072491,0.7951446026563644,22,5632,189.28523434500676,180224
393.74,26.82,1071,0.029428907,0.22420247,1.8777426,-0.017051939,0.09871629,0.8826805129647255,23,5888,196.9300652310485,188416
393.34,26.53,1069,0.030227775,0.22538249,1.7508584,-0.017667664,0.15570469,0.8822810277342796,24,6144,204.59130949096289,196608
401.5,28.37,1077,0.026070997,0.22111003,1.8076172,-0.015517183,0.081301786,0.8999457508325577,25,6400,212.1931866890518,204800
405.7,29.81,1082,0.034640312,0.22798665,1.7856698,-0.025161691,0.027612934,0.9700244311243296,26,6656,219.76146012707613,212992
410.28,29.84,1087,0.04799029,0.22444661,1.8602196,-0.016455181,0.11703217,0.8826139271259308,27,6912,227.2943939709803,221184
409.68,29.32,1091,0.029042693,0.23929851,1.8264284,-0.012816488,0.21394698,0.8138314634561539,28,7168,234.79693135106936,229376
408.35,29.13,1092,0.030153284,0.21936035,1.7226787,-0.013468598,0.20165855,0.8070603907108307,29,7424,242.29428293998353,237568
