eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
79.11494252873563,-2.3793104,710,0.00014483822,0.0,2.7079084,-0.0005044245,0.6640182,0.008598804473876953,1,256,11.527447370994196,8192
80.31,-2.26,1147,0.00045381466,0.0008951823,2.7070005,-0.0011365367,0.13194491,0.03478175401687622,2,512,18.716911650997645,16384
81.06,-3.48,1137,0.0011323857,0.0076904297,2.7025387,-0.0018725173,0.15628731,0.15304499864578247,3,768,25.91744991199812,24576
79.67,-1.67,1128,0.001952924,0.016235352,2.702729,-0.0032778548,0.08386683,0.27301543951034546,4,1024,33.17712552399462,32768
79.51,-2.06,1123,0.005007533,0.0460612,2.6817548,-0.0060179434,0.095125824,0.4745028018951416,5,1280,40.46962753099797,40960
77.41,-1.09,1114,0.0033721046,0.02396647,2.6859434,-0.0055406396,0.075558,0.4345853924751282,6,1536,47.82000253199658,49152
74.51,-1.29,1111,0.004480262,0.04703776,2.665475,-0.007529005,0.07716111,0.5715625882148743,7,1792,55.19229228099721,57344
76.59,-1.31,1109,0.0062779025,0.0719808,2.6589549,-0.009623121,0.06958717,0.5731103718280792,8,2048,62.574327905000246,65536
79.92,-1.37,1106,0.005246453,0.05456543,2.6394339,-0.009653031,0.06281535,0.6339548230171204,9,2304,69.97697867099487,73728
78.04,-0.97,1099,0.00560038,0.06831869,2.6418297,-0.009924312,0.08498236,0.591331273317337,10,2560,77.42682459199568,81920
78.31,-0.94,1093,0.0067159287,0.08589681,2.6185977,-0.012500256,0.07287173,0.6404203772544861,11,2816,84.91611276899494,90112
75.72,-0.75,1085,0.007874225,0.10331217,2.603904,-0.011345374,0.07417871,0.6998997628688812,12,3072,92.46662397099863,98304
79.69,-0.42,1076,0.008124254,0.108194984,2.6062424,-0.01244121,0.066614434,0.5935681760311127,13,3328,100.07406691299548,106496
81.55,-0.82,1073,0.008758587,0.12093099,2.5932643,-0.016192852,0.08788216,0.48531943559646606,14,3584,107.7068182160001,114688
83.28,-0.52,1069,0.0090015335,0.123819984,2.5930166,-0.012458488,0.05630209,0.6336013972759247,15,3840,115.36667256899818,122880
72.64,-0.25,1068,0.007679537,0.10095215,2.5915763,-0.015705802,0.05371877,0.6268333494663239,16,4096,123.0354872819953,131072
78.93,-0.52,1068,0.009311403,0.12601726,2.5770905,-0.014309366,0.07214466,0.6191117763519287,17,4352,130.70309868599725,139264
80.17,-0.55,1072,0.008799904,0.120524086,2.585108,-0.017644612,0.08446634,0.4957174062728882,18,4608,138.34441955599323,147456
83.29,-0.4,1075,0.009138214,0.123819984,2.5782125,-0.016794182,0.0602279,0.5837352275848389,19,4864,145.96264858699578,155648
78.87,-0.56,1077,0.009363831,0.11791992,2.5676353,-0.019762753,0.06815051,0.5551245510578156,20,5120,153.5673679439933,163840
78.91,0.38,1081,0.00983443,0.1295573,2.5603411,-0.018094603,0.06973904,0.6347171068191528,21,5376,161.14058563799335,172032
76.79,-0.05,1079,0.012399443,0.16638184,2.536451,-0.018611753,0.0638406,0.4776780605316162,22,5632,168.7320258759937,180224
78.48,0.29,1079,0.012826562,0.16361491,2.540941,-0.017724067,0.060271326,0.56389120221138,23,5888,176.3200277750002,188416
84.38,-0.08,1074,0.013277635,0.1755778,2.5169911,-0.019989027,0.0782833,0.4666687846183777,24,6144,183.94105878299888,196608
84.37,0.2,1074,0.013000488,0.18033855,2.5073016,-0.014237508,0.07335482,0.5599267482757568,25,6400,191.5625058029982,204800
80.32,0.39,1072,0.013687738,0.17911784,2.4829936,-0.018837387,0.061719555,0.5701287388801575,26,6656,199.20022428099765,212992
74.77,0.27,1071,0.014337051,0.18428548,2.4720445,-0.016953282,0.049013242,0.6530757248401642,27,6912,206.8479048109948,221184
82.76,0.24,1073,0.013666681,0.18400066,2.4811013,-0.016994013,0.062389705,0.6014896333217621,28,7168,214.48118538699782,229376
78.98,0.36,1075,0.014418557,0.19262695,2.4607918,-0.019016707,0.059562713,0.5469281375408173,29,7424,222.10165998599405,237568
84.76,0.62,1077,0.014837462,0.19173177,2.4699712,-0.01944514,0.06543628,0.5509857833385468,30,7680,229.70532277399616,245760
82.23,0.49,1068,0.014028502,0.18770345,2.4345343,-0.019911455,0.05890562,0.604974627494812,31,7936,237.37213450899435,253952
85.27,0.52,1065,0.017185783,0.21537273,2.4394436,-0.020672128,0.06064898,0.6463757455348969,32,8192,245.0598943149962,262144
87.84,0.85,1075,0.015616775,0.20788574,2.4156284,-0.02095852,0.062331524,0.6144450902938843,33,8448,252.6802468659953,270336
83.94,0.53,1077,0.015759595,0.20625813,2.3978956,-0.022416815,0.07828342,0.5545685887336731,34,8704,260.28686878599547,278528
81.46,0.89,1074,0.017503424,0.21179199,2.4252946,-0.019744886,0.050933063,0.5428457260131836,35,8960,267.9091505709948,286720
83.15,0.74,1074,0.016083442,0.20007324,2.3972423,-0.021055808,0.058824584,0.5699958205223083,36,9216,275.53332361099456,294912
79.33,1.1,1076,0.016769387,0.21390788,2.410991,-0.01972123,0.039302226,0.6893684267997742,37,9472,283.143283546,303104
85.02,1.13,1074,0.018716853,0.23465984,2.375762,-0.020547412,0.053214643,0.6181050837039948,38,9728,290.7677861409975,311296
87.08,1.28,1073,0.017488772,0.2212321,2.3707383,-0.019760156,0.03460623,0.7355816066265106,39,9984,298.39915173999907,319488
83.44,1.39,1073,0.0158237,0.21004231,2.333032,-0.020773383,0.047531724,0.7549724727869034,40,10240,306.03314392499306,327680
83.51,1.55,1073,0.022869356,0.25280762,2.3044696,-0.022898996,0.054419354,0.7116158306598663,41,10496,313.6634412179992,335872
84.88,1.26,1073,0.01939028,0.23494466,2.3039052,-0.02538377,0.059992228,0.6976938247680664,42,10752,321.2984390489946,344064
88.03,1.01,1072,0.020942234,0.24759929,2.307899,-0.020926962,0.089546435,0.6318104565143585,43,11008,328.93465943999763,352256
89.64,0.88,1071,0.020470971,0.24564616,2.2948334,-0.022066867,0.061378505,0.7282834351062775,44,11264,336.5796636879968,360448
88.92,1.09,1075,0.016122682,0.21057129,2.286591,-0.022212332,0.09558997,0.6372433006763458,45,11520,344.19704907299456,368640
93.82,1.36,1072,0.019796235,0.24991862,2.3006957,-0.024704777,0.038864132,0.785144716501236,46,11776,351.8390820610002,376832
101.41,1.81,1068,0.020435335,0.25211588,2.2642894,-0.022509435,0.031600658,0.8204285651445389,47,12032,359.5080517799943,385024
91.9,1.35,1075,0.02015079,0.22827148,2.2823343,-0.022884158,0.05544941,0.7521960735321045,48,12288,367.12711581399344,393216
84.29,1.51,1070,0.022838362,0.24991862,2.214901,-0.017911566,0.05127276,0.8031962960958481,49,12544,374.77781049599434,401408
89.67,1.81,1074,0.020971261,0.2401123,2.2624662,-0.0234588,0.04714155,0.8114017695188522,50,12800,382.403954950998,409600
93.34,1.41,1072,0.021254882,0.2417806,2.3045146,-0.023379823,0.06710043,0.7323192954063416,51,13056,390.04505728899676,417792
90.67,1.26,1073,0.017075041,0.22090657,2.2903984,-0.024884729,0.05712104,0.7835389077663422,52,13312,397.67548848899605,425984
97.42,1.69,1072,0.023150196,0.25634766,2.2928455,-0.023606874,0.06551972,0.737554281949997,53,13568,405.3111463449968,434176
91.05,1.65,1074,0.018208312,0.22241211,2.2896893,-0.021597793,0.055739548,0.8036786615848541,54,13824,412.9375752689957,442368
103.01,1.93,1074,0.019090302,0.23718262,2.2964737,-0.025178688,0.06194811,0.7952800840139389,55,14080,420.56475701299496,450560
106.6,1.77,1074,0.02008772,0.2290039,2.3195202,-0.025085382,0.0754734,0.7067816257476807,56,14336,428.19063196999923,458752
100.0,1.69,1074,0.020175241,0.24641927,2.2923934,-0.020664519,0.103520714,0.6805860102176666,57,14592,435.81821057499474,466944
104.54,1.56,1075,0.021718232,0.24483235,2.3521516,-0.022572735,0.09661945,0.7028475701808929,58,14848,443.4324778749942,475136
108.8,1.81,1072,0.015425934,0.1986084,2.3417344,-0.017892005,0.11054317,0.6549859344959259,59,15104,451.06856824699935,483328
112.46,2.09,1075,0.018810859,0.23331706,2.3229089,-0.02278378,0.08575798,0.7677825689315796,60,15360,458.6886441739989,491520
109.18,1.94,1074,0.019177884,0.22367351,2.3232026,-0.027889825,0.07569069,0.7583348453044891,61,15616,466.31387834499765,499712
116.02,2.52,1076,0.019457284,0.2306722,2.3306773,-0.028849242,0.05240038,0.8283784836530685,62,15872,473.9272364189965,507904
120.7,2.36,1073,0.02174858,0.24906413,2.2868087,-0.024458682,0.07316563,0.8075105994939804,63,16128,481.55548598699534,516096
122.93,2.57,1073,0.021719312,0.26818848,2.2668257,-0.027835034,0.048398163,0.8616167604923248,64,16384,489.1873673779992,524288
114.86,2.0,1074,0.02427231,0.2742513,2.2926972,-0.026101219,0.07517608,0.7834145724773407,65,16640,496.81359565599996,532480
127.59,2.49,1073,0.020509643,0.25024414,2.2938406,-0.018983277,0.10283136,0.7482762038707733,66,16896,504.4431682239956,540672
114.01,2.78,1074,0.019681312,0.23661296,2.2959754,-0.02526114,0.05557617,0.8448537290096283,67,17152,512.0675599229944,548864
108.41,2.28,1074,0.020772276,0.23665364,2.303692,-0.025752425,0.07637038,0.7908271700143814,68,17408,519.695079911995,557056
137.07,3.14,1074,0.015564782,0.20385742,2.3070471,-0.0190633,0.14211833,0.7093877196311951,69,17664,527.3215192379939,565248
124.88,2.84,1074,0.020196175,0.24637859,2.2837873,-0.023593416,0.10106439,0.7931924611330032,70,17920,534.9480944759998,573440
128.48,3.09,1073,0.021762015,0.26131186,2.2773726,-0.022421679,0.059548486,0.8594104945659637,71,18176,542.5796388389936,581632
133.18,3.18,1066,0.021652335,0.24080403,2.2665296,-0.025389763,0.06114702,0.8338533043861389,72,18432,550.2609093099964,589824
