eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
76.67816091954023,-2.310345,687,0.0001510041,0.0,2.7079134,-0.0002698933,0.7354808,-0.005873560905456543,1,256,11.914596723974682,8192
79.8,-3.28,1086,0.00044226283,0.0,2.7068672,-0.0010643107,0.1911332,0.05512946844100952,2,512,19.50720175798051,16384
75.45,-1.75,1072,0.003755903,0.031778973,2.6983511,-0.0038787674,0.13168898,0.16496974229812622,3,768,27.148861508991104,24576
82.72,-2.33,1064,0.004435915,0.0230306,2.6857166,-0.004588547,0.11963206,0.3326300382614136,4,1024,34.84671007201541,32768
81.08,-1.77,1058,0.0035377536,0.03125,2.6736171,-0.004483556,0.11962006,0.36158937215805054,5,1280,42.5879014399834,40960
75.76,-1.09,1072,0.0039741467,0.02718099,2.6694746,-0.005194258,0.080864675,0.5057263970375061,6,1536,50.228175639989786,49152
79.57,-1.19,1083,0.0048546433,0.048177082,2.6574006,-0.0074679866,0.07866932,0.5291393101215363,7,1792,57.79133904899936,57344
83.23,-1.63,1092,0.006398734,0.07169596,2.6598299,-0.006039394,0.11491713,0.5590205490589142,8,2048,65.29052905301796,65536
77.37,-1.04,1097,0.0043432293,0.048706055,2.6574793,-0.009865206,0.07271554,0.580658495426178,9,2304,72.75835686398204,73728
78.23,-1.37,1097,0.005420158,0.060384113,2.647409,-0.0101602785,0.09678689,0.6259368062019348,10,2560,80.22094174299855,81920
72.97,-0.8,1098,0.005830001,0.07267252,2.6258242,-0.01282715,0.07964731,0.6985843777656555,11,2816,87.6756639679661,90112
76.33,-0.78,1096,0.0047001666,0.051798504,2.6368039,-0.0108540105,0.06973786,0.7286179661750793,12,3072,95.14794612396508,98304
79.15,-0.79,1093,0.0065081394,0.08719889,2.612583,-0.014356661,0.08775108,0.6432051956653595,13,3328,102.64256832899991,106496
74.62,-0.78,1090,0.0072546625,0.09802246,2.600548,-0.01609982,0.06819492,0.6574211120605469,14,3584,110.15556922397809,114688
81.71,-0.48,1087,0.008692329,0.11735026,2.5963693,-0.015682712,0.07317973,0.5298838317394257,15,3840,117.68879376497352,122880
78.02,-0.27,1081,0.008344011,0.11336263,2.5942385,-0.016451173,0.06773821,0.640452116727829,16,4096,125.26428906799993,131072
75.85,-0.42,1081,0.011149104,0.14286296,2.5712485,-0.016932601,0.07724397,0.7030093967914581,17,4352,132.83960229996592,139264
74.7,0.02,1081,0.008910514,0.11665853,2.547391,-0.015287195,0.070088595,0.6279692053794861,18,4608,140.4152399249724,147456
76.54,-0.14,1084,0.011027132,0.14672852,2.5500953,-0.01682569,0.07782318,0.6136695444583893,19,4864,147.96636944799684,155648
78.46,-0.27,1089,0.009235184,0.12235514,2.5465627,-0.016839515,0.07218174,0.5568435788154602,20,5120,155.48927032400388,163840
75.63,0.27,1091,0.009390761,0.1233724,2.548695,-0.017325278,0.067552336,0.6007322669029236,21,5376,162.99170136201428,172032
79.2,-0.01,1091,0.009177868,0.12634277,2.5551252,-0.015742354,0.058111552,0.625312864780426,22,5632,170.50065901101334,180224
71.0,0.17,1093,0.012804759,0.17407227,2.506288,-0.020131225,0.05573004,0.6544488966464996,23,5888,177.9940772599657,188416
78.01,0.36,1094,0.011455602,0.14575195,2.5289922,-0.022022856,0.05369924,0.6915875375270844,24,6144,185.4806796570192,196608
74.14,0.23,1093,0.010661238,0.1373698,2.4944494,-0.020367084,0.0481398,0.7290627956390381,25,6400,192.9716984090046,204800
79.76,0.63,1091,0.014114772,0.18277995,2.487989,-0.020150393,0.07270366,0.6846053600311279,26,6656,200.4800095469691,212992
75.38,0.37,1088,0.014563269,0.18188477,2.4878829,-0.02054076,0.058258876,0.6819774210453033,27,6912,208.00652395101497,221184
82.48,0.28,1088,0.015116337,0.19824219,2.4851184,-0.020155871,0.08565799,0.5791616141796112,28,7168,215.5315310860169,229376
73.92,0.65,1085,0.014277351,0.17582195,2.4897814,-0.020112587,0.050633896,0.7046927809715271,29,7424,223.07935801998246,237568
75.58,0.35,1089,0.0156190535,0.19755046,2.4975631,-0.020469908,0.06885083,0.6535639762878418,30,7680,230.60002679901663,245760
76.48,0.49,1087,0.015153971,0.19238281,2.484171,-0.019158786,0.06448677,0.6891043186187744,31,7936,238.1351393170189,253952
81.24,0.37,1090,0.015967486,0.18221028,2.4935606,-0.020844333,0.07672874,0.6650344133377075,32,8192,245.64834039699053,262144
81.81,0.75,1091,0.014719068,0.19470215,2.4773662,-0.023765882,0.06353051,0.7118633389472961,33,8448,253.1530896719778,270336
80.03,0.79,1089,0.019562049,0.23347981,2.468438,-0.024222651,0.07094902,0.7069224417209625,34,8704,260.6754742040066,278528
77.5,0.92,1089,0.017306315,0.21162923,2.4731805,-0.022987932,0.05671921,0.6452591419219971,35,8960,268.19663955899887,286720
77.24,1.15,1089,0.016597958,0.19873047,2.4814641,-0.022705095,0.04877935,0.6240843236446381,36,9216,275.7194550759741,294912
81.58,1.2,1090,0.01780962,0.22937012,2.469894,-0.022661524,0.045047212,0.7080091536045074,37,9472,283.2307185700047,303104
82.18,1.11,1089,0.016631229,0.20027669,2.458878,-0.021321602,0.036989804,0.7543045580387115,38,9728,290.74827955197543,311296
81.15,1.71,1090,0.015962025,0.20255534,2.4339888,-0.023673587,0.048011336,0.7689244300127029,39,9984,298.25933755899314,319488
81.43,1.6,1081,0.020195326,0.2240804,2.3943012,-0.023396892,0.031172521,0.845688596367836,40,10240,305.8357928220066,327680
82.56,1.15,1093,0.0206133,0.22277832,2.418369,-0.022191038,0.05489856,0.7350182831287384,41,10496,313.3294816489797,335872
82.98,1.21,1091,0.021983603,0.24043782,2.4116812,-0.023054482,0.070646174,0.7162587642669678,42,10752,320.8329196309787,344064
81.6,1.36,1090,0.020550646,0.22163899,2.4236367,-0.02085676,0.06162243,0.754577711224556,43,11008,328.34393009199994,352256
82.0,1.6,1087,0.019649355,0.22945149,2.3847892,-0.023112474,0.059915934,0.7907464653253555,44,11264,335.8741796860122,360448
87.61,1.92,1089,0.01806785,0.21402995,2.3767564,-0.02133249,0.07036026,0.7817540466785431,45,11520,343.39083592797397,368640
93.03,1.83,1082,0.017545944,0.20943196,2.369498,-0.020762326,0.064927004,0.7791280150413513,46,11776,350.9560018699849,376832
87.05,1.58,1089,0.020180626,0.2413737,2.3681538,-0.019938068,0.042935852,0.8688294887542725,47,12032,358.4779781620018,385024
109.65,2.8,1086,0.019497221,0.23409016,2.3754048,-0.014837459,0.102130115,0.7177592217922211,48,12288,366.0180098909768,393216
102.16,2.3,1091,0.019106671,0.23856609,2.349344,-0.020554343,0.076621175,0.7882454842329025,49,12544,373.5215523869847,401408
108.93,2.25,1089,0.01690606,0.21195476,2.3833516,-0.025415102,0.0610965,0.7941700965166092,50,12800,381.03996150096646,409600
101.18,2.13,1088,0.019995043,0.23282878,2.3601072,-0.025501544,0.06253231,0.8001495599746704,51,13056,388.56616000900976,417792
99.13,2.11,1088,0.019172356,0.22810872,2.3197453,-0.02363055,0.07009009,0.7942697107791901,52,13312,396.09365527296904,425984
114.64,2.62,1091,0.021863865,0.25594077,2.3332245,-0.02531478,0.0676605,0.7476007342338562,53,13568,403.5993903959752,434176
113.73,2.01,1091,0.01999457,0.24914551,2.3177948,-0.017871445,0.18559234,0.6362967789173126,54,13824,411.1079607849824,442368
117.34,2.27,1091,0.018186584,0.2241211,2.2748473,-0.026317073,0.06353234,0.8030499517917633,55,14080,418.61438309401274,450560
122.89,2.96,1088,0.01646715,0.20788574,2.2697008,-0.012035434,0.20913316,0.6128186583518982,56,14336,426.1381719110068,458752
130.87,3.26,1091,0.014912768,0.17358398,2.2669213,-0.011677556,0.20167832,0.6605217754840851,57,14592,433.6430868320167,466944
140.18,3.25,1091,0.016168341,0.2039388,2.286764,-0.02262654,0.11546084,0.7253476977348328,58,14848,441.14705762499943,475136
136.12,2.44,1089,0.020121636,0.23352051,2.2714126,-0.018452944,0.14839874,0.6960798799991608,59,15104,448.6684677019948,483328
129.35,2.19,1091,0.02289681,0.25882974,2.2889254,-0.02642752,0.06923375,0.7882345765829086,60,15360,456.1713032529806,491520
141.45,3.49,1089,0.019942595,0.23799641,2.2692137,-0.015427553,0.13820453,0.7532175034284592,61,15616,463.68960956600495,499712
145.88,4.24,1092,0.016222684,0.20373535,2.2872798,-0.020989044,0.10409222,0.7915945649147034,62,15872,471.1909301489941,507904
145.52,4.24,1091,0.019076208,0.21858723,2.297676,-0.0213684,0.18209845,0.6884078979492188,63,16128,478.69483435800066,516096
143.03,3.94,1091,0.017873678,0.20939128,2.305297,-0.01982327,0.16103025,0.7388522326946259,64,16384,486.20331531297415,524288
150.85,4.03,1092,0.021561222,0.2500814,2.2524774,-0.023649074,0.07673833,0.8547956943511963,65,16640,493.69929299200885,532480
127.67,3.06,1094,0.02218329,0.25004068,2.28252,-0.024771415,0.094969,0.8151008784770966,66,16896,501.18467653298285,540672
141.34,3.93,1093,0.018504195,0.2290446,2.232839,-0.019479727,0.19726901,0.7497594058513641,67,17152,508.67881162196863,548864
164.17,4.98,1091,0.01689586,0.19991048,2.2068882,-0.022477606,0.16927929,0.8102823197841644,68,17408,516.1824066800182,557056
160.41,4.28,1092,0.02028214,0.24357097,2.241013,-0.025894912,0.10419267,0.8367014974355698,69,17664,523.6842913259752,565248
162.23,4.82,1090,0.017828578,0.22664388,2.1903143,-0.01611682,0.21544091,0.8339724838733673,70,17920,531.1988807530142,573440
