eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
86.44,-3.04,1189,0.0002121905,0.0,2.707819,-0.0005852931,0.49427065,-0.0018900632858276367,1,256,13.773290070996154,16384
86.01,-2.22,1860,0.00045625112,0.00081380206,2.705966,-0.0007785347,0.13659793,0.06756985187530518,2,512,22.578550525999162,32768
78.56,-2.28,1844,0.0020049813,0.007405599,2.6978881,-0.001769858,0.14079413,0.10660022497177124,3,768,31.46376460499596,49152
79.78,-2.37,1813,0.0030047034,0.022786459,2.6805332,-0.0025251645,0.11967477,0.2570880055427551,4,1024,40.49706405203324,65536
74.95,-1.73,1806,0.0026913248,0.020406088,2.6730573,-0.0029412054,0.117912866,0.3019636273384094,5,1280,49.56821629102342,81920
78.79,-1.46,1789,0.0023784994,0.0076700845,2.6634836,-0.0023871886,0.08985987,0.4725179672241211,6,1536,58.72436120099155,98304
73.04,-1.53,1781,0.0024428302,0.012674968,2.652347,-0.0032814362,0.08481592,0.5776249468326569,7,1792,67.92370132700307,114688
77.65,-1.33,1794,0.0048193806,0.03849284,2.6443017,-0.0052043167,0.08504542,0.6166491508483887,8,2048,77.05213886097772,131072
75.23,-0.76,1808,0.0041870736,0.039693195,2.6380107,-0.006015061,0.060844,0.6400673389434814,9,2304,86.11318756698165,147456
76.18,-1.18,1819,0.0039882795,0.03914388,2.6414084,-0.0062471344,0.060293723,0.6696227490901947,10,2560,95.11807248502737,163840
72.43,-0.84,1825,0.005628187,0.05965169,2.6267216,-0.008218357,0.06642469,0.6936716139316559,11,2816,104.09285781998187,180224
75.52,-0.07,1824,0.0050748433,0.05513509,2.6325948,-0.007794876,0.044955377,0.7494529187679291,12,3072,113.07276893698145,196608
71.06,-0.19,1821,0.0045936364,0.048177082,2.6231387,-0.009418898,0.05479756,0.6993897259235382,13,3328,122.067700124986,212992
71.36,0.4,1798,0.005077193,0.06278483,2.6265664,-0.009078041,0.04939865,0.7418166399002075,14,3584,131.17862597998464,229376
76.82,-0.14,1816,0.0065871025,0.07973226,2.6023145,-0.008966341,0.060357336,0.7743601948022842,15,3840,140.19790299999295,245760
81.93,-0.01,1809,0.0056386422,0.065470375,2.6147702,-0.011084116,0.05936564,0.7690178602933884,16,4096,149.2522906960221,262144
78.86,-0.44,1810,0.006506435,0.08046468,2.6080236,-0.010426561,0.061954394,0.7582617849111557,17,4352,158.3047275589779,278528
80.72,0.43,1804,0.00790804,0.10378011,2.6026218,-0.012082469,0.07863114,0.678031861782074,18,4608,167.3822361099883,294912
90.69,0.46,1808,0.007868537,0.10408529,2.5877676,-0.013856612,0.049503654,0.6938542425632477,19,4864,176.44412010902306,311296
78.7,0.36,1819,0.008196997,0.110209145,2.574197,-0.013345339,0.0475667,0.7834311574697495,20,5120,185.4485625650268,327680
82.85,0.75,1826,0.010886315,0.14068604,2.5873044,-0.007916919,0.04283936,0.7636839300394058,21,5376,194.41992608603323,344064
76.2,0.68,1825,0.008580201,0.11273193,2.5584157,-0.011262435,0.049357597,0.7866299748420715,22,5632,203.39494917099364,360448
85.17,0.59,1830,0.008799385,0.110209145,2.564987,-0.014509172,0.050200358,0.7061643600463867,23,5888,212.3448880549986,376832
80.42,0.94,1828,0.009674684,0.1295573,2.5533342,-0.014115087,0.03876186,0.8154938966035843,24,6144,221.3077076189802,393216
83.56,0.59,1830,0.008369219,0.11024984,2.5700939,-0.014367182,0.058688108,0.6931400895118713,25,6400,230.25779701798456,409600
83.17,0.01,1820,0.008856729,0.11179606,2.5711668,-0.015456968,0.070488796,0.6395905911922455,26,6656,239.2585857459926,425984
83.82,0.6,1818,0.0076363175,0.1005249,2.552807,-0.0145914825,0.046190158,0.7604933828115463,27,6912,248.26854595600162,442368
79.6,0.61,1819,0.01018643,0.14141846,2.5336716,-0.014593456,0.04727755,0.7714091241359711,28,7168,257.27451356698293,458752
83.11,0.51,1821,0.00988453,0.13008626,2.526601,-0.015555386,0.07025333,0.752310186624527,29,7424,266.2709577240166,475136
82.87,1.0,1821,0.01136434,0.14451091,2.5337193,-0.017185954,0.05183601,0.75906041264534,30,7680,275.26641988102347,491520
90.91,1.26,1824,0.010922293,0.14567058,2.516126,-0.014509618,0.03693412,0.8620476722717285,31,7936,284.2446210519993,507904
90.71,1.45,1824,0.00910831,0.12176514,2.5196831,-0.014345399,0.052676033,0.7692636549472809,32,8192,293.2254386310233,524288
89.8,1.4,1821,0.010494611,0.137146,2.5085323,-0.015145354,0.04929981,0.7927186042070389,33,8448,302.21896089502843,540672
98.33,1.76,1828,0.012963566,0.16259766,2.4828548,-0.010919576,0.049289625,0.743292361497879,34,8704,311.1815076530329,557056
107.77,1.75,1826,0.010842275,0.14703369,2.4852839,-0.013852353,0.05881095,0.7684135288000107,35,8960,320.1508867510129,573440
98.98,1.58,1819,0.010443092,0.14125569,2.4707682,-0.015690133,0.080994934,0.7481482028961182,36,9216,329.1567727130023,589824
93.85,1.81,1822,0.013831173,0.17726643,2.4739854,-0.0147023685,0.092344224,0.7067314982414246,37,9472,338.1464462750009,606208
103.13,2.08,1812,0.010456078,0.13775635,2.4566853,-0.01550313,0.056771804,0.7877996265888214,38,9728,347.18712522799615,622592
98.51,2.17,1823,0.010072284,0.1352539,2.4591649,-0.017696904,0.052551493,0.8035389930009842,39,9984,356.17357730702497,638976
96.99,1.33,1824,0.0125167,0.16691081,2.457106,-0.01612972,0.055853423,0.8308244347572327,40,10240,365.1520976690226,655360
88.19,2.16,1824,0.010362423,0.13684082,2.4312706,-0.015670735,0.04865432,0.8459898382425308,41,10496,374.1328794119763,671744
103.97,2.37,1822,0.011363459,0.15490723,2.424773,-0.015819957,0.050932188,0.8622310310602188,42,10752,383.1211475459859,688128
103.32,2.57,1827,0.012586177,0.16359456,2.4062307,-0.02115197,0.034418758,0.8748431950807571,43,11008,392.0885209889966,704512
108.5,2.99,1826,0.010352969,0.13625081,2.4120739,-0.017795712,0.043699592,0.8831724748015404,44,11264,401.05829413898755,720896
123.37,3.13,1822,0.011122742,0.14910889,2.4119394,-0.015214211,0.059611436,0.8275098353624344,45,11520,410.04751743900124,737280
117.57,3.08,1828,0.012186172,0.15688069,2.3763235,-0.017950563,0.052830745,0.8601054549217224,46,11776,419.0092315170332,753664
125.8,3.24,1826,0.0114504965,0.1494344,2.3998685,-0.019091401,0.051901575,0.8586589395999908,47,12032,427.9818852529861,770048
118.2,3.01,1805,0.010479567,0.13702393,2.4074748,-0.017725581,0.05820961,0.8281996995210648,48,12288,437.05475869000657,786432
123.63,3.14,1831,0.0110181635,0.14192708,2.4121058,-0.014203676,0.07909317,0.7990955412387848,49,12544,446.0008636119892,802816
124.97,3.21,1832,0.011203926,0.13987224,2.4006531,-0.018272197,0.064988755,0.8463424444198608,50,12800,454.9435834210017,819200
114.93,2.84,1829,0.008818189,0.10976156,2.3975923,-0.016455634,0.08363563,0.8214303851127625,51,13056,463.89983027998824,835584
136.29,3.63,1828,0.009977077,0.1280721,2.4036033,-0.016931165,0.05752259,0.8454928547143936,52,13312,472.8604984629783,851968
136.54,3.37,1826,0.013329458,0.17073567,2.3873384,-0.018435512,0.06198744,0.863386482000351,53,13568,481.83124073501676,868352
134.95,3.03,1819,0.012237697,0.15677898,2.372844,-0.020888424,0.055976927,0.8505589962005615,54,13824,490.8361060040188,884736
145.33,4.22,1825,0.01228556,0.16215007,2.3898358,-0.017826764,0.0730555,0.848934218287468,55,14080,499.8142437399947,901120
129.04,3.96,1824,0.011809476,0.15372722,2.3642416,-0.013050011,0.116308056,0.7832958251237869,56,14336,508.79404377698665,917504
150.99,4.26,1828,0.012798783,0.1687622,2.3529296,-0.01240177,0.078588486,0.8480073511600494,57,14592,517.7567504110048,933888
126.65,4.05,1827,0.011424594,0.14756267,2.328306,-0.01416014,0.103815354,0.8130677342414856,58,14848,526.7250181100098,950272
143.11,3.97,1830,0.011566405,0.1509196,2.3315973,-0.015905239,0.0987538,0.8435951769351959,59,15104,535.677026550984,966656
164.29,4.87,1830,0.011864985,0.15270996,2.3378513,-0.018251028,0.06314724,0.9028855040669441,60,15360,544.6303445799858,983040
159.32,4.55,1828,0.012543444,0.16025798,2.3336523,-0.01363756,0.11742916,0.8360009491443634,61,15616,553.5906375210034,999424
150.99,4.47,1832,0.010584023,0.1385498,2.3005934,-0.018709822,0.061215937,0.9163478761911392,62,15872,562.5339737850009,1015808
134.49,3.76,1827,0.012869313,0.16274007,2.2676287,-0.016153578,0.10047711,0.8804933205246925,63,16128,571.5001869740081,1032192
153.14,5.23,1833,0.009031993,0.110432945,2.2760658,-0.012480208,0.097123764,0.9031345769762993,64,16384,580.4385537789785,1048576
162.36,5.66,1833,0.0111127,0.13734944,2.206739,-0.013561383,0.12621339,0.8844283372163773,65,16640,589.3750961390324,1064960
168.36,6.26,1829,0.012015368,0.14638264,2.2539437,-0.014245871,0.14579763,0.8599313944578171,66,16896,598.3315699329833,1081344
171.42,6.24,1831,0.0099742925,0.12756348,2.249029,-0.012340696,0.14814363,0.8787602037191391,67,17152,607.2759994799853,1097728
183.34,6.32,1829,0.008599318,0.1048584,2.2409906,-0.010866162,0.11412541,0.9134592562913895,68,17408,616.2336885370314,1114112
181.29,6.81,1828,0.010597907,0.1327718,2.228197,-0.013865184,0.11674592,0.9163485541939735,69,17664,625.195017230988,1130496
149.74,5.63,1815,0.0146773,0.1837972,2.2573922,-0.018794933,0.07472105,0.9265959039330482,70,17920,634.218144177983,1146880
170.15,6.53,1824,0.012743577,0.1593221,2.246886,-0.015831847,0.1097871,0.9261133298277855,71,18176,643.2010929340031,1163264
167.62,5.56,1809,0.011888898,0.15016682,2.2593532,-0.01900709,0.08600227,0.9224828407168388,72,18432,652.2582861030241,1179648
189.38,6.15,1829,0.012449794,0.15865071,2.2224855,-0.011686117,0.1422115,0.9102794528007507,73,18688,661.2155178370303,1196032
176.58,7.1,1827,0.012971026,0.15586345,2.2041044,-0.016421039,0.1452245,0.9140280559659004,74,18944,670.178985911014,1212416
194.17,7.04,1819,0.0136837745,0.16467285,2.2200496,-0.013486103,0.16843693,0.9004161283373833,75,19200,679.1826161349891,1228800
204.99,7.58,1822,0.012862767,0.16259766,2.241735,-0.02143983,0.13627352,0.9229742810130119,76,19456,688.171970225987,1245184
201.56,6.55,1824,0.0118379565,0.13787842,2.2456386,-0.0168022,0.1740179,0.9029743820428848,77,19712,697.1546939020045,1261568
195.61,6.88,1826,0.016302524,0.15881348,2.2341313,-0.021067634,0.1346722,0.901747852563858,78,19968,706.1275420539896,1277952
207.62,7.36,1825,0.011328955,0.14200847,2.219908,-0.016901422,0.12792319,0.9274840280413628,79,20224,715.1021984010004,1294336
201.04,7.25,1830,0.012182995,0.15189616,2.2551281,-0.019653404,0.13474749,0.9188525304198265,80,20480,724.0551599449827,1310720
178.82,6.21,1828,0.010196164,0.13252766,2.232011,-0.017726945,0.14228074,0.9260260984301567,81,20736,733.0173720230232,1327104
202.74,8.13,1827,0.013657612,0.16811116,2.234397,-0.018397063,0.17400931,0.9168705642223358,82,20992,741.9812708530226,1343488
199.24,7.13,1809,0.012155872,0.14896648,2.2284312,-0.017954128,0.16818143,0.9146783575415611,83,21248,751.0340789660113,1359872
208.08,8.32,1832,0.011465821,0.14123535,2.1863825,-0.015949667,0.16430686,0.9273675084114075,84,21504,759.9736726660049,1376256
242.12,10.09,1835,0.012937993,0.15492757,2.1680481,-0.017955467,0.16536231,0.9302314072847366,85,21760,768.9004315789789,1392640
227.28,9.94,1832,0.012245587,0.15266927,2.187391,-0.018370198,0.18014997,0.9238578304648399,86,22016,777.8405563089764,1409024
204.25,8.01,1832,0.014759521,0.17340088,2.1863227,-0.01611079,0.19674104,0.9057624712586403,87,22272,786.781937822001,1425408
200.76,7.42,1827,0.015133832,0.18060303,2.205471,-0.020505816,0.17466748,0.9210971146821976,88,22528,795.7461749580107,1441792
206.77,7.15,1826,0.0128564825,0.16294353,2.1631258,-0.018678328,0.1756079,0.9176225513219833,89,22784,804.715280081029,1458176
219.7,8.91,1819,0.012186307,0.14101155,2.1722147,-0.012830041,0.24752027,0.9185364693403244,90,23040,813.7204668010236,1474560
200.1,8.17,1826,0.009314937,0.11051432,2.1377144,-0.01616367,0.18572141,0.9399895295500755,91,23296,822.6912035840214,1490944
231.03,10.89,1822,0.010932646,0.13264973,2.150399,-0.019017715,0.1967128,0.9297029748558998,92,23552,831.6830436330056,1507328
213.56,8.16,1826,0.01661527,0.18654378,2.1182187,-0.015535522,0.20613758,0.9232044145464897,93,23808,840.6545970680309,1523712
231.35,9.75,1833,0.015218742,0.17140706,2.12279,-0.019328957,0.19859724,0.934078648686409,94,24064,849.5928084410261,1540096
235.84,9.3,1831,0.014985214,0.17675781,2.1139834,-0.01913006,0.24220122,0.9189476519823074,95,24320,858.5402124259854,1556480
229.03,9.02,1830,0.014354121,0.16493733,2.1366653,-0.016675549,0.22474074,0.9372930005192757,96,24576,867.4896062199841,1572864
215.41,8.15,1831,0.014164336,0.1751302,2.1154127,-0.019478563,0.16208644,0.9521192200481892,97,24832,876.4339608179871,1589248
253.73,11.41,1829,0.011701945,0.14371745,2.0863926,-0.016951319,0.275428,0.9383181370794773,98,25088,885.3899304909864,1605632
248.74,11.8,1829,0.01168523,0.14463298,2.0851228,-0.015581136,0.21171443,0.9500203989446163,99,25344,894.3447661789833,1622016
248.02,11.64,1832,0.010405281,0.1317342,2.0978646,-0.018771114,0.21293272,0.9436880722641945,100,25600,903.2857685280032,1638400
234.01,10.3,1826,0.009671096,0.11895752,2.1114314,-0.016138298,0.22990675,0.9343820884823799,101,25856,912.2559043199872,1654784
242.86,11.46,1826,0.009679244,0.12288412,2.0631516,-0.012717375,0.21372785,0.9569998495280743,102,26112,921.2284005199908,1671168
256.85,11.31,1827,0.017691152,0.19543457,2.1092107,-0.021419458,0.22923921,0.9329529851675034,103,26368,930.1959444099921,1687552
271.99,11.96,1827,0.013836659,0.1743571,2.0695646,-0.022037437,0.20475684,0.9529583752155304,104,26624,939.1595718860044,1703936
272.61,13.51,1826,0.011072191,0.14178467,2.0685198,-0.018242216,0.16847073,0.9619942791759968,105,26880,948.1322299290332,1720320
264.44,13.05,1817,0.015959201,0.19266765,2.0561006,-0.022311332,0.16880362,0.9605461061000824,106,27136,957.1470781100215,1736704
277.83,13.9,1828,0.015085752,0.19124348,2.020165,-0.018983139,0.23430806,0.9543534554541111,107,27392,966.107540047029,1753088
262.51,12.87,1826,0.011638432,0.1515096,2.0289192,-0.013657213,0.18644474,0.9672906398773193,108,27648,975.0792740699835,1769472
270.16,13.37,1828,0.009092741,0.11751302,2.0074966,-0.016634595,0.21249992,0.9651927910745144,109,27904,984.0408354100073,1785856
265.44,12.74,1834,0.009870253,0.12123617,2.0835826,-0.01952367,0.2169065,0.946341585367918,110,28160,992.9700619190116,1802240
249.23,11.71,1825,0.011305966,0.13352458,2.022177,-0.014892515,0.25669405,0.9550266452133656,111,28416,1001.9434281120193,1818624
238.11,11.17,1828,0.01195123,0.14172363,2.0346794,-0.013892166,0.2575789,0.9539322666823864,112,28672,1010.9023004089831,1835008
