eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
80.67,-2.29,2233,0.00023361761,0.0,2.7078493,-0.00064308057,0.29444286,-0.014795541763305664,1,256,7.337124911999126,16384
85.64,-2.68,3147,0.00073966687,0.0,2.7055228,-0.00075326365,0.15047233,0.052839457988739014,2,512,12.588474061998568,32768
81.33,-2.02,3192,0.003244499,0.0154418945,2.6930892,-0.002366267,0.12827688,0.12193876504898071,3,768,17.72131396599798,49152
78.13,-1.58,3189,0.0056382404,0.03942871,2.668521,-0.004299862,0.11408592,0.24986928701400757,4,1024,22.858251883997582,65536
71.7,-1.65,3144,0.0029936545,0.023173014,2.6680899,-0.0035619878,0.115169875,0.35384994745254517,5,1280,28.06931050899948,81920
76.38,-1.62,3160,0.003161393,0.021687826,2.6498768,-0.003922762,0.10551933,0.4683610796928406,6,1536,33.2530372479996,98304
76.33,-2.08,3117,0.0036538113,0.034423828,2.65638,-0.0053462344,0.08723829,0.5495624542236328,7,1792,38.50873438199778,114688
77.47,-0.7,3131,0.003985616,0.040100098,2.6708395,-0.0068582967,0.07321681,0.5608603656291962,8,2048,43.741997092998645,131072
74.41,-0.49,3120,0.004571254,0.048746746,2.6521623,-0.00738531,0.07322999,0.6205291450023651,9,2304,48.99411134899856,147456
74.32,-0.81,2953,0.004941454,0.056233723,2.640716,-0.008535924,0.07594073,0.6783005595207214,10,2560,54.54137323899704,163840
77.47,-0.39,3045,0.0058496855,0.06477865,2.6212385,-0.010017667,0.06766682,0.6789766848087311,11,2816,59.92230958199798,180224
80.63,0.17,3024,0.0054941946,0.064575195,2.6242602,-0.01030979,0.06267076,0.6743787229061127,12,3072,65.34081943199999,196608
80.36,-0.05,3006,0.006034302,0.07273356,2.616165,-0.010285652,0.052727092,0.6976320445537567,13,3328,70.79144751199783,212992
82.57,0.08,3040,0.0061733224,0.07385254,2.6158423,-0.009507023,0.061531603,0.6036900579929352,14,3584,76.18116767099855,229376
81.18,0.04,3002,0.007026248,0.08984375,2.5975132,-0.012195616,0.052039742,0.7151207327842712,15,3840,81.63837009199779,245760
81.43,0.17,2982,0.0070291325,0.0847168,2.59452,-0.014161207,0.058261123,0.7124894857406616,16,4096,87.13183908799692,262144
84.21,0.2,2987,0.0071464647,0.09161377,2.592398,-0.013927088,0.05388962,0.7414852678775787,17,4352,92.61783771899718,278528
81.45,0.5,3045,0.007585012,0.09802246,2.5804844,-0.014985662,0.08089306,0.6473409533500671,18,4608,97.99819467699854,294912
80.09,0.52,3042,0.007956601,0.10581461,2.5735805,-0.012736116,0.047137726,0.7184687256813049,19,4864,103.38483146399813,311296
77.6,0.76,3029,0.0077025355,0.100850426,2.562605,-0.014354491,0.050596107,0.7213931083679199,20,5120,108.79359282599762,327680
80.0,0.88,3071,0.009025447,0.12410482,2.5661204,-0.014760037,0.05177175,0.7024182081222534,21,5376,114.12936851599807,344064
82.42,0.77,3073,0.010407545,0.1360677,2.5595675,-0.013462142,0.06350466,0.672753781080246,22,5632,119.46178484999837,360448
81.31,0.85,3090,0.008526179,0.11088053,2.5462744,-0.013773773,0.05563994,0.6915428042411804,23,5888,124.76433135600018,376832
78.83,1.17,3059,0.0091960775,0.120788574,2.55526,-0.012332215,0.066287,0.7016532123088837,24,6144,130.11958514099751,393216
85.96,1.14,3083,0.0091790045,0.1251831,2.5361183,-0.016294328,0.04815744,0.7167072892189026,25,6400,135.4337836220002,409600
77.92,1.32,3063,0.009034184,0.11975098,2.5438244,-0.016580686,0.03653423,0.777320921421051,26,6656,140.78249193599913,425984
85.8,1.12,3048,0.010867714,0.14571126,2.516007,-0.016413061,0.047937408,0.7610765248537064,27,6912,146.15756468600011,442368
86.68,1.52,3042,0.010085653,0.13112386,2.5208576,-0.017636633,0.038273185,0.7837733626365662,28,7168,151.5428064509979,458752
78.41,1.39,3052,0.012496516,0.16326904,2.501824,-0.016005171,0.04028466,0.8070454895496368,29,7424,156.91081504799877,475136
78.99,1.3,3026,0.010681125,0.13907878,2.4846675,-0.016206054,0.04259652,0.7758452445268631,30,7680,162.32594814500044,491520
82.43,1.91,3093,0.011590947,0.15120442,2.4751508,-0.016077306,0.04006013,0.8161735981702805,31,7936,167.62259438099863,507904
90.34,1.7,3053,0.0117109865,0.14959717,2.4677863,-0.015628591,0.06262756,0.7641822099685669,32,8192,172.98923700899832,524288
84.32,1.83,3075,0.010442509,0.13661702,2.472576,-0.019099582,0.036070943,0.8250042051076889,33,8448,178.31727653800044,540672
83.15,1.67,3061,0.013290301,0.16349284,2.4718683,-0.01524498,0.04417853,0.8037737607955933,34,8704,183.6699311969969,557056
85.95,1.81,3029,0.011590615,0.15079753,2.4692223,-0.018108001,0.034609962,0.8570981621742249,35,8960,189.0786729749998,573440
