eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
81.72,-2.17,1162,0.00017373147,0.0,2.7078722,-0.00042249178,0.35732135,-0.0002492666244506836,1,256,14.092019821051508,16384
82.58,-3.14,1829,0.00012454708,0.0,2.7073643,-0.0001802451,0.21839903,0.03718578815460205,2,512,23.142103318998124,32768
81.72,-2.79,1810,0.0005428574,6.1035156e-05,2.7058995,-0.0009674599,0.15028073,0.07652467489242554,3,768,32.19105704204412,49152
80.46,-2.62,1791,0.0052494723,0.03584798,2.6875029,-0.002964179,0.15614873,0.2102167010307312,4,1024,41.3390120450058,65536
80.84,-2.01,1787,0.0026452148,0.013264974,2.67717,-0.0025944128,0.14014888,0.2951698303222656,5,1280,50.50782860600157,81920
73.32,-1.67,1802,0.003010178,0.018961588,2.6698377,-0.004015283,0.12840904,0.43754488229751587,6,1536,59.59694099804619,98304
74.12,-1.15,1820,0.003064885,0.021057129,2.66665,-0.004305255,0.10756675,0.5237599611282349,7,1792,68.59812478901586,114688
75.89,-1.46,1824,0.0038629007,0.031778973,2.649341,-0.005679011,0.089152694,0.649848610162735,8,2048,77.57741339103086,131072
74.64,-0.93,1822,0.004004115,0.040934246,2.6340058,-0.0058498806,0.08102304,0.6671907603740692,9,2304,86.56808840401936,147456
75.8,-0.01,1829,0.0052433615,0.052164715,2.632744,-0.0064789075,0.065680854,0.710416316986084,10,2560,95.52414444403257,163840
77.74,-0.77,1826,0.0050269794,0.04960124,2.6197846,-0.0076392298,0.069904156,0.7279902100563049,11,2816,104.49363228701986,180224
77.99,-0.16,1819,0.0058152326,0.06695557,2.612708,-0.008041241,0.052736264,0.7402552664279938,12,3072,113.4996291200514,196608
75.03,-0.51,1815,0.007020805,0.087890625,2.589642,-0.009361056,0.06520992,0.7572780549526215,13,3328,122.52431245404296,212992
75.55,0.07,1801,0.0062501025,0.07625326,2.5572894,-0.010702215,0.047171723,0.7688312530517578,14,3584,131.62144489301136,229376
75.19,0.3,1809,0.006796994,0.08441162,2.5699954,-0.012460065,0.04551159,0.8110552132129669,15,3840,140.67747189704096,245760
77.98,0.25,1803,0.0075655677,0.09454346,2.5557384,-0.011513096,0.048305314,0.7441451847553253,16,4096,149.7630666210316,262144
74.64,0.18,1811,0.006960224,0.08905029,2.5660918,-0.011575062,0.045955013,0.7728687524795532,17,4352,158.80812180100475,278528
78.91,0.75,1818,0.008336685,0.11061605,2.5403354,-0.0123516815,0.059620943,0.711112767457962,18,4608,167.81834814400645,294912
77.89,0.25,1820,0.0083127385,0.107055664,2.5541847,-0.0110386135,0.048221048,0.7497618496417999,19,4864,176.82085976703092,311296
71.45,0.63,1819,0.009753375,0.12597656,2.5388205,-0.010226075,0.052895267,0.7831077724695206,20,5120,185.82750092004426,327680
78.17,0.7,1822,0.0072537903,0.09372965,2.5438197,-0.010286971,0.04612047,0.7752008438110352,21,5376,194.81855794001603,344064
76.87,0.34,1820,0.009384537,0.12386068,2.5366669,-0.014553855,0.050609086,0.7912698090076447,22,5632,203.82060966000427,360448
82.57,0.78,1818,0.00985874,0.1305949,2.52583,-0.015225012,0.05167624,0.7909686416387558,23,5888,212.8288289940101,376832
79.7,1.11,1820,0.009636021,0.12561035,2.5233028,-0.013395656,0.038350254,0.8494631052017212,24,6144,221.82879040302942,393216
76.94,0.55,1817,0.009331626,0.11372884,2.4966629,-0.013995402,0.059928793,0.7593362629413605,25,6400,230.84232362004695,409600
79.25,1.09,1818,0.009700081,0.12320963,2.4866707,-0.0154145835,0.036821745,0.8701516687870026,26,6656,239.85444150405237,425984
78.06,1.17,1818,0.010471317,0.14001465,2.4975321,-0.012541649,0.04089674,0.8510371297597885,27,6912,248.8660219410085,442368
85.31,1.65,1819,0.010307773,0.1361491,2.4825056,-0.012833537,0.037496965,0.8333297371864319,28,7168,257.87246863002656,458752
85.32,1.54,1816,0.009958769,0.123413086,2.5036867,-0.015379208,0.036556732,0.8146333992481232,29,7424,266.89125577005325,475136
82.5,1.47,1803,0.012824162,0.1585083,2.4737747,-0.01318049,0.034746874,0.8508126586675644,30,7680,275.9751029229956,491520
78.06,1.35,1815,0.0116242245,0.15492757,2.4910576,-0.0118482215,0.04159875,0.8479898571968079,31,7936,285.00233953102725,507904
80.47,1.03,1810,0.008732786,0.11260986,2.4739518,-0.012378149,0.05456418,0.8344996273517609,32,8192,294.05451567302225,524288
77.02,0.88,1796,0.010270159,0.13208008,2.478234,-0.015548687,0.052069936,0.826481819152832,33,8448,303.17494047799846,540672
87.4,1.33,1817,0.009429489,0.12068685,2.491971,-0.015250961,0.044952508,0.8550436645746231,34,8704,312.19097946799593,557056
83.65,1.49,1821,0.009615908,0.12662761,2.4682472,-0.015360127,0.038550116,0.8723630011081696,35,8960,321.1872268980369,573440
86.02,1.81,1823,0.011577121,0.1505127,2.4493463,-0.017090237,0.042773977,0.8673777729272842,36,9216,330.171518379997,589824
90.66,1.6,1823,0.009685854,0.12561035,2.456879,-0.014433424,0.058676813,0.843382403254509,37,9472,339.1582680120482,606208
84.51,1.76,1822,0.012594101,0.16021729,2.4575107,-0.015976867,0.054463472,0.8414772301912308,38,9728,348.1492311840411,622592
97.65,2.02,1821,0.009829498,0.12615967,2.4596426,-0.016110491,0.04334517,0.8693990260362625,39,9984,357.1447315850528,638976
90.34,1.56,1815,0.010740626,0.14357503,2.4259644,-0.017689453,0.052253842,0.8537387698888779,40,10240,366.1699384590029,655360
95.26,1.77,1814,0.013352875,0.16493733,2.4062743,-0.017326789,0.06825159,0.815715566277504,41,10496,375.2023613580386,671744
93.19,1.91,1816,0.013243783,0.16379802,2.4113543,-0.017979853,0.05364482,0.8599838763475418,42,10752,384.2223134150263,688128
93.46,2.6,1819,0.013022627,0.16786702,2.3930547,-0.01812672,0.041705534,0.8849855810403824,43,11008,393.2254073439981,704512
98.65,2.29,1816,0.011827067,0.15193684,2.4203131,-0.018422408,0.047694102,0.8472983539104462,44,11264,402.2473397330032,720896
99.52,2.02,1821,0.012059215,0.15928142,2.4142313,-0.020058168,0.066390194,0.8460975885391235,45,11520,411.2405437109992,737280
94.42,1.97,1824,0.013146027,0.16935222,2.4083104,-0.017357625,0.057183504,0.8423364460468292,46,11776,420.21876119001536,753664
97.25,2.3,1823,0.011881522,0.14642334,2.4058294,-0.015397045,0.061969146,0.8643170446157455,47,12032,429.2019261760288,770048
86.44,1.78,1824,0.011489694,0.14703369,2.392858,-0.01733722,0.048679695,0.8619560152292252,48,12288,438.1810685970122,786432
107.23,2.31,1819,0.012260386,0.15360515,2.392663,-0.018193262,0.051419456,0.877475768327713,49,12544,447.18425131001277,802816
102.03,2.18,1819,0.013042505,0.17238362,2.3906116,-0.017822376,0.04959124,0.8902410566806793,50,12800,456.19031161401654,819200
101.68,2.62,1820,0.011726526,0.15698242,2.3793175,-0.020479677,0.06706124,0.8547561913728714,51,13056,465.1928070640424,835584
97.46,2.19,1819,0.01254991,0.16349284,2.3636792,-0.01759519,0.07183191,0.863036721944809,52,13312,474.20040459401207,851968
107.63,2.16,1819,0.011052016,0.14404297,2.3692396,-0.016787043,0.06481043,0.8710648268461227,53,13568,483.2057265690528,868352
106.86,2.82,1815,0.012509481,0.16060384,2.3438032,-0.02050629,0.053505376,0.889610767364502,54,13824,492.23263291001786,884736
