eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
81.45,-2.95,771,0.00016397158,0.0,2.7078917,-0.00041821494,0.81899023,0.00046253204345703125,1,256,21.23845064600755,16384
81.04,-2.98,1008,0.00047711856,0.0,2.7066514,-0.0009993047,0.16484667,0.08387565612792969,2,512,37.482361289003165,32768
82.81,-2.54,1024,0.0035655505,0.015462239,2.6970809,-0.0025101968,0.14064218,0.18422085046768188,3,768,53.46743546500511,49152
75.23,-2.24,1052,0.0023387978,0.016886393,2.6802676,-0.0021875026,0.11552475,0.3273999094963074,4,1024,69.03854781600239,65536
75.68,-1.26,1014,0.0020707068,0.009175618,2.687967,-0.0020816184,0.09255303,0.46306782960891724,5,1280,85.18706566300534,81920
77.49,-0.93,1056,0.0046531362,0.04756673,2.6699722,-0.004849817,0.093536235,0.5226704478263855,6,1536,100.70219458499923,98304
78.44,-1.35,1042,0.0037342247,0.028055826,2.6554115,-0.004226224,0.08550485,0.5510334670543671,7,1792,116.42259896099858,114688
72.08,-0.98,1036,0.0049292985,0.04062907,2.6483796,-0.005936473,0.07852059,0.6305721700191498,8,2048,132.2231154570036,131072
74.68,-1.19,1036,0.004681236,0.047424316,2.6360114,-0.0076861847,0.07220485,0.7060334980487823,9,2304,148.03514024600736,147456
74.08,-0.71,1044,0.0054072794,0.061482746,2.6312768,-0.008034515,0.0609037,0.7192429006099701,10,2560,163.71613326000806,163840
73.47,-0.68,1050,0.005689064,0.06919352,2.6244278,-0.010333971,0.061477408,0.7446995973587036,11,2816,179.30690762100858,180224
75.46,-0.46,1049,0.006144228,0.071756996,2.615525,-0.009841949,0.061815012,0.7406750619411469,12,3072,194.91783278899675,196608
76.35,-0.22,1040,0.006322269,0.077189125,2.6168709,-0.010694758,0.072349764,0.7766879796981812,13,3328,210.66654982800537,212992
73.99,-0.18,1046,0.007756717,0.1027832,2.6083782,-0.014054577,0.057946593,0.7515496015548706,14,3584,226.320551265002,229376
75.19,-0.43,1045,0.00702564,0.088378906,2.5959074,-0.012079244,0.07189263,0.7577791810035706,15,3840,241.99443765000615,245760
72.79,-0.01,1048,0.00900208,0.12424723,2.576666,-0.015011397,0.06496186,0.7381003201007843,16,4096,257.624768987007,262144
79.72,0.12,1050,0.009850466,0.13246663,2.5689847,-0.01310619,0.059001833,0.7969646602869034,17,4352,273.2149885740073,278528
73.96,0.38,1052,0.009435548,0.12801106,2.5551143,-0.013332781,0.05192713,0.7570220082998276,18,4608,288.78440719100763,294912
77.22,0.25,1054,0.009101381,0.12119547,2.5638669,-0.012883373,0.058040578,0.7483195066452026,19,4864,304.3284094219998,311296
79.2,0.52,1053,0.01103945,0.15077718,2.5439494,-0.014138899,0.060105134,0.6673565804958344,20,5120,319.8785223300074,327680
77.12,0.6,1052,0.010760029,0.1472168,2.5489829,-0.014110477,0.054869708,0.749132513999939,21,5376,335.4390217140026,344064
81.56,0.78,1052,0.011019196,0.14683025,2.55372,-0.014707045,0.05883467,0.7080897986888885,22,5632,351.00727961200755,360448
85.18,0.85,1054,0.011221974,0.1473999,2.5482452,-0.015890276,0.068018526,0.6670133769512177,23,5888,366.53957118900144,376832
88.47,0.74,1054,0.011078786,0.14615886,2.5194647,-0.017044999,0.06893236,0.7310670912265778,24,6144,382.0798292880063,393216
95.37,0.99,1056,0.011707093,0.15433757,2.524936,-0.015726337,0.0622077,0.7476522922515869,25,6400,397.5899500270025,409600
81.99,0.74,1054,0.01108804,0.14725749,2.521202,-0.016671529,0.057923276,0.723260760307312,26,6656,413.133454705996,425984
