eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
83.66,-2.43,768,0.00021444629,0.0,2.7078428,-0.0006208396,0.73673326,-0.0004309415817260742,1,256,21.31926985102473,16384
78.73,-2.51,1026,0.001630031,0.008178711,2.7037258,-0.0014981059,0.19594447,0.045776546001434326,2,512,37.28702685999451,32768
80.19,-2.2,1042,0.0014623068,0.0026855469,2.694579,-0.00091620954,0.14730065,0.13405221700668335,3,768,53.00490946602076,49152
80.13,-1.85,1055,0.0062384848,0.06266276,2.668887,-0.0058437027,0.14358152,0.2889781594276428,4,1024,68.52086178900208,65536
75.15,-1.9,1054,0.0032294318,0.022786459,2.6576722,-0.0027088728,0.12787744,0.43771737813949585,5,1280,84.05397349997656,81920
72.85,-1.03,1056,0.0024751008,0.014912923,2.6545255,-0.0027861483,0.091715135,0.5079208016395569,6,1536,99.55731331201969,98304
73.26,-0.96,1053,0.0031343407,0.019083658,2.6258848,-0.004378739,0.06984085,0.5977407991886139,7,1792,115.10972883802606,114688
75.82,-1.18,1054,0.0050558727,0.0509847,2.6233342,-0.005142236,0.0724737,0.667974978685379,8,2048,130.65145815099822,131072
72.73,-0.81,1056,0.0042935177,0.043029785,2.638107,-0.00659458,0.075964294,0.7293476462364197,9,2304,146.16157516499516,147456
72.45,-0.81,1058,0.005257666,0.059326172,2.637473,-0.008372472,0.06674281,0.6995610594749451,10,2560,161.63631866301876,163840
76.82,-0.66,1060,0.0054912497,0.06514486,2.615024,-0.008299214,0.061712425,0.7686191201210022,11,2816,177.09036286600167,180224
79.36,-0.97,1058,0.006028891,0.070739746,2.6232424,-0.010125457,0.07132832,0.7875206619501114,12,3072,192.5714911079849,196608
74.89,-0.42,1059,0.0054130577,0.061360676,2.6210587,-0.009694396,0.050294872,0.7670459598302841,13,3328,208.03767361602513,212992
77.22,-0.24,1058,0.0060413103,0.076416016,2.6041045,-0.010357832,0.05032732,0.7809526473283768,14,3584,223.5109445960261,229376
73.03,0.01,1059,0.0075587737,0.09486898,2.5853283,-0.011858716,0.06806326,0.7379116117954254,15,3840,238.9739536900306,245760
76.71,-0.22,1057,0.007692956,0.097351074,2.5901573,-0.011288122,0.05719361,0.7308385372161865,16,4096,254.47056880500168,262144
75.58,0.01,1058,0.007231492,0.09350586,2.5900767,-0.011878434,0.060010765,0.7095611691474915,17,4352,269.94603469001595,278528
76.05,0.13,1059,0.008000881,0.100992836,2.5750697,-0.013423449,0.056651082,0.7122312188148499,18,4608,285.40964551002253,294912
75.85,0.55,1057,0.009665028,0.12371826,2.574124,-0.013432756,0.06302919,0.6705508828163147,19,4864,300.89733622199856,311296
75.62,0.28,1057,0.008649265,0.11116537,2.5564935,-0.014549929,0.061878975,0.7383115589618683,20,5120,316.3971045020153,327680
81.13,0.56,1057,0.010535966,0.13753255,2.5347805,-0.012025811,0.059177395,0.7756892442703247,21,5376,331.8915145249921,344064
77.4,0.88,1055,0.010680548,0.13712566,2.5578773,-0.013810382,0.04596232,0.7978419959545135,22,5632,347.4142663310049,360448
71.96,0.78,1060,0.0113619855,0.15006511,2.5339565,-0.01595004,0.042313278,0.824261486530304,23,5888,362.86088870401727,376832
75.86,1.33,1059,0.010810747,0.14750163,2.5486224,-0.013602416,0.038260702,0.8141693621873856,24,6144,378.33151080901735,393216
80.1,1.41,1057,0.013317513,0.17230225,2.53352,-0.014662667,0.054919835,0.7373912334442139,25,6400,393.8241480559809,409600
85.34,1.1,1058,0.014140136,0.17942302,2.5366092,-0.015294903,0.05158724,0.7550460994243622,26,6656,409.3023278749897,425984
87.12,1.28,1060,0.013136749,0.16762288,2.5135653,-0.01725834,0.050408483,0.8148474246263504,27,6912,424.7503144029761,442368
86.29,1.52,1058,0.015909595,0.19567871,2.5235455,-0.0134531455,0.04428056,0.8370196670293808,28,7168,440.22307167598046,458752
93.86,1.46,1059,0.015112761,0.18693034,2.4865625,-0.015782634,0.04581624,0.8161674737930298,29,7424,455.687679886003,475136
84.48,1.71,1060,0.0133918235,0.16872151,2.4822953,-0.015195161,0.039685998,0.8424586206674576,30,7680,471.14114365400746,491520
96.6,2.37,1059,0.012191649,0.15407307,2.494701,-0.0114898905,0.09393399,0.6872089207172394,31,7936,486.6008730719914,507904
93.69,1.58,1060,0.013424773,0.16448975,2.4818923,-0.017532913,0.036871318,0.8654372245073318,32,8192,502.05227705597645,524288
94.55,2.09,1060,0.015521441,0.18080647,2.4682424,-0.014774297,0.04550373,0.8396678864955902,33,8448,517.4976120920037,540672
97.94,2.49,1058,0.015146971,0.17871094,2.4493024,-0.010160475,0.06100851,0.7855084091424942,34,8704,532.9735250300146,557056
100.68,2.37,1060,0.014832416,0.18784587,2.450248,-0.015356916,0.03281583,0.8819506093859673,35,8960,548.4265419939766,573440
133.12,3.6,1059,0.012893592,0.16516113,2.458624,-0.0129185775,0.06769297,0.7818642556667328,36,9216,563.8925561379874,589824
115.31,2.64,1061,0.013979825,0.18371582,2.443436,-0.016776396,0.07360775,0.7708248943090439,37,9472,579.3294552279986,606208
118.85,3.03,1059,0.01415804,0.17545573,2.437649,-0.018302599,0.050541166,0.8356971740722656,38,9728,594.788465804013,622592
119.43,2.66,1060,0.013389292,0.17138672,2.4268389,-0.017011207,0.05693462,0.8320457339286804,39,9984,610.2438355250051,638976
124.96,2.86,1060,0.013189692,0.16646321,2.4104784,-0.016316213,0.07800283,0.7866946309804916,40,10240,625.6921634899918,655360
109.11,2.44,1060,0.014785518,0.18202718,2.4136574,-0.014810073,0.06724215,0.8225441128015518,41,10496,641.1487503260141,671744
127.59,3.41,1054,0.014917639,0.19234212,2.4158633,-0.020952264,0.06918879,0.8262821733951569,42,10752,656.6897034280119,688128
142.02,3.84,1059,0.011825818,0.15307617,2.3854716,-0.012339399,0.1353766,0.7863777577877045,43,11008,672.1497173369862,704512
142.13,3.93,1060,0.013656621,0.1766154,2.379226,-0.015917478,0.07544181,0.8377726525068283,44,11264,687.5936078630039,720896
155.07,4.29,1060,0.015634144,0.19488525,2.3856156,-0.013959239,0.129435,0.7673509418964386,45,11520,703.0477088789921,737280
163.42,4.29,1059,0.015241448,0.18446858,2.3666964,-0.013768218,0.13331088,0.7950378656387329,46,11776,718.5115634080139,753664
159.65,4.86,1061,0.0130031295,0.16042073,2.3541472,-0.014015029,0.13826086,0.8424942195415497,47,12032,733.9536756820162,770048
173.78,5.51,1060,0.013002244,0.16648357,2.345281,-0.015056389,0.09183985,0.8700751215219498,48,12288,749.397568557004,786432
