eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
74.76595744680851,-1.6170213,543,0.00014273734,0.0,2.707917,-0.0005279355,0.689972,0.012949883937835693,1,256,7.5322358420235105,4096
74.73737373737374,-1.8989899,1051,0.00032806586,0.0,2.7071097,-0.0010270807,0.20544882,0.010278820991516113,2,512,11.429867164057214,8192
81.25,-2.95,1043,0.0025948952,0.01977539,2.7000487,-0.0030310797,0.15268008,0.13364183902740479,3,768,15.357270508015063,12288
85.59,-2.94,1040,0.0019469555,0.012369792,2.6949692,-0.0027648928,0.14934127,0.23382234573364258,4,1024,19.294560670037754,16384
79.32,-2.64,1023,0.0038829914,0.029134115,2.6814125,-0.0057993047,0.11329698,0.3445987105369568,5,1280,23.295075202011503,20480
78.97,-2.45,1027,0.003679225,0.036132812,2.681123,-0.007896317,0.116555385,0.35777395963668823,6,1536,27.283000248018652,24576
76.45,-1.67,1030,0.004019327,0.038085938,2.6653242,-0.007963258,0.08630922,0.45596998929977417,7,1792,31.257800124003552,28672
73.97,-1.15,1018,0.0059605916,0.06844076,2.6631525,-0.010691806,0.096471824,0.37354111671447754,8,2048,35.279038214008324,32768
77.89,-1.66,1017,0.0074097402,0.106770836,2.6381192,-0.014272228,0.090781875,0.5348643064498901,9,2304,39.30390282301232,36864
81.65,-1.57,1013,0.006771121,0.08382162,2.6404817,-0.01380252,0.09432238,0.28290605545043945,10,2560,43.34409696701914,40960
77.09,-0.98,1017,0.008857693,0.12247721,2.6223853,-0.014542502,0.06188653,0.5312398970127106,11,2816,47.36913496203488,45056
73.69,-0.95,1022,0.0082635665,0.10839844,2.6185205,-0.016182698,0.10250297,0.39883148670196533,12,3072,51.376664590032306,49152
73.94,-1.16,1018,0.009921585,0.1402181,2.5695405,-0.020135935,0.07051173,0.6503894031047821,13,3328,55.39698922500247,53248
76.19,-1.39,1028,0.00975974,0.13053386,2.543454,-0.01827445,0.08854663,0.6038055121898651,14,3584,59.38086190004833,57344
78.11,-1.41,1029,0.0092291,0.12565105,2.564837,-0.01911844,0.08797562,0.517776370048523,15,3840,63.35877739300486,61440
77.01,-0.97,1041,0.009074333,0.11922201,2.5684915,-0.018150788,0.067981325,0.6907017529010773,16,4096,67.29172503500013,65536
76.96,-0.73,1044,0.01148264,0.15372722,2.5487592,-0.023631632,0.07392772,0.5700519680976868,17,4352,71.21311822504504,69632
76.17,-0.33,1045,0.012718069,0.1726888,2.5704262,-0.023657134,0.05101763,0.6719724833965302,18,4608,75.13017731602304,73728
77.79,-0.52,1047,0.0095487125,0.1245931,2.5860813,-0.020421661,0.08128465,0.5678832530975342,19,4864,79.04101702402113,77824
76.24,-0.65,1045,0.012781396,0.18684895,2.5427995,-0.023624582,0.07640053,0.487060010433197,20,5120,82.9593895090511,81920
77.52,-0.74,1044,0.011824002,0.1582845,2.4864063,-0.017977245,0.075110115,0.5705202221870422,21,5376,86.8831871440052,86016
76.75,-0.7,1041,0.013291975,0.18115234,2.518988,-0.021960163,0.06550322,0.6752283275127411,22,5632,90.81575603503734,90112
73.91,-0.46,1044,0.012864488,0.18326823,2.4999225,-0.022058599,0.08023556,0.6681084036827087,23,5888,94.73793232400203,94208
75.99,-0.69,1040,0.010995076,0.14054362,2.5154493,-0.022868438,0.06690898,0.6945122480392456,24,6144,98.67459096404491,98304
77.01,-0.69,1045,0.013394783,0.17529297,2.4372456,-0.023303492,0.088899545,0.638139933347702,25,6400,102.5930175910471,102400
75.75,-0.45,1044,0.01236727,0.1792806,2.4898112,-0.024538025,0.08197601,0.4850980043411255,26,6656,106.51391242700629,106496
80.01,-0.61,1047,0.012846519,0.16951497,2.4723852,-0.023085287,0.12815416,0.4662632942199707,27,6912,110.4232358680456,110592
79.72,-0.44,1045,0.012855966,0.1730957,2.4562008,-0.023091756,0.08684185,0.4798663854598999,28,7168,114.34055080503458,114688
79.13,-0.17,1040,0.014992006,0.19962566,2.444292,-0.02566874,0.08481741,0.46810615062713623,29,7424,118.27597202605102,118784
