eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
79.78,-3.34,781,0.00024975048,0.0,2.707782,-0.00044022314,1.7006744,0.010836422443389893,1,256,20.974555797999983,16384
84.22,-2.76,1042,0.0015763441,0.006551107,2.7045991,-0.001373549,0.14918585,0.08537310361862183,2,512,36.69340334599974,32768
82.76,-2.38,1030,0.0024914949,0.01373291,2.6937969,-0.0023411626,0.13901158,0.1898576021194458,3,768,52.59123835399987,49152
78.06,-2.22,1050,0.0031213092,0.02315267,2.6866934,-0.0043121544,0.13787548,0.3616212010383606,4,1024,68.1844651890001,65536
79.24,-1.48,1071,0.0032698365,0.023579916,2.6808574,-0.0050830296,0.087346725,0.5261127650737762,5,1280,83.47197484599974,81920
82.88,-1.66,1072,0.0049050865,0.053059895,2.676717,-0.008799858,0.09874561,0.5383724570274353,6,1536,98.74926196800016,98304
77.7,-1.83,1061,0.00545033,0.05908203,2.675785,-0.008968443,0.10914507,0.5718369483947754,7,1792,114.18321851400015,114688
78.96,-1.0,1058,0.006020292,0.07476807,2.6613133,-0.010569495,0.08385981,0.6293355822563171,8,2048,129.66045908800015,131072
79.55,-0.9,1057,0.0073314044,0.09810384,2.63501,-0.011868402,0.09302241,0.623109370470047,9,2304,145.15278197299995,147456
81.02,-0.36,1060,0.0073831347,0.09631348,2.62655,-0.013200112,0.06749641,0.6823840439319611,10,2560,160.59758128199974,163840
80.95,-0.24,1059,0.007701037,0.105895996,2.6143568,-0.014663749,0.0662062,0.6381851136684418,11,2816,176.06818403399984,180224
78.16,-0.32,1059,0.009543819,0.12786865,2.594848,-0.0147722615,0.062333625,0.699202299118042,12,3072,191.52953063999985,196608
81.78,-0.27,1060,0.010217919,0.14294434,2.5866797,-0.01798958,0.05683514,0.7446940839290619,13,3328,206.98290073499993,212992
77.88,0.26,1058,0.011918622,0.16381836,2.5745466,-0.016543912,0.056549724,0.7288036644458771,14,3584,222.46254342099974,229376
78.75,0.36,1061,0.0125857415,0.17795818,2.5180385,-0.01663285,0.06631612,0.7385642230510712,15,3840,237.90414837499975,245760
77.94,0.35,1062,0.011589575,0.15704346,2.5439928,-0.01738073,0.05117743,0.6684791445732117,16,4096,253.32412683799976,262144
78.69,0.28,1058,0.014464524,0.19472249,2.5379896,-0.016950078,0.06732562,0.632857084274292,17,4352,268.799843537,278528
78.72,0.76,1060,0.014970767,0.19399007,2.5247605,-0.017719317,0.046273205,0.7047498822212219,18,4608,284.24956777399984,294912
81.53,1.08,1060,0.01299568,0.17264812,2.4947658,-0.016624276,0.052384555,0.6593472957611084,19,4864,299.69239564500003,311296
81.28,1.15,1056,0.015792105,0.20774333,2.5040622,-0.01815386,0.035314307,0.7316497564315796,20,5120,315.1983378680002,327680
83.65,1.2,1057,0.017068645,0.21158855,2.4889138,-0.01894664,0.038076427,0.7723649591207504,21,5376,330.69373840599974,344064
78.41,1.77,1059,0.019379765,0.2267456,2.4673684,-0.017011883,0.037404027,0.8005888611078262,22,5632,346.1560120869999,360448
81.66,1.76,1062,0.018243946,0.23427327,2.4846432,-0.016535573,0.028073482,0.8387712687253952,23,5888,361.57522881199975,376832
89.06,1.72,1054,0.018166691,0.22894287,2.4594796,-0.018806739,0.04031452,0.7602187097072601,24,6144,377.1149799770001,393216
80.97,1.77,1057,0.018505624,0.22932942,2.4668944,-0.018563824,0.034457546,0.7934923022985458,25,6400,392.6091369849996,409600
87.67,1.87,1058,0.016327346,0.20489502,2.4669526,-0.018265117,0.030313447,0.8195697516202927,26,6656,408.0831097289997,425984
91.98,2.17,1058,0.018260835,0.22955322,2.470296,-0.02138573,0.031048179,0.8409767746925354,27,6912,423.5600219209996,442368
