eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
79.78,-3.55,1020,0.00012264495,0.0,2.7079256,-0.0004087454,0.85469246,0.010278582572937012,1,256,16.061235948000103,16384
85.6,-2.96,1073,0.00097429496,0.0,2.7060678,-0.0014360204,0.15962406,0.05331951379776001,2,512,31.328129187982995,32768
79.82,-2.61,1070,0.0031009456,0.016215006,2.692199,-0.002118259,0.1500542,0.21144235134124756,3,768,46.63885470596142,49152
75.75,-2.13,1076,0.0033601578,0.016357422,2.6809657,-0.0030849467,0.123732775,0.3518773317337036,4,1024,61.86331647098996,65536
75.23,-1.98,1075,0.0032597922,0.024190268,2.6735353,-0.0031943535,0.09678311,0.5062640309333801,5,1280,77.0998449799954,81920
81.01,-1.59,1078,0.004061113,0.030395508,2.6592317,-0.0046424516,0.0809286,0.5684586465358734,6,1536,92.29837757098721,98304
80.21,-1.39,1080,0.004294019,0.042317707,2.6446369,-0.0060812086,0.086096294,0.6478665471076965,7,1792,107.46795201400528,114688
73.89,-1.53,1078,0.003954885,0.040283203,2.6537602,-0.0070227273,0.0809361,0.5878622233867645,8,2048,122.66162707895273,131072
75.73,-0.38,1076,0.004784242,0.053771973,2.6487343,-0.007836896,0.060215753,0.6393932402133942,9,2304,137.88238471595105,147456
79.42,-0.74,1076,0.0055405907,0.06587728,2.642288,-0.009034511,0.05537882,0.6786746084690094,10,2560,153.1090039749979,163840
78.01,-0.31,1073,0.0053059827,0.061401367,2.625089,-0.009591416,0.056142215,0.7104698419570923,11,2816,168.36927183397347,180224
77.11,0.05,1076,0.005066003,0.057596844,2.6207955,-0.009637839,0.064550675,0.66834357380867,12,3072,183.5965305819991,196608
77.08,-0.11,1078,0.0067100986,0.08494059,2.607083,-0.010105151,0.06920419,0.6374303996562958,13,3328,198.79183008300606,212992
76.62,0.48,1078,0.0070766103,0.09082031,2.6040843,-0.011316898,0.046106156,0.639600545167923,14,3584,213.9906914519961,229376
81.5,0.47,1078,0.008035518,0.10721842,2.6017396,-0.013814375,0.049605504,0.6788413226604462,15,3840,229.1874655970023,245760
75.64,0.23,1077,0.008925468,0.120279945,2.5891225,-0.013235661,0.052383214,0.6922498941421509,16,4096,244.39383022097172,262144
77.68,-0.22,1078,0.009183169,0.12198893,2.5840578,-0.014262572,0.058606107,0.6343221664428711,17,4352,259.5814267679816,278528
81.63,0.07,1078,0.00939692,0.12760417,2.563287,-0.016319016,0.04778543,0.7073481380939484,18,4608,274.77780351799447,294912
83.55,0.81,1076,0.009632505,0.1329956,2.564203,-0.014440262,0.05001772,0.618515133857727,19,4864,290.00182349496754,311296
82.1,0.74,1076,0.010263256,0.13734944,2.565805,-0.014242607,0.046720877,0.6635222136974335,20,5120,305.22647342295386,327680
80.43,0.79,1075,0.011245458,0.14583333,2.557362,-0.014723375,0.04460105,0.7032546997070312,21,5376,320.4619091359782,344064
77.99,0.99,1070,0.011557362,0.15340169,2.5585804,-0.015727168,0.04154353,0.6979804635047913,22,5632,335.7629128159606,360448
79.01,1.14,1075,0.012981611,0.17163086,2.547146,-0.013518638,0.037161868,0.7274819314479828,23,5888,351.0032805780065,376832
75.94,1.26,1077,0.012559733,0.16408284,2.5634959,-0.016385283,0.042003606,0.7219897210597992,24,6144,366.2097768379608,393216
89.85,1.39,1075,0.011343531,0.1417033,2.551574,-0.013421424,0.039007496,0.7644655108451843,25,6400,381.4445073619718,409600
80.76,1.46,1075,0.012242648,0.15808105,2.526262,-0.014033105,0.03855054,0.7650110572576523,26,6656,396.6848619519733,425984
84.06,1.36,1077,0.015837269,0.19993083,2.4994314,-0.014320001,0.037257187,0.7876938432455063,27,6912,411.8914224070031,442368
90.66,1.8,1077,0.013096836,0.16245525,2.5107937,-0.014116828,0.047473807,0.7872061878442764,28,7168,427.09556955099106,458752
84.98,1.56,1077,0.01763974,0.2179362,2.5101922,-0.014288403,0.0405086,0.8246105015277863,29,7424,442.3034315739642,475136
88.7,1.84,1073,0.012555931,0.16021729,2.4988317,-0.015763858,0.060372576,0.7471614181995392,30,7680,457.5627791619627,491520
102.57,1.76,1077,0.013947268,0.1763916,2.4918015,-0.017232714,0.06652399,0.7152863144874573,31,7936,472.7690286639845,507904
111.9,2.04,1075,0.014549543,0.18369548,2.5000856,-0.01616333,0.11781568,0.5720142126083374,32,8192,488.0019768609782,524288
105.99,2.26,1077,0.0120566785,0.15360515,2.4875195,-0.016275847,0.096899234,0.6850574314594269,33,8448,503.2128086189623,540672
97.07,1.91,1077,0.013380303,0.16990153,2.4808152,-0.018724931,0.054471374,0.7851884365081787,34,8704,518.4183891220018,557056
106.15,2.22,1077,0.015971253,0.19000244,2.4778059,-0.011924465,0.05282058,0.8068720102310181,35,8960,533.6234293039888,573440
118.62,3.06,1074,0.016549727,0.19789632,2.4605973,-0.014281371,0.099261165,0.7121083438396454,36,9216,548.8720271170023,589824
125.29,3.18,1077,0.013288088,0.16499837,2.4697998,-0.014290228,0.08728997,0.7370662689208984,37,9472,564.0805752259912,606208
116.51,3.04,1080,0.013861194,0.17472331,2.4585605,-0.0142017035,0.07930639,0.7991841435432434,38,9728,579.2475538279978,622592
121.58,2.87,1081,0.013343724,0.16625977,2.4508145,-0.016599244,0.09157475,0.7807084769010544,39,9984,594.4042012729915,638976
141.42,4.21,1079,0.012998834,0.1692098,2.4391532,-0.015671127,0.11524137,0.7471600770950317,40,10240,609.5764890299761,655360
132.38,3.19,1080,0.014373482,0.18393962,2.4320455,-0.016301112,0.06406907,0.8291400969028473,41,10496,624.7451273530023,671744
131.84,3.22,1074,0.014722033,0.1848348,2.3981223,-0.01620453,0.0793048,0.8363677710294724,42,10752,639.9943164719734,688128
148.25,4.54,1078,0.014014833,0.1753947,2.4040573,-0.015844028,0.11619762,0.8076206147670746,43,11008,655.1874194589909,704512
141.33,4.04,1078,0.01468398,0.18863933,2.4071195,-0.018223407,0.05877878,0.8575068712234497,44,11264,670.3848113910062,720896
142.23,4.03,1076,0.01670579,0.19923909,2.384471,-0.013398561,0.08766445,0.8470910787582397,45,11520,685.5998176969588,737280
144.12,4.34,1076,0.013386611,0.16784668,2.386128,-0.013173308,0.1277096,0.8029199540615082,46,11776,700.8182372539886,753664
162.25,4.25,1076,0.014025614,0.17818196,2.3813298,-0.014771436,0.09950905,0.839738667011261,47,12032,716.0375919839717,770048
155.28,4.44,1077,0.015886758,0.19433594,2.3797483,-0.018390698,0.08157297,0.8755119815468788,48,12288,731.2420888390043,786432
150.21,4.04,1079,0.014374292,0.18454997,2.393791,-0.016655436,0.070076615,0.8757913932204247,49,12544,746.414871949004,802816
149.32,4.22,1076,0.015447737,0.18666585,2.3996146,-0.016454393,0.13648179,0.8436402678489685,50,12800,761.6309493739973,819200
147.54,4.52,1080,0.014501871,0.18373616,2.3970916,-0.018227106,0.079839535,0.8551394045352936,51,13056,776.791516044992,835584
179.62,6.04,1077,0.011810861,0.14807129,2.3836076,-0.015355109,0.10614103,0.875448428094387,52,13312,791.9969073439715,851968
193.13,6.45,1079,0.01055877,0.12986247,2.3716753,-0.012146945,0.13107651,0.8723386228084564,53,13568,807.1679381279973,868352
168.39,5.6,1077,0.013698295,0.17350261,2.328886,-0.01643719,0.09784762,0.902461513876915,54,13824,822.3688057859545,884736
185.83,5.62,1078,0.01588749,0.19478352,2.3265069,-0.018600648,0.111071356,0.882681354880333,55,14080,837.5675233829534,901120
197.75,6.72,1078,0.013237505,0.16945393,2.3254704,-0.018448884,0.107060574,0.8843862116336823,56,14336,852.762031813967,917504
195.62,7.25,1079,0.015492705,0.19468181,2.273351,-0.014196317,0.14651066,0.9157454296946526,57,14592,867.9410368599929,933888
202.15,8.23,1079,0.013749682,0.17698161,2.2709868,-0.0139056295,0.11729071,0.922442115843296,58,14848,883.1198723599664,950272
199.64,6.78,1080,0.014735195,0.18800862,2.2865546,-0.018901229,0.13890974,0.8834853321313858,59,15104,898.2886258449871,966656
221.9,8.44,1078,0.012493547,0.1554362,2.2527483,-0.012920984,0.1512036,0.9266536235809326,60,15360,913.482524669962,983040
223.01,9.38,1077,0.015887296,0.19126384,2.2117684,-0.013017062,0.21757223,0.8976760432124138,61,15616,928.6848512659781,999424
224.87,9.67,1078,0.015138033,0.17272949,2.2594206,-0.013676566,0.21079586,0.8884055688977242,62,15872,943.8829364749836,1015808
201.84,7.95,1071,0.015150114,0.1874593,2.25326,-0.014366858,0.18419509,0.909915067255497,63,16128,959.1691640929785,1032192
224.17,9.06,1079,0.016490132,0.20176189,2.2345583,-0.019424751,0.18459477,0.910473458468914,64,16384,974.3509518849896,1048576
250.26,10.77,1077,0.015707219,0.18660481,2.2221286,-0.014142913,0.22804613,0.9139066264033318,65,16640,989.5535402550013,1064960
248.2,11.1,1078,0.013467652,0.16294353,2.198497,-0.012356241,0.20538765,0.9008257985115051,66,16896,1004.7477652539965,1081344
