eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,eplenmean,eprewmean
81.63,-2.14,1716,0.000114187,0,2.7079418,-0.000523426,0.5205065,0.007195652,1,256,9.544023875,16384,81.63,-2.14
80.21,-2.15,2331,7.17E-05,0,2.7076232,-0.00026808,0.14768344,0.041201949,2,512,16.62733285,32768,80.21,-2.15
86.24,-2.9,2360,0.000688535,0.002868652,2.7058833,-0.001079728,0.13922305,0.069895327,3,768,23.56884875,49152,86.24,-2.9
78.41,-2.04,2239,0.002855386,0.010701497,2.6943054,-0.002696299,0.12931633,0.172213018,4,1024,30.88512069,65536,78.41,-2.04
73.91,-1.39,2303,0.004440369,0.02923584,2.675706,-0.004048596,0.10141698,0.313467264,5,1280,37.997294,81920,73.91,-1.39
76.35,-0.89,2280,0.003926932,0.03277588,2.6639726,-0.004666367,0.106052764,0.451533794,6,1536,45.18324756,98304,76.35,-0.89
75.57,-1.04,2312,0.003827332,0.03422038,2.6513374,-0.005175508,0.08690294,0.490798354,7,1792,52.26797174,114688,75.57,-1.04
77.63,-1.1,2295,0.004682524,0.046590168,2.6494374,-0.006851243,0.06845963,0.583379745,8,2048,59.40584869,131072,77.63,-1.1
75.76,-0.87,2308,0.005202681,0.05501302,2.6339667,-0.00728808,0.0747306,0.643933684,9,2304,66.50455952,147456,75.76,-0.87
78.17,-0.49,2169,0.005114068,0.05863444,2.6209137,-0.008360768,0.05426602,0.689779878,10,2560,74.05659086,163840,78.17,-0.49
78.54,-0.52,2245,0.005292963,0.060791016,2.618615,-0.009836187,0.06052394,0.695790857,11,2816,81.35278136,180224,78.54,-0.52
77.11,-0.57,2279,0.005817163,0.071736656,2.604295,-0.009602951,0.062814735,0.704762787,12,3072,88.54223674,196608,77.11,-0.57
77.14,0.03,2231,0.008750363,0.11606852,2.6002378,-0.009380018,0.054357063,0.669464022,13,3328,95.88571801,212992,77.14,0.03
77.08,0.08,2185,0.007213447,0.09397379,2.5843644,-0.011171895,0.054232076,0.704969883,14,3584,103.384228,229376,77.08,0.08
78.61,-0.04,2137,0.006736748,0.085367836,2.588702,-0.011982068,0.06071941,0.67641294,15,3840,111.0500755,245760,78.61,-0.04
74.41,0.08,2211,0.006910069,0.08573405,2.6060228,-0.011179838,0.057569426,0.619618326,16,4096,118.4603335,262144,74.41,0.08
83.77,0.49,2179,0.00861993,0.11311849,2.5927813,-0.013043969,0.04616967,0.666204393,17,4352,125.9795281,278528,83.77,0.49
77.02,0.48,2236,0.009871122,0.1293335,2.587444,-0.013946672,0.050271604,0.684729099,18,4608,133.3072491,294912,77.02,0.48
81.22,0.35,2212,0.009015286,0.11981201,2.5889802,-0.014505043,0.054708302,0.64417544,19,4864,140.7125663,311296,81.22,0.35
80.67,0.92,2153,0.008969467,0.11995443,2.5916502,-0.014200375,0.05070309,0.578864902,20,5120,148.3198033,327680,80.67,0.92
79.41,0.87,2221,0.011748872,0.14676921,2.5694194,-0.013455089,0.046174873,0.624782294,21,5376,155.6972382,344064,79.41,0.87
80.67,1.15,2237,0.010501034,0.13826497,2.553512,-0.015631657,0.042084217,0.695837796,22,5632,163.0220809,360448,80.67,1.15
80.78,1.38,2175,0.012023569,0.15893555,2.5510676,-0.015598808,0.048303213,0.706962377,23,5888,170.5525609,376832,80.78,1.38
80.48,1.31,2228,0.013465714,0.17447917,2.5485194,-0.013325327,0.051822763,0.739833474,24,6144,177.9039522,393216,80.48,1.31
85.19,1.38,2232,0.011406332,0.15303548,2.5525653,-0.01449012,0.039951738,0.765022546,25,6400,185.2436518,409600,85.19,1.38
79.43,1.45,2228,0.013550033,0.17364502,2.5242279,-0.014965999,0.041504532,0.79810226,26,6656,192.5962693,425984,79.43,1.45
84.18,1.31,2232,0.012487225,0.16078694,2.5295284,-0.016008912,0.04813319,0.749540925,27,6912,199.9345647,442368,84.18,1.31
83.7,1.4,2281,0.013925728,0.16918945,2.5292141,-0.013656619,0.028816381,0.816701278,28,7168,207.1173453,458752,83.7,1.4
80.22,1.32,2237,0.013236073,0.16644287,2.5065355,-0.016313592,0.037515614,0.776504844,29,7424,214.4407821,475136,80.22,1.32
88.19,1.58,2277,0.013299205,0.16274007,2.4927177,-0.015536089,0.04981488,0.788809434,30,7680,221.6345295,491520,88.19,1.58
84.66,1.48,2205,0.013684258,0.15985107,2.482826,-0.013405987,0.043830086,0.820934132,31,7936,229.0648012,507904,84.66,1.48
92.62,1.67,2215,0.01293002,0.16566975,2.4806962,-0.015079271,0.042514816,0.808713749,32,8192,236.4613718,524288,92.62,1.67
94.15,1.37,2160,0.012256332,0.16068523,2.4754272,-0.017915668,0.045845922,0.784569636,33,8448,244.0444938,540672,94.15,1.37
90.4,2.07,2162,0.012930912,0.171875,2.463005,-0.017151458,0.03785452,0.84933573,34,8704,251.6225005,557056,90.4,2.07
98.62,2.24,2163,0.015732093,0.19380696,2.460856,-0.016848879,0.04776072,0.801939607,35,8960,259.1969944,573440,98.62,2.24
103.04,1.77,2124,0.013044663,0.1673177,2.4664013,-0.015338913,0.067596115,0.757613465,36,9216,266.9114369,589824,103.04,1.77
102.17,1.91,2259,0.015031908,0.1819051,2.4543042,-0.014871067,0.08571506,0.717975348,37,9472,274.1618631,606208,102.17,1.91
112.27,2.27,2183,0.013673504,0.1731364,2.4463847,-0.017470047,0.0711057,0.762983561,38,9728,281.6653128,622592,112.27,2.27
115.99,2.81,2201,0.014267025,0.18273926,2.4310396,-0.017494818,0.070088126,0.78342998,39,9984,289.1101329,638976,115.99,2.81
116.18,2.09,2142,0.013679071,0.17277019,2.4185908,-0.017310264,0.07127266,0.780554444,40,10240,296.7588104,655360,116.18,2.09
115.7,2.31,2249,0.014177854,0.17718506,2.3942742,-0.016838675,0.055125106,0.833527997,41,10496,304.0420785,671744,115.7,2.31
108.9,2.87,2236,0.014479893,0.18465169,2.402233,-0.018318636,0.045023944,0.853716731,42,10752,311.3689667,688128,108.9,2.87
116.3,3.2,2208,0.012433169,0.1564331,2.405159,-0.012964372,0.07413816,0.806527093,43,11008,318.7869388,704512,116.3,3.2
119.22,3.26,2157,0.01409671,0.17006429,2.3762658,-0.017533518,0.06666543,0.811842442,44,11264,326.3836247,720896,119.22,3.26
122.21,3.45,2237,0.015994629,0.19085693,2.356876,-0.015976148,0.06872893,0.822078228,45,11520,333.7057205,737280,122.21,3.45
120.31,3.2,2157,0.014239877,0.1817627,2.3431742,-0.017364955,0.06470578,0.847044498,46,11776,341.2997984,753664,120.31,3.2
147.01,3.62,2233,0.013738182,0.17789714,2.3396673,-0.017276375,0.07182846,0.825713664,47,12032,348.6370631,770048,147.01,3.62
