eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
146.375,4.5,1228,0.021530524,0.20404053,1.9065615,-0.0138496,0.3355753,0.8699030727148056,1,256,13.33865173801314,16384
367.1,23.042856,1954,0.008344328,0.10158285,1.9628977,-0.012755625,0.4138452,0.8439268469810486,2,512,21.722991582995746,32768
367.8395061728395,23.049383,1941,0.006891454,0.07767741,1.9802865,-0.013220705,0.13503437,0.9137970730662346,3,768,30.163222937000683,49152
401.33,27.41,1916,0.0067838333,0.07092285,1.9401962,-0.009896452,0.22162811,0.908921405673027,4,1024,38.712625909014605,65536
407.71,27.77,1898,0.0077309874,0.08947754,1.9879278,-0.009880415,0.1814099,0.8968108296394348,5,1280,47.34533683399786,81920
402.58,27.34,1881,0.010891317,0.12257894,1.9455448,-0.010092599,0.113258444,0.9457382895052433,6,1536,56.054614140011836,98304
413.52,28.44,1873,0.00981261,0.124043785,1.9316114,-0.008976158,0.16089372,0.9259743764996529,7,1792,64.7988121570088,114688
410.83,28.17,1871,0.0061650076,0.06500244,1.9554882,-0.011519831,0.1064749,0.9340813681483269,8,2048,73.55237577098887,131072
410.94,28.29,1909,0.00610999,0.06691488,1.9638399,-0.010585646,0.25724098,0.8830999806523323,9,2304,82.13462974599679,147456
407.65,27.71,1920,0.0086036,0.09450277,1.9859034,-0.01052881,0.18249626,0.9236764907836914,10,2560,90.66517822199967,163840
400.47,27.25,1921,0.0077357558,0.08780924,1.9189464,-0.012904123,0.12190166,0.9499410390853882,11,2816,99.19196953301434,180224
407.21,29.32,1922,0.0067122285,0.07397461,1.9475842,-0.009789384,0.1688808,0.9323488175868988,12,3072,107.71287642500829,196608
403.61,28.47,1922,0.007737212,0.08616129,1.9569255,-0.013910246,0.12885325,0.9355593994259834,13,3328,116.23623892999603,212992
414.55,30.15,1912,0.0068124584,0.07897949,1.9281126,-0.012763406,0.073464096,0.9693621229380369,14,3584,124.8014057110122,229376
414.76,29.79,1912,0.009320358,0.10449219,1.9354,-0.011018213,0.20698386,0.9051491320133209,15,3840,133.37001229499583,245760
407.37,28.39,1908,0.007983297,0.08976237,1.9353976,-0.012391958,0.20811582,0.9053245335817337,16,4096,141.95549441300682,262144
