eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
75.21,-2.36,1232,0.00013703905,0.0,2.7079208,-0.000471132,0.2708665,-0.0118408203125,1,256,13.29694049898535,16384
81.25,-2.15,1938,0.0004940002,0.0,2.7063863,-0.0005507294,0.1404197,0.07557672262191772,2,512,21.747879558999557,32768
82.7,-2.54,1922,0.001341592,0.0029296875,2.700097,-0.0011464442,0.14777096,0.1426985263824463,3,768,30.270543816994177,49152
81.61,-2.52,1902,0.0032479006,0.024963379,2.6843798,-0.0027704632,0.11764867,0.2892574071884155,4,1024,38.881987348984694,65536
75.87,-1.94,1882,0.0026450073,0.011027019,2.6646848,-0.0023555292,0.11660614,0.340021014213562,5,1280,47.58626443898538,81920
74.18,-1.6,1858,0.0021363357,0.013509114,2.6500146,-0.0027522212,0.104388006,0.4731261134147644,6,1536,56.40071490299306,98304
77.45,-0.97,1849,0.0026555248,0.016581217,2.6595922,-0.0035574238,0.079331815,0.5399615466594696,7,1792,65.25834263098659,114688
75.02,-0.98,1868,0.0042618797,0.048380535,2.650863,-0.0054066535,0.0885807,0.5608271658420563,8,2048,74.02871106998646,131072
77.49,-1.17,1881,0.003787896,0.02952067,2.6430743,-0.0062952563,0.07943155,0.6499557495117188,9,2304,82.73669463998522,147456
76.63,-0.6,1890,0.004655321,0.050760906,2.6434968,-0.007611101,0.05294056,0.7440086007118225,10,2560,91.40389075200073,163840
74.86,-0.63,1898,0.0052871,0.05810547,2.6386588,-0.008976322,0.05595091,0.7528547197580338,11,2816,100.03288299799897,180224
75.33,-0.66,1902,0.0052686147,0.05360921,2.6311357,-0.008788141,0.063148916,0.7294844686985016,12,3072,108.64619748300174,196608
74.56,-0.15,1897,0.0059241354,0.07318115,2.615848,-0.009348937,0.06348592,0.7499605715274811,13,3328,117.27964655298274,212992
74.89,-0.11,1895,0.0065783127,0.08433024,2.6176238,-0.010368726,0.056544155,0.6702470183372498,14,3584,125.92390146598336,229376
75.86,0.01,1890,0.0061339014,0.07588705,2.6099603,-0.009461772,0.050610855,0.6234610378742218,15,3840,134.58995617498294,245760
78.68,0.09,1884,0.006247587,0.07643636,2.595985,-0.0113925515,0.06084409,0.6957241296768188,16,4096,143.2837972859852,262144
75.3,-0.42,1881,0.0069681252,0.08799235,2.588385,-0.0139623545,0.07556206,0.6639601588249207,17,4352,151.99349170798087,278528
74.23,0.6,1880,0.0068039023,0.084513344,2.587382,-0.012650598,0.040617086,0.768563449382782,18,4608,160.70701542598545,294912
83.59,0.75,1870,0.0077595883,0.100992836,2.5801795,-0.014354217,0.039969794,0.7102334797382355,19,4864,169.4655731189996,311296
72.21,0.38,1855,0.009341715,0.1208903,2.5560162,-0.014320898,0.05642085,0.682502031326294,20,5120,178.296253212,327680
80.91,0.99,1885,0.0114825815,0.15930176,2.5353014,-0.013684132,0.04942715,0.7637804001569748,21,5376,186.9859205839748,344064
81.17,0.42,1889,0.010203599,0.13761394,2.5749483,-0.01367431,0.056272645,0.6564275324344635,22,5632,195.65789835798205,360448
83.23,0.52,1889,0.010797604,0.14133708,2.555543,-0.012143746,0.05847371,0.669238418340683,23,5888,204.32915013298043,376832
87.39,0.66,1890,0.00943056,0.122172035,2.5472817,-0.014572591,0.044362694,0.7528339475393295,24,6144,212.9953796499758,393216
81.1,1.0,1887,0.00853438,0.114481606,2.541005,-0.015927201,0.034422584,0.7768030911684036,25,6400,221.6769166609738,409600
81.81,1.29,1886,0.011079841,0.14768474,2.521724,-0.015558382,0.037821542,0.8034640699625015,26,6656,230.3605644379859,425984
76.0,0.84,1884,0.008848753,0.11179606,2.5135043,-0.015396774,0.05494673,0.7551664710044861,27,6912,239.0551132549881,442368
83.96,1.36,1887,0.011360347,0.14935303,2.5002418,-0.013886363,0.039312128,0.8538830578327179,28,7168,247.73420236099628,458752
85.48,1.24,1883,0.010817271,0.14424641,2.491865,-0.014623416,0.032360654,0.8645212352275848,29,7424,256.4340896959766,475136
87.2,1.33,1881,0.01177806,0.15104167,2.4820511,-0.014534467,0.045882,0.8458434194326401,30,7680,265.14268672297476,491520
90.1,1.69,1881,0.010524265,0.13472493,2.4590504,-0.011969622,0.06347868,0.7471628785133362,31,7936,273.8502801459981,507904
84.46,1.49,1881,0.013419836,0.1630656,2.467541,-0.014386192,0.038124483,0.8591621816158295,32,8192,282.55688053998165,524288
89.87,1.78,1874,0.011773427,0.15433757,2.4544613,-0.01549431,0.029764935,0.8823743760585785,33,8448,291.29787857297924,540672
91.26,1.34,1886,0.011201101,0.14430745,2.441261,-0.016582115,0.052478313,0.8176270723342896,34,8704,299.98262652399717,557056
99.4,1.73,1886,0.013383961,0.17071533,2.410778,-0.014779795,0.048740815,0.8536044061183929,35,8960,308.66576443699887,573440
95.47,1.39,1889,0.012353349,0.16662598,2.3938663,-0.01658816,0.041013617,0.9018052518367767,36,9216,317.33918759497465,589824
97.11,2.0,1888,0.013097937,0.16400146,2.4213574,-0.01354213,0.040808726,0.8719590604305267,37,9472,326.01394488097867,606208
88.89,1.57,1888,0.013210812,0.17030843,2.3955293,-0.015446849,0.052650824,0.8105798661708832,38,9728,334.68930961500155,622592
95.43,1.82,1883,0.013771228,0.17120361,2.4016805,-0.018591588,0.03355614,0.8527193963527679,39,9984,343.38722056898405,638976
92.52,1.76,1886,0.013202197,0.16737874,2.3727994,-0.016646905,0.038568858,0.8979881629347801,40,10240,352.07277946799877,655360
93.92,1.66,1888,0.0138768,0.16937256,2.385215,-0.016683562,0.040736083,0.8559814691543579,41,10496,360.74964095899486,671744
86.17,1.28,1886,0.012865376,0.16815186,2.346638,-0.018255131,0.045014422,0.8761105686426163,42,10752,369.4362046569877,688128
94.06,2.23,1889,0.01350849,0.17049153,2.3600948,-0.016896121,0.029106794,0.9238096103072166,43,11008,378.1057765799924,704512
108.2,2.51,1892,0.0120356195,0.15812175,2.353969,-0.01596818,0.048970014,0.8860220387578011,44,11264,386.7652348720003,720896
100.32,2.21,1888,0.013710548,0.16762288,2.3583121,-0.019111479,0.046822775,0.8767023012042046,45,11520,395.43966371699935,737280
108.19,2.75,1886,0.012170069,0.15429688,2.3319764,-0.017824447,0.05031823,0.8669194281101227,46,11776,404.1247812709771,753664
107.61,2.2,1885,0.01372657,0.17024739,2.3377912,-0.017579796,0.051262762,0.8632098287343979,47,12032,412.81512125598965,770048
111.42,2.7,1884,0.012548451,0.15848796,2.3221462,-0.018496888,0.052989364,0.8743143826723099,48,12288,421.5091510459897,786432
122.99,2.88,1887,0.015279374,0.18656413,2.3178785,-0.018351993,0.05291826,0.8841798081994057,49,12544,430.19114703699597,802816
104.95,2.32,1886,0.014303585,0.17685954,2.3145037,-0.018401003,0.05980446,0.8672039061784744,50,12800,438.87452440397465,819200
112.61,2.49,1885,0.0135102235,0.17274983,2.303023,-0.018321937,0.051644176,0.89097960293293,51,13056,447.566029486974,835584
116.63,2.33,1889,0.014056202,0.17889404,2.306447,-0.021460684,0.044739466,0.8792947083711624,52,13312,456.2368377389794,851968
121.74,2.48,1889,0.015062931,0.17659505,2.2826812,-0.020649444,0.057494927,0.8893527835607529,53,13568,464.90640317299403,868352
134.64,3.69,1887,0.01261693,0.15785725,2.2880766,-0.016949257,0.06427104,0.8499803990125656,54,13824,473.5894292239973,884736
131.53,3.33,1868,0.01628455,0.20477295,2.2735724,-0.021676013,0.040958375,0.9045169651508331,55,14080,482.3608506019809,901120
108.79,2.65,1880,0.016341023,0.2063802,2.28013,-0.020713633,0.04350305,0.9002917557954788,56,14336,491.0721357209841,917504
118.44,3.5,1883,0.014548879,0.18432617,2.286382,-0.015433707,0.08774019,0.8311281204223633,57,14592,499.77053927700035,933888
130.16,3.53,1885,0.011255417,0.14231364,2.2451417,-0.015602837,0.0777178,0.8774074241518974,58,14848,508.4627944129752,950272
134.62,4.04,1885,0.014825695,0.17547607,2.2285736,-0.015665222,0.081582405,0.8830616101622581,59,15104,517.1545420170005,966656
135.49,3.61,1885,0.0118318945,0.1531779,2.251664,-0.015705628,0.09754456,0.8319665342569351,60,15360,525.8438171189919,983040
135.37,4.51,1886,0.016538963,0.19919841,2.246485,-0.012455657,0.120553225,0.8497792631387711,61,15616,534.5287083289877,999424
144.03,3.95,1886,0.012826624,0.16188557,2.2706625,-0.017114006,0.08305367,0.890872448682785,62,15872,543.2134414429893,1015808
155.88,4.31,1886,0.015250838,0.18310547,2.2295117,-0.015468314,0.10261162,0.858051672577858,63,16128,551.8974848399812,1032192
145.35,4.27,1887,0.013903008,0.17610677,2.25057,-0.018113175,0.088014305,0.8595901429653168,64,16384,560.5799779789813,1048576
