eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
80.97,-2.66,1220,0.00072529615,0.001953125,2.7072954,-0.0008633928,0.022222973,0.27967971563339233,1,256,13.419506420963444,16384
79.82,-2.53,1913,0.0039140745,0.022521973,2.6968365,-0.0023165687,0.008121111,0.22677040100097656,2,512,21.982024830009323,32768
83.13,-2.58,1917,0.005740819,0.0421346,2.6786711,-0.003205594,0.00727953,0.24694007635116577,3,768,30.52834460401209,49152
79.74,-1.44,1898,0.0041211406,0.036987305,2.6651065,-0.0022210272,0.0063261096,0.29369235038757324,4,1024,39.16018000600161,65536
75.18,-2.04,1879,0.0037891443,0.022481283,2.6373048,-0.001672713,0.0056113848,0.4353673458099365,5,1280,47.88012950896518,81920
73.52,-1.53,1864,0.0047498886,0.024393717,2.6345932,-0.0014312109,0.00456173,0.5314788818359375,6,1536,56.66715194500284,98304
77.0,-2.09,1866,0.0055698603,0.032796223,2.6013565,-0.0027331673,0.0056212,0.676257848739624,7,1792,65.4441678239964,114688
77.42,-1.29,1875,0.003998037,0.0238444,2.625293,-0.0021867093,0.0042572324,0.7245570421218872,8,2048,74.17904615297448,131072
75.37,-1.76,1895,0.0053937472,0.04140218,2.622934,-0.0024543959,0.004592748,0.7242295742034912,9,2304,82.82458048098488,147456
75.22,-1.84,1907,0.005205655,0.046162922,2.6267037,-0.0041352757,0.004569148,0.6980430483818054,10,2560,91.41301653697155,163840
76.96,-1.4,1910,0.003524567,0.028930664,2.6452162,-0.0037371928,0.004646318,0.6032073795795441,11,2816,99.98961721296655,180224
79.68,-0.96,1906,0.0048222956,0.05045573,2.6372206,-0.005709154,0.0048925346,0.6315171718597412,12,3072,108.58470370696159,196608
81.8,-1.04,1904,0.004625523,0.048339844,2.645281,-0.0035851926,0.004329217,0.5990832448005676,13,3328,117.18604219396366,212992
75.4,-0.87,1903,0.005714601,0.060546875,2.6346796,-0.006498832,0.0045689666,0.6039831638336182,14,3584,125.79402865999145,229376
78.61,-0.9,1891,0.0045151394,0.045125324,2.6254356,-0.0065861526,0.0037394045,0.6772821545600891,15,3840,134.45536913798423,245760
72.86,-0.62,1886,0.005299084,0.05621338,2.6289682,-0.005875109,0.0037583953,0.6217621862888336,16,4096,143.1415933969547,262144
74.28,-0.43,1879,0.0067483247,0.083475746,2.59907,-0.008839062,0.004436257,0.583714634180069,17,4352,151.86009300895967,278528
77.88,-0.58,1886,0.00721184,0.09136963,2.5917559,-0.006264715,0.0045747333,0.6580042839050293,18,4608,160.54453163198195,294912
75.52,-0.57,1892,0.0048043015,0.0487264,2.5936778,-0.0077889846,0.0035203637,0.6300361752510071,19,4864,169.20213986496674,311296
76.32,-0.61,1894,0.0062162,0.07637533,2.5839434,-0.010905557,0.004145051,0.5996487438678741,20,5120,177.85173698299332,327680
78.09,0.15,1892,0.007774005,0.1048584,2.567798,-0.012240667,0.0038963256,0.5689657330513,21,5376,186.50863916496746,344064
73.84,0.09,1896,0.007937207,0.10687256,2.5425322,-0.010065503,0.0044797515,0.5789596438407898,22,5632,195.14956203399925,360448
76.8,0.04,1897,0.008345837,0.111836754,2.5558422,-0.010869388,0.0039939233,0.5701180398464203,23,5888,203.7837842470035,376832
73.72,-0.04,1895,0.0070261,0.08815511,2.570428,-0.009757388,0.0036371993,0.5318645536899567,24,6144,212.42950794298667,393216
80.4,0.34,1894,0.008654434,0.11488851,2.5536716,-0.012299582,0.003693835,0.6370663344860077,25,6400,221.08050373697188,409600
76.02,0.22,1887,0.0077753966,0.0974528,2.5522332,-0.012025981,0.003702862,0.5840009450912476,26,6656,229.763110305008,425984
76.46,0.01,1885,0.007299282,0.096944176,2.5547736,-0.013246215,0.0039543035,0.5671372711658478,27,6912,238.4525161339552,442368
75.81,0.09,1886,0.0072962833,0.09525553,2.5669081,-0.012715523,0.0038451336,0.6431435942649841,28,7168,247.13767833000747,458752
79.49,-0.07,1890,0.0075237616,0.09855143,2.56999,-0.01411512,0.004602294,0.5443662106990814,29,7424,255.80268057796638,475136
75.93,0.18,1891,0.007877302,0.106038414,2.5460765,-0.0137191415,0.004040732,0.5729980766773224,30,7680,264.46401758497814,491520
76.9,0.05,1891,0.008965403,0.12141927,2.5259688,-0.015476386,0.004520264,0.5437766015529633,31,7936,273.12635212100577,507904
82.09,0.51,1894,0.008857451,0.118021645,2.5072255,-0.015188716,0.0040315767,0.5241814851760864,32,8192,281.7746499609784,524288
76.54,0.31,1892,0.010452583,0.13842773,2.479225,-0.016534662,0.0038034942,0.6339896619319916,33,8448,290.43422247696435,540672
80.12,0.79,1895,0.009919066,0.13730876,2.5125487,-0.014538136,0.0034297642,0.5469932854175568,34,8704,299.08010728500085,557056
74.33,0.94,1895,0.009994098,0.14017741,2.466635,-0.016847601,0.0033857704,0.5520850718021393,35,8960,307.7237239909591,573440
78.41,0.5,1893,0.010655623,0.14933269,2.4612863,-0.017270412,0.0032978747,0.5955885052680969,36,9216,316.37563633499667,589824
73.1,0.94,1873,0.011308469,0.15443929,2.4570048,-0.015423293,0.0035118766,0.6430744528770447,37,9472,325.1193477049819,606208
73.95,0.69,1895,0.010136335,0.13641357,2.4459503,-0.014227704,0.0037270365,0.6881968080997467,38,9728,333.76449348096503,622592
76.15,0.79,1893,0.013113621,0.17207845,2.4237835,-0.015060551,0.003684657,0.5717050433158875,39,9984,342.4175682339701,638976
81.34,0.82,1895,0.0112717,0.15285237,2.4446137,-0.016186448,0.003780566,0.6008380055427551,40,10240,351.06348068796797,655360
75.32,0.47,1897,0.011379438,0.15362549,2.4304507,-0.017611278,0.0034963666,0.6536850333213806,41,10496,359.6979777579545,671744
74.84,0.76,1895,0.011804349,0.16408284,2.382781,-0.014785111,0.0033381563,0.7278571724891663,42,10752,368.34342966100667,688128
81.09,0.68,1882,0.0120305605,0.15867107,2.3831604,-0.01842909,0.0034026091,0.7178693413734436,43,11008,377.0472485779901,704512
77.62,0.87,1894,0.012674547,0.175354,2.3447335,-0.017348649,0.004060656,0.7489222884178162,44,11264,385.6967482849723,720896
76.2,1.2,1889,0.011200073,0.15909831,2.3807588,-0.018546483,0.0025937425,0.7644729614257812,45,11520,394.3691057600081,737280
79.86,1.06,1899,0.011888355,0.16237386,2.3486545,-0.01935328,0.0029540735,0.7131267488002777,46,11776,402.9965055260109,753664
76.56,0.68,1898,0.012111447,0.15865071,2.3686094,-0.017578682,0.003410333,0.6116388738155365,47,12032,411.62527466000756,770048
78.19,1.1,1900,0.011425559,0.15649414,2.3679092,-0.018742777,0.0029284365,0.6602955460548401,48,12288,420.2476831729873,786432
76.42,0.97,1899,0.012762845,0.16827393,2.3501065,-0.019647466,0.003207898,0.6592432856559753,49,12544,428.87182947498513,802816
73.88,1.08,1900,0.012090564,0.16868083,2.3750813,-0.019389892,0.0029057537,0.6941334307193756,50,12800,437.4912990019657,819200
78.48,1.03,1897,0.012987603,0.17403157,2.33345,-0.018613124,0.0036981788,0.6509501338005066,51,13056,446.1255840489757,835584
74.69,1.17,1901,0.014390745,0.19303386,2.3319628,-0.019273985,0.0030612983,0.7199130952358246,52,13312,454.74272578698583,851968
79.56,1.13,1894,0.012787265,0.1720581,2.3437603,-0.020436762,0.0034683123,0.6688374578952789,53,13568,463.3895711909863,868352
76.33,1.39,1893,0.014435656,0.18898518,2.3266902,-0.020426998,0.003160255,0.6328763365745544,54,13824,472.04450146795716,884736
81.49,1.42,1894,0.014538348,0.19114177,2.3202803,-0.019988956,0.0033424993,0.7153525054454803,55,14080,480.692322517978,901120
80.49,0.96,1894,0.013515799,0.17852783,2.3345582,-0.020518033,0.0033465808,0.641263872385025,56,14336,489.34151175798615,917504
76.7,1.13,1892,0.014527758,0.19360352,2.327629,-0.017773166,0.003725673,0.5833679735660553,57,14592,497.9983082989929,933888
83.7,1.3,1896,0.014360145,0.19073486,2.3022835,-0.020233301,0.002688287,0.6162277162075043,58,14848,506.6401356009883,950272
74.8,1.54,1894,0.015586783,0.19897461,2.2518752,-0.021086337,0.002480732,0.7236408293247223,59,15104,515.2900948919705,966656
76.78,0.96,1893,0.0152849285,0.20007324,2.3015878,-0.021598747,0.0027726926,0.6843601167201996,60,15360,523.9456364059588,983040
76.64,1.34,1892,0.014616131,0.19809978,2.2704182,-0.020829758,0.0027479667,0.7303868234157562,61,15616,532.6026874659583,999424
