eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
83.05,-2.12,1132,0.00011522766,0.0,2.7079275,-0.00021811575,0.37769535,0.0022884011268615723,1,256,14.46268869800042,16384
81.89,-2.73,1811,4.85741e-05,0.0,2.70765,-0.00021134445,0.16841765,0.056279659271240234,2,512,23.509803076001845,32768
87.58,-3.22,1796,0.0005140594,2.0345053e-05,2.7062657,-0.00076201995,0.14724556,0.0965874195098877,3,768,32.63202896800067,49152
87.03,-1.95,1780,0.0027421198,0.011657715,2.6974275,-0.0022781536,0.11399532,0.20733022689819336,4,1024,41.83575002699945,65536
77.26,-1.63,1759,0.0039218436,0.024556478,2.6782482,-0.0030435857,0.106473096,0.35552823543548584,5,1280,51.147258122000494,81920
77.43,-1.35,1740,0.002809517,0.018208822,2.6653762,-0.0032814078,0.09148672,0.3919631838798523,6,1536,60.560211664000235,98304
78.39,-0.78,1723,0.0041199313,0.029805502,2.6589363,-0.0045915213,0.087208115,0.5290676653385162,7,1792,70.06815093000114,114688
74.12,-1.46,1697,0.0036157768,0.0256958,2.6531975,-0.0053424337,0.08412913,0.5516621172428131,8,2048,79.71884431299986,131072
76.6,-1.27,1690,0.0042294553,0.03491211,2.659048,-0.0061799176,0.07700204,0.6725584268569946,9,2304,89.41136271700088,147456
74.3,-0.92,1677,0.0039636223,0.03733317,2.6373923,-0.007839843,0.06879122,0.7011295258998871,10,2560,99.18083062200094,163840
76.24,-0.44,1668,0.006231914,0.073262535,2.635174,-0.0094551975,0.051693264,0.764679953455925,11,2816,109.00116562300173,180224
76.6,-0.59,1677,0.0059066922,0.07043457,2.6110816,-0.011193474,0.050422605,0.7708364278078079,12,3072,118.76639582899952,196608
74.91,-0.19,1695,0.005809879,0.067362465,2.5976489,-0.010543577,0.05254319,0.7437624931335449,13,3328,128.4286491999992,212992
77.04,-0.05,1699,0.007030248,0.09375,2.5922077,-0.01195626,0.05545496,0.756977453827858,14,3584,138.06950708300064,229376
77.67,-0.13,1702,0.0064769015,0.08015951,2.5693464,-0.011418031,0.045787517,0.7826739847660065,15,3840,147.69507373500164,245760
73.94,0.12,1704,0.007590031,0.09940592,2.5742328,-0.010967847,0.047034692,0.7590312063694,16,4096,157.3062514580015,262144
78.75,-0.29,1699,0.008564728,0.11549886,2.54433,-0.011928793,0.054177746,0.7961056381464005,17,4352,166.9472662549997,278528
76.51,0.07,1703,0.0085553,0.114705406,2.5428178,-0.014407966,0.05107325,0.7409358024597168,18,4608,176.5668906280007,294912
79.6,0.43,1694,0.008761661,0.11250814,2.5257657,-0.015232369,0.05557013,0.7396267652511597,19,4864,186.2346285929998,311296
76.58,0.57,1695,0.0103261275,0.14086914,2.4941378,-0.012295134,0.046323504,0.779620960354805,20,5120,195.89933436100182,327680
80.37,0.23,1697,0.011830521,0.15570068,2.5153282,-0.013019153,0.060194436,0.64890456199646,21,5376,205.5526286050008,344064
82.15,0.8,1699,0.00911141,0.12538655,2.5066762,-0.015063483,0.039173704,0.7823821902275085,22,5632,215.1917137720011,360448
82.96,0.93,1704,0.010307173,0.13346355,2.4705598,-0.0134765925,0.037426073,0.8079840987920761,23,5888,224.80547957100134,376832
81.16,0.78,1708,0.010387481,0.13570149,2.4565306,-0.013809577,0.05629232,0.7230397462844849,24,6144,234.3973347579995,393216
82.75,1.21,1704,0.01264168,0.15948486,2.4597533,-0.014863922,0.047306698,0.7456969618797302,25,6400,244.01199084300242,409600
84.72,1.18,1701,0.009789917,0.13100179,2.4791262,-0.015647283,0.040961612,0.7666476964950562,26,6656,253.64386080199984,425984
77.85,1.25,1703,0.012273642,0.1517741,2.4493923,-0.015388362,0.053180676,0.6966533958911896,27,6912,263.261916296,442368
80.58,1.07,1703,0.010361258,0.13891602,2.4497278,-0.01758703,0.038958352,0.8124916106462479,28,7168,272.87821785300184,458752
84.96,1.6,1704,0.0115222335,0.14164226,2.4438598,-0.017643306,0.0443179,0.7923744767904282,29,7424,282.4910596080008,475136
82.34,1.76,1705,0.013440504,0.16855876,2.4268103,-0.015816728,0.03839061,0.8165343403816223,30,7680,292.10082464399966,491520
82.5,1.03,1689,0.012073118,0.15270996,2.4569242,-0.014762751,0.07991869,0.6943836212158203,31,7936,301.7962478570007,507904
77.56,1.46,1693,0.013509094,0.1716919,2.4190233,-0.016793147,0.04888462,0.7842536866664886,32,8192,311.46881122000195,524288
86.81,1.73,1701,0.012526233,0.16444905,2.4374232,-0.017349796,0.04172194,0.7944804430007935,33,8448,321.09745140499945,540672
83.88,1.8,1700,0.013530865,0.16851807,2.387242,-0.018353933,0.049168695,0.8035824298858643,34,8704,330.7349262050011,557056
85.63,1.88,1706,0.015363183,0.18847656,2.3528073,-0.017341185,0.04722995,0.8140711188316345,35,8960,340.33785447300033,573440
90.32,2.15,1706,0.014503389,0.17999268,2.3576782,-0.012658361,0.06661265,0.7921810448169708,36,9216,349.9370998939994,589824
102.16,1.92,1704,0.014695167,0.18479411,2.377508,-0.017235138,0.048486736,0.8122460544109344,37,9472,359.55067686999973,606208
87.2,1.87,1700,0.015698059,0.18941243,2.3831742,-0.014272013,0.04427141,0.8239418566226959,38,9728,369.186477219002,622592
95.36,2.58,1707,0.013609789,0.17905681,2.4213877,-0.01624962,0.037287887,0.862486869096756,39,9984,378.78126596199945,638976
97.75,2.2,1697,0.013918568,0.17350261,2.3937533,-0.018293332,0.037354905,0.8421506434679031,40,10240,388.436218376999,655360
96.36,2.3,1702,0.015724871,0.1852824,2.4116046,-0.017313167,0.05627653,0.7928380966186523,41,10496,398.0604144200006,671744
95.14,2.1,1703,0.016572835,0.19421387,2.394863,-0.021202175,0.047708195,0.837125837802887,42,10752,407.6798006499994,688128
108.64,2.12,1700,0.01644423,0.19848633,2.3903966,-0.019170126,0.0467459,0.8464531600475311,43,11008,417.3135165909989,704512
111.63,2.8,1707,0.014085582,0.16945393,2.3916762,-0.020212421,0.04100737,0.8743261098861694,44,11264,426.90860366900233,720896
107.9,2.89,1702,0.014192417,0.1773885,2.37798,-0.017671442,0.039261658,0.8806070312857628,45,11520,436.5310316239993,737280
105.58,2.61,1707,0.015515677,0.18572998,2.3252842,-0.021334415,0.052601557,0.870635524392128,46,11776,446.12930835800216,753664
103.55,2.7,1705,0.0140575245,0.17858887,2.3365169,-0.019884879,0.03362219,0.9133202731609344,47,12032,455.7350182150003,770048
107.27,2.93,1708,0.01598276,0.18631999,2.2998517,-0.02202264,0.035639748,0.9203790575265884,48,12288,465.32636776800064,786432
117.37,3.55,1705,0.014522805,0.18607585,2.2722423,-0.022343097,0.045073304,0.8999906629323959,49,12544,474.9307848739991,802816
120.77,2.89,1705,0.016674822,0.20861816,2.2758906,-0.019791989,0.05012383,0.8802992850542068,50,12800,484.53526696300105,819200
124.77,2.83,1704,0.018726211,0.20570882,2.2963784,-0.016834792,0.06273955,0.8689888566732407,51,13056,494.1468914790021,835584
135.79,3.16,1707,0.015394229,0.18837483,2.301647,-0.017908119,0.06557699,0.8663252741098404,52,13312,503.7404511269997,851968
134.03,3.86,1711,0.015531951,0.19295247,2.2781804,-0.021773016,0.056046188,0.8867158591747284,53,13568,513.3120858959992,868352
117.6,2.7,1704,0.015126362,0.18064372,2.3145208,-0.023750333,0.056227878,0.8733925074338913,54,13824,522.9247514519993,884736
125.37,2.96,1705,0.018803207,0.21756999,2.3122172,-0.026835946,0.041840583,0.9237037301063538,55,14080,532.5292731789996,901120
141.91,3.4,1702,0.015425826,0.18865967,2.258622,-0.023517823,0.09285909,0.8416180610656738,56,14336,542.152018519002,917504
128.85,3.08,1708,0.019392382,0.212382,2.252874,-0.021958597,0.05551355,0.9060525074601173,57,14592,551.744881573999,933888
142.97,4.58,1707,0.013762951,0.17274983,2.259258,-0.018444167,0.085214846,0.8912089318037033,58,14848,561.3415539260022,950272
138.59,3.65,1706,0.018357603,0.20715332,2.2843268,-0.022945628,0.04934482,0.9153132885694504,59,15104,570.9413574089995,966656
132.56,3.5,1709,0.015632167,0.18570964,2.2797563,-0.022645274,0.052888274,0.9117214530706406,60,15360,580.5251962020011,983040
159.08,4.1,1708,0.015443993,0.18473308,2.2407947,-0.023806633,0.059895877,0.9008329063653946,61,15616,590.1162786770001,999424
156.14,3.62,1711,0.01871668,0.19759114,2.2324052,-0.01995754,0.08458365,0.8838626965880394,62,15872,599.6922420880001,1015808
156.69,4.15,1710,0.015860062,0.19421387,2.2160628,-0.026348805,0.0403103,0.9402944892644882,63,16128,609.2691058080018,1032192
150.43,4.23,1690,0.019739164,0.21815999,2.2411668,-0.02176845,0.06971421,0.9108662232756615,64,16384,618.9634287219997,1048576
144.82,4.2,1710,0.016817207,0.1944987,2.2547066,-0.024097338,0.06256715,0.9096506237983704,65,16640,628.540468272,1064960
148.77,4.67,1710,0.012261651,0.14813232,2.211871,-0.015798094,0.08391393,0.9277572557330132,66,16896,638.119002413001,1081344
162.49,5.31,1710,0.011407458,0.13785808,2.223571,-0.014819267,0.10104037,0.91000647097826,67,17152,647.6965627300015,1097728
177.92,5.5,1708,0.010470662,0.12941487,2.2229688,-0.02146857,0.08472961,0.923204280436039,68,17408,657.2846677310008,1114112
156.65,4.66,1710,0.01413264,0.16219075,2.225663,-0.02300149,0.080348596,0.932620495557785,69,17664,666.8645099330024,1130496
157.7,4.99,1713,0.01519759,0.1772461,2.213722,-0.02483677,0.07255877,0.9371320679783821,70,17920,676.4287892259999,1146880
142.96,4.01,1712,0.018734233,0.2076416,2.2441473,-0.026704224,0.05601138,0.9390581883490086,71,18176,685.9983828639997,1163264
160.1,4.89,1711,0.018730754,0.21372478,2.2329512,-0.020440111,0.081608124,0.9291958287358284,72,18432,695.5741080440021,1179648
159.74,5.13,1709,0.021868156,0.24058025,2.2500303,-0.022258846,0.07506302,0.9269783422350883,73,18688,705.1590405900024,1196032
156.74,5.2,1709,0.014969812,0.18233235,2.2594857,-0.021066785,0.08342481,0.925348550081253,74,18944,714.741593666,1212416
169.89,5.39,1710,0.017806845,0.19877116,2.2468584,-0.026504433,0.09373098,0.9089718088507652,75,19200,724.3216950370006,1228800
150.18,4.58,1707,0.015384958,0.17305501,2.237593,-0.018928213,0.08614412,0.9354792758822441,76,19456,733.9175060000016,1245184
171.46,5.12,1711,0.015834706,0.18046062,2.2242138,-0.022925558,0.087560184,0.9401979893445969,77,19712,743.4894627770009,1261568
185.07,6.23,1710,0.01422289,0.17336018,2.1890652,-0.022453448,0.11790705,0.931393139064312,78,19968,753.0707586960016,1277952
166.7,6.45,1710,0.013002306,0.1583252,2.149676,-0.023969298,0.107383974,0.9472052119672298,79,20224,762.651375251,1294336
169.65,7.24,1711,0.013539102,0.16092937,2.1795406,-0.022116287,0.11492924,0.947915393859148,80,20480,772.2246947259991,1310720
173.15,5.8,1715,0.015530132,0.18798828,2.1927297,-0.023933275,0.11613942,0.9309735596179962,81,20736,781.7782971960005,1327104
184.15,6.8,1712,0.0178594,0.1922404,2.1715808,-0.024660245,0.1019529,0.9418756105005741,82,20992,791.3448494520017,1343488
183.22,6.35,1710,0.017368335,0.1986084,2.153262,-0.02459661,0.10380692,0.9471294768154621,83,21248,800.9236397000022,1359872
193.1,6.79,1707,0.021426544,0.22241211,2.1505013,-0.02829051,0.094222166,0.9499295502901077,84,21504,810.5207925510003,1376256
199.4,6.25,1711,0.01626625,0.17980957,2.1085255,-0.025390787,0.10367378,0.9549402631819248,85,21760,820.0958047029999,1392640
194.86,8.31,1711,0.01553736,0.17580159,2.132786,-0.023199858,0.13374674,0.9415167309343815,86,22016,829.670523656001,1409024
188.1,7.16,1713,0.018801793,0.20595296,2.13185,-0.02692951,0.09915676,0.9499947242438793,87,22272,839.2318471229992,1425408
194.5,6.86,1713,0.015375134,0.16379802,2.1094983,-0.02290419,0.12725534,0.9531050696969032,88,22528,848.7942077789994,1441792
217.82,8.61,1710,0.014702777,0.17057292,2.1208384,-0.025759643,0.15029106,0.949636235833168,89,22784,858.3732647700017,1458176
206.5,7.55,1712,0.01621229,0.18131511,2.1143906,-0.02715177,0.15350375,0.9476567432284355,90,23040,867.9425234379996,1474560
222.68,9.46,1710,0.014679126,0.16894531,2.0882695,-0.023737771,0.17783736,0.9441564045846462,91,23296,877.5218347240007,1490944
190.85,8.19,1710,0.015939986,0.19189453,2.1433651,-0.025347209,0.14570986,0.9475058652460575,92,23552,887.0998085190004,1507328
205.09,8.37,1703,0.01609657,0.1784261,2.1477435,-0.02235832,0.14871523,0.9482796229422092,93,23808,896.7196220610022,1523712
203.12,8.62,1715,0.0129335215,0.15482585,2.124266,-0.027829349,0.15023929,0.957479927688837,94,24064,906.2731586699992,1540096
187.53,7.13,1714,0.019467564,0.20424397,2.1446574,-0.026887124,0.14039747,0.9583881460130215,95,24320,915.8272616200011,1556480
202.64,7.83,1694,0.0158609,0.18851726,2.1455338,-0.026063874,0.10506461,0.9664342701435089,96,24576,925.498612145002,1572864
226.24,9.41,1710,0.012662001,0.1505127,2.1213267,-0.0221339,0.1415698,0.958338301628828,97,24832,935.077399056001,1589248
222.87,9.54,1714,0.015699195,0.17484538,2.091933,-0.026225874,0.17993414,0.941822212189436,98,25088,944.634149595,1605632
225.19,8.03,1714,0.017701596,0.1876831,2.0678003,-0.019811181,0.1597897,0.9516984596848488,99,25344,954.1910031690022,1622016
231.29,9.34,1715,0.017608216,0.19014485,2.027346,-0.024705604,0.14200972,0.9665545932948589,100,25600,963.743449870999,1638400
220.33,9.92,1711,0.039399076,0.21160889,2.0475879,-0.026334705,0.14847855,0.9575370736420155,101,25856,973.3174058510012,1654784
227.96,9.78,1713,0.012345408,0.14845784,2.0307856,-0.021899156,0.15920918,0.9644889682531357,102,26112,982.8790906659997,1671168
219.14,9.34,1712,0.017093033,0.19673665,2.0710208,-0.02671828,0.15664579,0.9522070214152336,103,26368,992.4444463639993,1687552
225.99,9.45,1715,0.020147972,0.20340984,2.0017154,-0.0242616,0.17828085,0.9561093859374523,104,26624,1001.9981976250019,1703936
217.84,10.2,1714,0.015846066,0.16870117,2.0472767,-0.02497541,0.1420925,0.9685151800513268,105,26880,1011.5544827029989,1720320
218.17,9.01,1713,0.01652818,0.18005371,1.9981518,-0.021262212,0.21264225,0.9523774608969688,106,27136,1021.1150309330005,1736704
241.79,11.36,1710,0.016438203,0.1899414,1.9670115,-0.024544798,0.13256367,0.9727790355682373,107,27392,1030.693490730002,1753088
247.76,10.85,1717,0.018737542,0.1918335,2.0076044,-0.023678206,0.19065624,0.9548704586923122,108,27648,1040.2331516390004,1769472
218.77,9.03,1718,0.017632194,0.19067383,2.0013282,-0.026100276,0.19970404,0.9556441865861416,109,27904,1049.765754701999,1785856
254.92,11.3,1711,0.010827164,0.13114421,1.9716392,-0.016056273,0.22062474,0.9604796878993511,110,28160,1059.3414310619992,1802240
247.12,10.58,1715,0.02026979,0.19677734,1.9504067,-0.022101762,0.29298368,0.9444550052285194,111,28416,1068.8948478800012,1818624
245.09,10.54,1712,0.016517444,0.18308513,2.0185933,-0.025629425,0.16421916,0.9599858857691288,112,28672,1078.462268665,1835008
262.18,11.83,1716,0.015546321,0.18499756,1.9151646,-0.018434519,0.28819624,0.9397233985364437,113,28928,1088.005914452002,1851392
288.85,13.22,1717,0.018952198,0.20324707,1.936675,-0.027739832,0.25090522,0.9538583792746067,114,29184,1097.5459838970019,1867776
273.29,11.79,1715,0.020362126,0.22487386,1.9751338,-0.027158463,0.19537818,0.9595146551728249,115,29440,1107.0986193810022,1884160
257.55,11.63,1716,0.016071605,0.1875,2.0247736,-0.025240647,0.22046036,0.9440212026238441,116,29696,1116.6418346770006,1900544
263.34,12.13,1713,0.020834548,0.21166992,1.921897,-0.02792959,0.19142805,0.959062285721302,117,29952,1126.2028129030004,1916928
263.55,12.74,1711,0.012177235,0.15187581,1.9196644,-0.0227022,0.1905031,0.9638043865561485,118,30208,1135.7756738640019,1933312
269.91,13.13,1714,0.017989507,0.1751709,1.9233184,-0.025664737,0.19126539,0.961741928011179,119,30464,1145.3316492900012,1949696
283.86,13.83,1716,0.022432415,0.208903,1.9578943,-0.027435424,0.21544613,0.9557016938924789,120,30720,1154.8774593830021,1966080
277.76,13.14,1715,0.014948535,0.17948405,2.010681,-0.023421356,0.19050413,0.9616094529628754,121,30976,1164.4273718170007,1982464
260.15,11.7,1717,0.013263403,0.16278076,2.0179996,-0.024065733,0.23559506,0.9468581452965736,122,31232,1173.9660190390023,1998848
267.09,11.36,1718,0.016780281,0.17655437,1.9932357,-0.020304015,0.22185928,0.9474509730935097,123,31488,1183.5004906040012,2015232
281.95,13.46,1714,0.01581986,0.1778361,2.051233,-0.025964,0.16005419,0.9555099159479141,124,31744,1193.0564626619998,2031616
247.62,10.89,1715,0.0162459,0.17482503,2.0940158,-0.021030275,0.17860256,0.9442552514374256,125,32000,1202.608728133,2048000
247.6,10.66,1712,0.018150825,0.18870036,2.0353863,-0.02717191,0.17464422,0.9618597999215126,126,32256,1212.1765214469997,2064384
252.15,11.54,1712,0.018160483,0.19862874,2.0271995,-0.024185983,0.15290909,0.968856493011117,127,32512,1221.7439574189993,2080768
265.71,12.88,1714,0.014463491,0.16101074,2.0110328,-0.022507235,0.16902743,0.9604170359671116,128,32768,1231.3030852560005,2097152
290.0,14.13,1698,0.019348117,0.18766277,2.0339367,-0.024083814,0.23530586,0.9422285780310631,129,33024,1240.9514538340009,2113536
289.14,13.75,1717,0.012007128,0.14719646,2.0396783,-0.02373791,0.1901077,0.9532786644995213,130,33280,1250.491576960001,2129920
291.7,14.14,1714,0.013898045,0.15863037,2.077835,-0.023664815,0.25001806,0.9382346086204052,131,33536,1260.0489360140018,2146304
272.0,13.11,1716,0.016226238,0.1752116,2.0188646,-0.022784822,0.2126381,0.953065536916256,132,33792,1269.5954539000013,2162688
294.7,14.25,1713,0.019572213,0.19329834,2.0447977,-0.022320993,0.23323442,0.9494487978518009,133,34048,1279.1571248260007,2179072
290.99,13.41,1714,0.024017612,0.22617595,2.0648572,-0.027319616,0.23075962,0.9474646784365177,134,34304,1288.7138352280017,2195456
296.47,14.13,1710,0.011347365,0.14359538,2.0382264,-0.02168669,0.15066864,0.9675745777785778,135,34560,1298.2938568480022,2211840
301.68,14.42,1716,0.008337929,0.103149414,2.043683,-0.021675544,0.19249304,0.9647205024957657,136,34816,1307.838977719999,2228224
308.06,14.95,1716,0.008818406,0.10797119,2.0247846,-0.02248069,0.17238961,0.968731477856636,137,35072,1317.3854569110008,2244608
318.35,16.93,1718,0.010284895,0.11305746,2.0335371,-0.020222234,0.20679541,0.9591008946299553,138,35328,1326.91847434,2260992
320.25,17.01,1716,0.008826078,0.09944662,2.0445461,-0.01845874,0.20374383,0.9610550627112389,139,35584,1336.4645447680014,2277376
324.02,17.56,1714,0.009315386,0.11480713,2.0484965,-0.023797544,0.14288796,0.9737975541502237,140,35840,1346.022392068,2293760
325.61,17.63,1718,0.008929012,0.11147054,2.04854,-0.021864118,0.18166481,0.9647989869117737,141,36096,1355.5556664110009,2310144
332.93,17.36,1715,0.017044302,0.19032796,2.0910828,-0.027011469,0.14983419,0.9629147090017796,142,36352,1365.1085690120017,2326528
324.56,16.67,1715,0.015593559,0.17486572,2.0716107,-0.023737097,0.16865945,0.9589878506958485,143,36608,1374.6620749819995,2342912
311.94,15.41,1718,0.020732952,0.1870931,2.0637465,-0.02513072,0.16714807,0.95827766507864,144,36864,1384.1973514439997,2359296
315.98,16.29,1716,0.029035477,0.22971599,2.031354,-0.023501838,0.19285953,0.9475892260670662,145,37120,1393.7431175090023,2375680
338.41,19.01,1717,0.010653302,0.1296997,2.01734,-0.015713552,0.24015667,0.951601792126894,146,37376,1403.2854529649994,2392064
347.39,19.16,1714,0.011786594,0.1327718,2.1060224,-0.024449026,0.1960082,0.9498167335987091,147,37632,1412.8405044550018,2408448
331.97,16.91,1715,0.017560082,0.19551595,2.0739567,-0.024818847,0.17284103,0.9582044184207916,148,37888,1422.3942768170018,2424832
335.69,17.5,1717,0.020179154,0.22068278,2.0341733,-0.026975492,0.15014043,0.9633774310350418,149,38144,1431.9333795950006,2441216
321.8,18.27,1716,0.019783787,0.2035319,2.0252023,-0.021851227,0.19886772,0.9562531262636185,150,38400,1441.4789224849992,2457600
315.76,17.95,1715,0.01272558,0.15443929,2.0515606,-0.024870558,0.16247113,0.9552963264286518,151,38656,1451.031190075002,2473984
336.39,18.01,1714,0.016127786,0.18568929,2.0626838,-0.024685947,0.22020978,0.9442978203296661,152,38912,1460.5874829690001,2490368
333.67,17.75,1717,0.012877751,0.14819336,2.045375,-0.025654675,0.13915344,0.9682379104197025,153,39168,1470.129241879,2506752
