eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
79.52,-1.95,1693,0.00054371817,0.0,2.7075274,-0.000651451,0.2862973,0.006130695343017578,1,256,9.673200451999946,16384
82.6,-2.69,3057,0.0015811726,0.005228678,2.7026358,-0.0014167475,0.1705734,0.0833171010017395,2,512,15.032326491998901,32768
77.82,-2.19,3040,0.003918758,0.028137207,2.689892,-0.0034671228,0.1444035,0.1702248454093933,3,768,20.420702473000347,49152
81.04,-2.48,3023,0.003855736,0.036865234,2.6827419,-0.0040162136,0.13409448,0.337056040763855,4,1024,25.8407308249989,65536
72.7,-1.42,3024,0.003097632,0.013122559,2.659491,-0.0021479838,0.11598864,0.44296717643737793,5,1280,31.257957063000504,81920
76.12,-0.99,2997,0.0037190823,0.01944987,2.6399214,-0.0037387842,0.09082466,0.5458572804927826,6,1536,36.7248349649999,98304
72.62,-1.29,3008,0.003522518,0.015177409,2.638139,-0.003010733,0.09105822,0.6051442325115204,7,1792,42.17202472200006,114688
75.58,-1.15,2995,0.004105037,0.022745768,2.6385753,-0.004372885,0.07019387,0.6330390274524689,8,2048,47.64169690199924,131072
70.24,-1.29,2984,0.0043880497,0.03660075,2.6361217,-0.005777596,0.077742524,0.627749115228653,9,2304,53.132575420999274,147456
77.98,-1.14,2963,0.0055412487,0.05206299,2.6475701,-0.0075721876,0.07591718,0.6671645045280457,10,2560,58.66170452299957,163840
76.14,-0.3,2972,0.0040537347,0.03302002,2.6282244,-0.0069093057,0.06536362,0.6890426576137543,11,2816,64.17513688200052,180224
79.46,-0.62,2956,0.0047154096,0.050842285,2.6286361,-0.0064597726,0.07312783,0.6569748222827911,12,3072,69.71646353699907,196608
74.34,-0.48,2929,0.0047805994,0.044840496,2.6351035,-0.008265347,0.07792175,0.6987017095088959,13,3328,75.30887450299997,212992
82.23,-0.36,2922,0.0054723737,0.06011963,2.6227615,-0.0070402515,0.07184252,0.6663336455821991,14,3584,80.91590649600039,229376
82.0,0.2,2924,0.005719367,0.065327965,2.6053233,-0.008582675,0.05543752,0.6986143589019775,15,3840,86.5185256980003,245760
84.46,-0.94,2917,0.0063995463,0.07535807,2.592538,-0.008655579,0.06802162,0.7457647025585175,16,4096,92.13559189899934,262144
75.17,-0.65,2916,0.0050841155,0.05564372,2.5820205,-0.008217946,0.08094339,0.6848473250865936,17,4352,97.7540471379998,278528
73.41,0.34,2893,0.0076128505,0.104634605,2.5728748,-0.008996516,0.057964142,0.7613330036401749,18,4608,103.41773791199921,294912
76.8,0.08,2895,0.005931826,0.06803385,2.5696805,-0.00868431,0.051180366,0.7579364776611328,19,4864,109.077677588999,311296
72.81,0.23,2899,0.0063893707,0.07242838,2.563001,-0.0076238383,0.052592803,0.7291130125522614,20,5120,114.72866096799953,327680
77.04,0.05,2897,0.005776542,0.0663859,2.5550306,-0.008171589,0.05897966,0.7719054669141769,21,5376,120.38401182000052,344064
78.05,0.57,2904,0.0073616616,0.09450277,2.5376368,-0.007073134,0.055658296,0.7859402745962143,22,5632,126.02526956200018,360448
