eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
81.63,-2.14,1716,0.000114187395,0.0,2.7079418,-0.0005234258,0.5205065,0.007195651531219482,1,256,9.54402387499431,16384
80.21,-2.15,2331,7.1701514e-05,0.0,2.7076232,-0.00026808036,0.14768344,0.04120194911956787,2,512,16.627332845993806,32768
86.24,-2.9,2360,0.0006885345,0.0028686523,2.7058833,-0.0010797284,0.13922305,0.06989532709121704,3,768,23.56884875099786,49152
78.41,-2.04,2239,0.002855386,0.010701497,2.6943054,-0.0026962988,0.12931633,0.17221301794052124,4,1024,30.885120693994395,65536
73.91,-1.39,2303,0.0044403686,0.02923584,2.675706,-0.0040485957,0.10141698,0.31346726417541504,5,1280,37.99729399899661,81920
76.35,-0.89,2280,0.0039269323,0.03277588,2.6639726,-0.0046663666,0.106052764,0.45153379440307617,6,1536,45.18324756499351,98304
75.57,-1.04,2312,0.0038273323,0.03422038,2.6513374,-0.005175508,0.08690294,0.49079835414886475,7,1792,52.267971743996895,114688
77.63,-1.1,2295,0.0046825237,0.046590168,2.6494374,-0.006851243,0.06845963,0.5833797454833984,8,2048,59.40584869499435,131072
75.76,-0.87,2308,0.005202681,0.05501302,2.6339667,-0.0072880797,0.0747306,0.6439336836338043,9,2304,66.50455952099583,147456
78.17,-0.49,2169,0.005114068,0.05863444,2.6209137,-0.008360768,0.05426602,0.6897798776626587,10,2560,74.0565908629942,163840
78.54,-0.52,2245,0.0052929632,0.060791016,2.618615,-0.009836187,0.06052394,0.6957908570766449,11,2816,81.35278135800036,180224
77.11,-0.57,2279,0.0058171633,0.071736656,2.604295,-0.009602951,0.062814735,0.7047627866268158,12,3072,88.54223673699744,196608
77.14,0.03,2231,0.008750363,0.11606852,2.6002378,-0.009380018,0.054357063,0.6694640219211578,13,3328,95.88571801299986,212992
77.08,0.08,2185,0.0072134472,0.09397379,2.5843644,-0.011171895,0.054232076,0.7049698829650879,14,3584,103.38422797299427,229376
78.61,-0.04,2137,0.0067367475,0.085367836,2.588702,-0.0119820675,0.06071941,0.6764129400253296,15,3840,111.050075526,245760
74.41,0.08,2211,0.0069100694,0.08573405,2.6060228,-0.011179838,0.057569426,0.6196183264255524,16,4096,118.46033353600069,262144
83.77,0.49,2179,0.00861993,0.11311849,2.5927813,-0.013043969,0.04616967,0.6662043929100037,17,4352,125.97952807399997,278528
77.02,0.48,2236,0.009871122,0.1293335,2.587444,-0.013946672,0.050271604,0.6847290992736816,18,4608,133.3072491319981,294912
81.22,0.35,2212,0.009015286,0.11981201,2.5889802,-0.014505043,0.054708302,0.6441754400730133,19,4864,140.71256631099823,311296
80.67,0.92,2153,0.008969467,0.11995443,2.5916502,-0.014200375,0.05070309,0.5788649022579193,20,5120,148.31980326600024,327680
79.41,0.87,2221,0.011748872,0.14676921,2.5694194,-0.013455089,0.046174873,0.6247822940349579,21,5376,155.69723823899403,344064
80.67,1.15,2237,0.010501034,0.13826497,2.553512,-0.015631657,0.042084217,0.6958377957344055,22,5632,163.02208092799992,360448
80.78,1.38,2175,0.012023569,0.15893555,2.5510676,-0.015598808,0.048303213,0.706962376832962,23,5888,170.55256094499782,376832
