eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
83.43,-3.11,1786,0.00031072894,0.0,2.707731,-0.0006514552,0.20363514,0.026695609092712402,1,256,9.16927581402706,16384
87.1,-2.48,1907,0.0014231472,0.0076090493,2.7038648,-0.0009899456,0.08925261,0.041107356548309326,2,512,17.760248593986034,32768
80.61,-2.56,1902,0.0032988798,0.021077475,2.6924183,-0.0023685768,0.08815131,0.09468382596969604,3,768,26.37185238901293,49152
74.97,-1.44,1894,0.0015203608,0.0021362305,2.6907694,-0.0011275557,0.0746736,0.17572921514511108,4,1024,35.01982526702341,65536
73.21,-1.61,1902,0.004489061,0.035664875,2.6704266,-0.00379646,0.07384045,0.3340187668800354,5,1280,43.63080769398948,81920
76.76,-2.14,1899,0.0027442283,0.011230469,2.6738222,-0.0021062924,0.06914237,0.4454532861709595,6,1536,52.25816895702155,98304
76.21,-1.71,1901,0.0036023927,0.026265463,2.6658888,-0.0037233112,0.059945684,0.5798467397689819,7,1792,60.877094950992614,114688
76.44,-1.73,1900,0.0042602667,0.037434895,2.653748,-0.004749698,0.06084318,0.5696702301502228,8,2048,69.49902124598157,131072
76.59,-1.75,1903,0.00455501,0.031311035,2.6329443,-0.005054178,0.055457678,0.6434318721294403,9,2304,78.10815640498186,147456
76.64,-1.1,1898,0.00469175,0.043253582,2.6291285,-0.0064169317,0.040749703,0.7016204297542572,10,2560,86.73790525802178,163840
78.19,-0.96,1904,0.005278208,0.05867513,2.6176674,-0.0070886463,0.046361472,0.7523476481437683,11,2816,95.33937861997401,180224
76.97,-0.34,1898,0.004674003,0.04579671,2.6105719,-0.007959721,0.039682776,0.7776004076004028,12,3072,103.96984771999996,196608
80.03,-0.59,1900,0.0062571713,0.07043457,2.606929,-0.00849205,0.04351419,0.7334886491298676,13,3328,112.58900446497137,212992
80.52,0.14,1902,0.006450053,0.079427086,2.5993278,-0.0085277865,0.03602275,0.6912251710891724,14,3584,121.20229365199339,229376
84.76,-0.62,1903,0.004570313,0.04884847,2.6031406,-0.008486886,0.05098282,0.6831897497177124,15,3840,129.8093021690147,245760
81.92,-0.26,1900,0.004797228,0.053527832,2.5939953,-0.009248027,0.044364262,0.6769406795501709,16,4096,138.4314800670254,262144
76.49,-0.04,1906,0.0064603784,0.078837074,2.5980074,-0.008117299,0.04107176,0.7217719852924347,17,4352,147.0279158789781,278528
78.51,0.22,1908,0.006769207,0.085754395,2.564157,-0.009693184,0.035463374,0.6734923720359802,18,4608,155.61539233202348,294912
87.08,0.34,1903,0.007563351,0.10172526,2.5814927,-0.009325363,0.03465762,0.6763488352298737,19,4864,164.2241456839838,311296
82.18,0.34,1900,0.008580341,0.112080894,2.564134,-0.011591767,0.026277693,0.6685941219329834,20,5120,172.8472441029735,327680
86.06,0.46,1891,0.007839474,0.10131836,2.5404143,-0.011596794,0.03137959,0.6488999724388123,21,5376,181.51142157398863,344064
79.54,0.34,1890,0.008833448,0.11643473,2.5476954,-0.012160576,0.033559468,0.6468021273612976,22,5632,190.1780505059869,360448
88.53,0.93,1892,0.007891319,0.10245768,2.5360987,-0.011936225,0.029598817,0.698163777589798,23,5888,198.83704859297723,376832
82.05,0.77,1879,0.008549538,0.110310875,2.535186,-0.011722099,0.031081771,0.6953645646572113,24,6144,207.55433493998135,393216
82.43,0.71,1881,0.009384604,0.11981201,2.5284085,-0.011503034,0.030240625,0.6958514153957367,25,6400,216.26059451297624,409600
79.38,0.82,1903,0.009118654,0.11934408,2.5268137,-0.01130011,0.035440363,0.6989573836326599,26,6656,224.86777703999542,425984
80.56,0.69,1902,0.009068142,0.112202965,2.5059953,-0.013029327,0.03337955,0.7524242550134659,27,6912,233.47849468298955,442368
87.43,0.88,1895,0.009332831,0.1245931,2.4856255,-0.0108407885,0.025337912,0.8280972093343735,28,7168,242.1246068450273,458752
78.1,0.77,1906,0.010791306,0.14324951,2.4684997,-0.010585879,0.025245866,0.8166701793670654,29,7424,250.71900362701854,475136
82.1,0.98,1900,0.010332775,0.13161214,2.4829218,-0.012824786,0.023407191,0.7993585616350174,30,7680,259.3421269800165,491520
76.78,1.11,1899,0.010141713,0.12801106,2.4872053,-0.01486379,0.030186052,0.7743015885353088,31,7936,267.96702274802374,507904
86.19,0.89,1895,0.00969401,0.13108318,2.4869397,-0.013972859,0.028655613,0.8034669458866119,32,8192,276.60969942598604,524288
91.13,1.45,1898,0.010908396,0.13991292,2.462376,-0.01461402,0.02382133,0.8328863978385925,33,8448,285.239050247008,540672
87.03,1.67,1894,0.010096473,0.13387044,2.4580734,-0.016984152,0.029401803,0.8120747804641724,34,8704,293.8873606779962,557056
88.46,1.44,1900,0.010731909,0.14339192,2.4824479,-0.01376778,0.02559481,0.8010217249393463,35,8960,302.5096772169927,573440
